query_id	disposition	reason
Q01	CONDITIONAL_COMPLETE_QUERY_OUTPUT_NOT_FOUNDING_OWNED	full panel needs supplied pair map path and screen typing
Q02	REALIZED_FOUNDING_PROJECTION_CONDITIONAL_UNIQUE_WITHIN_DENSITY_CHARACTER_CLASS	after a complete calibrated query supplies the pair relation exchange oddness and normalization uniquely give Delta_phi
Q03	DERIVED_GEOMETRIC_CHARACTER_NOT_FOUNDING_RECIPROCAL_OUTPUT	common scale is real state but exchange even
Q04	DERIVED_CLOCK_DENSITY_NOT_FOUNDING_RECIPROCAL_OUTPUT	contains common scale and has opposite pure-depth sign
Q05	DERIVED_AREA_DENSITY_NOT_FOUNDING_RECIPROCAL_OUTPUT	measures common scale and vanishes on pure reciprocal depth
Q06	CONDITIONAL_QUERY_STATE_NOT_CHARACTER	shift needs event pairing and ruler evolution
Q07	CONDITIONAL_PATH_INSTRUMENT_NOT_REAL_SCALAR	normal carry needs a path and endpoint screen fibers
Q08	DERIVED_REPRESENTATION_NOT_INDEPENDENT_QUERY	reconstructed from Delta_phi U variance and lambda
Q09	CHARACTER_FAMILY_REDUCED_TO_Q02_BY_FOUNDING_GATES	continuous density characters are linear and gates set a=0 b=1
Q10	MATHEMATICALLY_SURVIVES_BROADER_GROUPOID_BUT_UNOWNED	arbitrary endpoint scalar requires a new measurement function
Q11	UNSELECTED_MICROPHONE_FAMILIES	free coefficient and path or endpoint choice remain ownerless
Q12	OPEN_NO_PHYSICAL_REGIME_MAP	no derived regime labels thresholds or switch
Q13	OPEN_LARGER_OWNER_NOT_DERIVED	on-shell or bootstrap selection cannot be assumed
Q14	OPEN_OUTSIDE_AUDIT	native source and coupling are absent
