query_id	candidate_output	codomain	extra_query_data	composition_question	preregistered_disposition
Q01	full_pair_state_kappa_phi_beta_and_U	mixed_state_and_groupoid	complete_pair_map_path_screen_typing	state_decorated_path_composition	TEST
Q02	reciprocal_depth_Delta_phi	R	matched_calibrated_pair_states	additive_character	TEST
Q03	common_scale_Delta_kappa	R	matched_calibrated_pair_states	additive_character	TEST
Q04	clock_density_b1_Delta_kappa_minus_Delta_phi	R	matched_calibrated_clock_line	additive_character	TEST
Q05	area_density_b2_two_Delta_kappa	R	matched_calibrated_pair_plane	additive_character	TEST
Q06	shift_beta	R_object_state	event_pairing_and_ruler_evolution	not_standalone_character	TEST
Q07	angular_transport_U_gamma	oriented_normal_isometry	declared_path_and_endpoint_screen_fibers	path_groupoid_composition	TEST
Q08	conformal_screen_representation	CO2_fiber_map	U_gamma_variance_and_supplied_lambda	reconstructed_representation	TEST
Q09	linear_density_microphone_a_Delta_kappa_plus_b_Delta_phi	R	coefficients_a_b	additive_character	TEST
Q10	arbitrary_endpoint_coboundary_f_of_state	R	chosen_scalar_f_on_objects	telescoping_coboundary	TEST
Q11	G52_alpha_c_or_beta_c_path_or_endpoint_scalarization	R	coefficient_c_and_path_or_endpoints	family_dependent	TEST
Q12	regime_dependent_projection_family	variable	physical_regime_map_and_switch	piecewise_or_stratified	TEST
Q13	on_shell_or_bootstrap_selected_projection	variable	native_global_return_law	unknown	TEST
Q14	physical_mass_energy_or_source_readout	unknown	native_source_and_coupling	unknown	TEST

