premise_id	premise	status	provenance	allowed_use
P01	reciprocal_c_identity	pinned-by-THEORY	SOURCE_MANIFEST_S06	type_clock_and_ruler_as_coequal_conversion_pair
P02	dual_reciprocity_on_clock_ruler_pair	pinned-by-THEORY	SOURCE_MANIFEST_S06	enforce_inverse_channel_action
P03	continuous_relative_composition	pinned-by-THEORY	SOURCE_MANIFEST_S06	enforce_additive_character
P04	founding_input_is_supplied_ordered_depth	pinned-by-THEORY	SOURCE_MANIFEST_S06_S07_S08_S09_S10	bound_source_signature
P05	regular_calibrated_pair_metric_state	pinned-by-THEORY	SOURCE_MANIFEST_S02_S03_S04	conditional_complete_state_input
P06	path_labelled_normal_transport	pinned-by-THEORY	SOURCE_MANIFEST_S02_S03_S13	conditional_angular_input
P07	strong_local_CSN	CHALLENGED_INACTIVE	CURRENT_SCIENTIFIC_PREMISES_G15	must_not_delete_kappa
P08	physical_pair_map_and_path	OPEN	CURRENT_SCIENTIFIC_PREMISES_G53	must_not_be_inferred
P09	physical_query_projection_policy	OPEN	CURRENT_SCIENTIFIC_PREMISES_G53	target_of_audit_not_input
P10	micro_ordinary_cosmological_regime_map	OPEN	CURRENT_SCIENTIFIC_PREMISES_G53	must_not_be_assigned
P11	c_E	pinned-by-OBSERVATION	SOURCE_MANIFEST_S06_S11_S16	terminal_reciprocal_calibration_only
P12	G_obs	pinned-by-OBSERVATION	CURRENT_SCIENTIFIC_PREMISES_G06	inactive_without_native_mass_readout
P13	electron_mass	unapplied_OBSERVED_CALIBRATION_CANDIDATE	CHARLES_2026_08_10	future_normalization_only
P14	hbar	EXCLUDED	NO_CURRENT_DISPATCH	no_import
P15	on_shell_global_bootstrap_conductor	OPEN	CURRENT_SCIENTIFIC_PREMISES_G53	larger_possible_owner_not_input
P16	protected_curvature_atlas	EXCLUDED	AGENTS_AND_LIVE_GUARD	must_not_read_modify_stage_or_cite

