mutation_id	mutation	expected	result	status
M01	promote_full_panel_to_founding_output	REJECT	REJECTED	PASS
M02	widen_uniqueness_to_all_coboundaries	REJECT	REJECTED	PASS
M03	delete_kappa_by_CSN	REJECT	REJECTED	PASS
M04	promote_beta_to_character	REJECT	REJECTED	PASS
M05	scalarize_U	REJECT	REJECTED	PASS
M06	double_count_screen_weight	REJECT	REJECTED	PASS
M07	claim_endpoint_coboundaries_refuted	REJECT	REJECTED	PASS
M08	promote_endpoint_coboundary	REJECT	REJECTED	PASS
M09	select_G52_microphone	REJECT	REJECTED	PASS
M10	erase_phi_orchestra	REJECT	REJECTED	PASS
M11	invent_physical_pair_map	REJECT	REJECTED	PASS
M12	invent_physical_path	REJECT	REJECTED	PASS
M13	assign_regime_map	REJECT	REJECTED	PASS
M14	add_regime_switch	REJECT	REJECTED	PASS
M15	use_cE_as_architecture_selector	REJECT	REJECTED	PASS
M16	activate_G	REJECT	REJECTED	PASS
M17	activate_electron_mass	REJECT	REJECTED	PASS
M18	import_hbar	REJECT	REJECTED	PASS
M19	invent_conductor	REJECT	REJECTED	PASS
M20	promote_physical_arrow	REJECT	REJECTED	PASS
M21	infer_downstream_physics	REJECT	REJECTED	PASS
M22	widen_to_all_branches	REJECT	REJECTED	PASS
M23	erase_conditional_realization_boundary	REJECT	REJECTED	PASS
