test_id	claim_under_test	fail_condition	maximum_surviving_conclusion
F01	founding_source_signature	source_contains_complete_state_or_angular_output	RECLASSIFY_FOUNDING_QUERY
F02	density_character_classification	nonlinear_continuous_character_survives	NO_LINEAR_CHARACTER_THEOREM
F03	exchange_oddness	common_scale_component_survives_exact_exchange	RECIPROCAL_PROJECTION_NONUNIQUE
F04	pure_reciprocal_normalization	more_than_one_density_character_survives	RECIPROCAL_PROJECTION_NONUNIQUE
F05	beta_challenge	beta_is_founded_argument_or_standalone_character	EXPAND_FOUNDED_QUERY
F06	angular_challenge	SO2_transport_has_nontrivial_continuous_real_character	EXPAND_SCALAR_SHADOW
F07	endpoint_coboundary_challenge	arbitrary_f_is_owned_without_extra_measurement_premise	FOUNDING_MICROPHONE_NONUNIQUE
F08	full_panel_ownership	all_channels_follow_from_two_founding_postulates	FOUNDING_FULL_PANEL
F09	phi_orchestra_guard	projection_discards_upstream_mixing_modulation	INVALID_SCALAR_REDUCTION
F10	strong_CSN_regression	kappa_is_deleted_from_complete_state	INVALID_GAUGE_PROMOTION
F11	regime_policy	physical_labels_or_switch_are introduced	ALGEBRAIC_QUERY_TYPES_ONLY
F12	calibration_role	c_E_G_m_e_or_hbar_selects_optional_channels	CALIBRATION_MISUSED
F13	conductor_ownership	on_shell_or_bootstrap_rule_is_assumed	OWNER_OPEN
F14	scope	physical_arrow_action_source_matter_c_eff_Xmax_CMB_or_signalling_promoted	DOWNSTREAM_OVERCLAIM
F15	independence	verification_reuses_controller_outputs	VERIFIED_WITH_CAVEATS_ONLY
F16	external_review	fresh_manifest_confined_review_absent	LEAD_ONLY

