configuration_id	carrier_id	mask_id	bank	point_id	metric_amplitudes_zero	base_algebra_dimension	base_reducibility	base_central_blocks	base_numeric_status	base_closure_residual	flat_exact	flat_certification_residual	shell_h1_dimension	shell_h2_dimension	shell_h1_reducibility	shell_h2_reducibility	shell_max_isometry	shell_max_refinement	final_class	physical_merit
R00_1_M0_B0_P0	R00_1	M0	B0	P0	YES	1	PROPER_ALGEBRA_NONCENTRAL_AMBIGUITY	NO_DISTINGUISHED_BLOCK__ZERO_GENERATORS	CLASSIFIED	0	YES	0	NOT_REQUIRED	NOT_REQUIRED	NOT_REQUIRED	NOT_REQUIRED	NOT_REQUIRED	NOT_REQUIRED	EXACT_CONSTANT_METRIC_FLAT__ALL_SUBSPACES_AMBIGUOUS	NOT_EVALUATED
R00_1_M0_B0_P4	R00_1	M0	B0	P4	YES	1	PROPER_ALGEBRA_NONCENTRAL_AMBIGUITY	NO_DISTINGUISHED_BLOCK__ZERO_GENERATORS	CLASSIFIED	0	YES	0	NOT_REQUIRED	NOT_REQUIRED	NOT_REQUIRED	NOT_REQUIRED	NOT_REQUIRED	NOT_REQUIRED	EXACT_CONSTANT_METRIC_FLAT__ALL_SUBSPACES_AMBIGUOUS	NOT_EVALUATED
R00_1_M0_B1_P1	R00_1	M0	B1	P1	YES	1	PROPER_ALGEBRA_NONCENTRAL_AMBIGUITY	NO_DISTINGUISHED_BLOCK__ZERO_GENERATORS	CLASSIFIED	0	YES	0	NOT_REQUIRED	NOT_REQUIRED	NOT_REQUIRED	NOT_REQUIRED	NOT_REQUIRED	NOT_REQUIRED	EXACT_CONSTANT_METRIC_FLAT__ALL_SUBSPACES_AMBIGUOUS	NOT_EVALUATED
R00_1_M0_B1_P5	R00_1	M0	B1	P5	YES	1	PROPER_ALGEBRA_NONCENTRAL_AMBIGUITY	NO_DISTINGUISHED_BLOCK__ZERO_GENERATORS	CLASSIFIED	0	YES	0	NOT_REQUIRED	NOT_REQUIRED	NOT_REQUIRED	NOT_REQUIRED	NOT_REQUIRED	NOT_REQUIRED	EXACT_CONSTANT_METRIC_FLAT__ALL_SUBSPACES_AMBIGUOUS	NOT_EVALUATED
R00_1_M0_B2_P2	R00_1	M0	B2	P2	YES	1	PROPER_ALGEBRA_NONCENTRAL_AMBIGUITY	NO_DISTINGUISHED_BLOCK__ZERO_GENERATORS	CLASSIFIED	0	YES	0	NOT_REQUIRED	NOT_REQUIRED	NOT_REQUIRED	NOT_REQUIRED	NOT_REQUIRED	NOT_REQUIRED	EXACT_CONSTANT_METRIC_FLAT__ALL_SUBSPACES_AMBIGUOUS	NOT_EVALUATED
R00_1_M0_B2_P6	R00_1	M0	B2	P6	YES	1	PROPER_ALGEBRA_NONCENTRAL_AMBIGUITY	NO_DISTINGUISHED_BLOCK__ZERO_GENERATORS	CLASSIFIED	0	YES	0	NOT_REQUIRED	NOT_REQUIRED	NOT_REQUIRED	NOT_REQUIRED	NOT_REQUIRED	NOT_REQUIRED	EXACT_CONSTANT_METRIC_FLAT__ALL_SUBSPACES_AMBIGUOUS	NOT_EVALUATED
R00_1_M0_B3_P3	R00_1	M0	B3	P3	YES	1	PROPER_ALGEBRA_NONCENTRAL_AMBIGUITY	NO_DISTINGUISHED_BLOCK__ZERO_GENERATORS	CLASSIFIED	0	YES	0	NOT_REQUIRED	NOT_REQUIRED	NOT_REQUIRED	NOT_REQUIRED	NOT_REQUIRED	NOT_REQUIRED	EXACT_CONSTANT_METRIC_FLAT__ALL_SUBSPACES_AMBIGUOUS	NOT_EVALUATED
R00_1_M0_B3_P7	R00_1	M0	B3	P7	YES	1	PROPER_ALGEBRA_NONCENTRAL_AMBIGUITY	NO_DISTINGUISHED_BLOCK__ZERO_GENERATORS	CLASSIFIED	0	YES	0	NOT_REQUIRED	NOT_REQUIRED	NOT_REQUIRED	NOT_REQUIRED	NOT_REQUIRED	NOT_REQUIRED	EXACT_CONSTANT_METRIC_FLAT__ALL_SUBSPACES_AMBIGUOUS	NOT_EVALUATED
R00_1_M1_B0_P0	R00_1	M1	B0	P0	NO	16	FULL_MATRIX_ALGEBRA_IRREDUCIBLE	NO_NONTRIVIAL_CENTRAL_BLOCK	CLASSIFIED	1.3413159666566647e-15	NO	-	NOT_REQUIRED	NOT_REQUIRED	NOT_REQUIRED	NOT_REQUIRED	NOT_REQUIRED	NOT_REQUIRED	BASE_CURVATURE_FULL_IRREDUCIBLE__HIGHER_JETS_MONOTONE	NOT_EVALUATED
R00_1_M1_B0_P4	R00_1	M1	B0	P4	NO	16	FULL_MATRIX_ALGEBRA_IRREDUCIBLE	NO_NONTRIVIAL_CENTRAL_BLOCK	CLASSIFIED	1.2135258665141242e-15	NO	-	NOT_REQUIRED	NOT_REQUIRED	NOT_REQUIRED	NOT_REQUIRED	NOT_REQUIRED	NOT_REQUIRED	BASE_CURVATURE_FULL_IRREDUCIBLE__HIGHER_JETS_MONOTONE	NOT_EVALUATED
R00_1_M1_B1_P1	R00_1	M1	B1	P1	NO	16	FULL_MATRIX_ALGEBRA_IRREDUCIBLE	NO_NONTRIVIAL_CENTRAL_BLOCK	CLASSIFIED	1.3830178856501511e-15	NO	-	NOT_REQUIRED	NOT_REQUIRED	NOT_REQUIRED	NOT_REQUIRED	NOT_REQUIRED	NOT_REQUIRED	BASE_CURVATURE_FULL_IRREDUCIBLE__HIGHER_JETS_MONOTONE	NOT_EVALUATED
R00_1_M1_B1_P5	R00_1	M1	B1	P5	NO	16	FULL_MATRIX_ALGEBRA_IRREDUCIBLE	NO_NONTRIVIAL_CENTRAL_BLOCK	CLASSIFIED	1.2706941229846785e-15	NO	-	NOT_REQUIRED	NOT_REQUIRED	NOT_REQUIRED	NOT_REQUIRED	NOT_REQUIRED	NOT_REQUIRED	BASE_CURVATURE_FULL_IRREDUCIBLE__HIGHER_JETS_MONOTONE	NOT_EVALUATED
R00_1_M1_B2_P2	R00_1	M1	B2	P2	NO	16	FULL_MATRIX_ALGEBRA_IRREDUCIBLE	NO_NONTRIVIAL_CENTRAL_BLOCK	CLASSIFIED	1.017129855227927e-15	NO	-	NOT_REQUIRED	NOT_REQUIRED	NOT_REQUIRED	NOT_REQUIRED	NOT_REQUIRED	NOT_REQUIRED	BASE_CURVATURE_FULL_IRREDUCIBLE__HIGHER_JETS_MONOTONE	NOT_EVALUATED
R00_1_M1_B2_P6	R00_1	M1	B2	P6	NO	16	FULL_MATRIX_ALGEBRA_IRREDUCIBLE	NO_NONTRIVIAL_CENTRAL_BLOCK	CLASSIFIED	1.1137009154872529e-15	NO	-	NOT_REQUIRED	NOT_REQUIRED	NOT_REQUIRED	NOT_REQUIRED	NOT_REQUIRED	NOT_REQUIRED	BASE_CURVATURE_FULL_IRREDUCIBLE__HIGHER_JETS_MONOTONE	NOT_EVALUATED
R00_1_M1_B3_P3	R00_1	M1	B3	P3	NO	16	FULL_MATRIX_ALGEBRA_IRREDUCIBLE	NO_NONTRIVIAL_CENTRAL_BLOCK	CLASSIFIED	1.4094166531424067e-15	NO	-	NOT_REQUIRED	NOT_REQUIRED	NOT_REQUIRED	NOT_REQUIRED	NOT_REQUIRED	NOT_REQUIRED	BASE_CURVATURE_FULL_IRREDUCIBLE__HIGHER_JETS_MONOTONE	NOT_EVALUATED
R00_1_M1_B3_P7	R00_1	M1	B3	P7	NO	16	FULL_MATRIX_ALGEBRA_IRREDUCIBLE	NO_NONTRIVIAL_CENTRAL_BLOCK	CLASSIFIED	2.5877289377518724e-15	NO	-	NOT_REQUIRED	NOT_REQUIRED	NOT_REQUIRED	NOT_REQUIRED	NOT_REQUIRED	NOT_REQUIRED	BASE_CURVATURE_FULL_IRREDUCIBLE__HIGHER_JETS_MONOTONE	NOT_EVALUATED
R00_1_M2_B0_P0	R00_1	M2	B0	P0	NO	16	FULL_MATRIX_ALGEBRA_IRREDUCIBLE	NO_NONTRIVIAL_CENTRAL_BLOCK	CLASSIFIED	1.429022883675312e-15	NO	-	NOT_REQUIRED	NOT_REQUIRED	NOT_REQUIRED	NOT_REQUIRED	NOT_REQUIRED	NOT_REQUIRED	BASE_CURVATURE_FULL_IRREDUCIBLE__HIGHER_JETS_MONOTONE	NOT_EVALUATED
R00_1_M2_B0_P4	R00_1	M2	B0	P4	NO	16	FULL_MATRIX_ALGEBRA_IRREDUCIBLE	NO_NONTRIVIAL_CENTRAL_BLOCK	CLASSIFIED	1.0556818596340298e-15	NO	-	NOT_REQUIRED	NOT_REQUIRED	NOT_REQUIRED	NOT_REQUIRED	NOT_REQUIRED	NOT_REQUIRED	BASE_CURVATURE_FULL_IRREDUCIBLE__HIGHER_JETS_MONOTONE	NOT_EVALUATED
R00_1_M2_B1_P1	R00_1	M2	B1	P1	NO	16	FULL_MATRIX_ALGEBRA_IRREDUCIBLE	NO_NONTRIVIAL_CENTRAL_BLOCK	CLASSIFIED	1.9441531717969179e-15	NO	-	NOT_REQUIRED	NOT_REQUIRED	NOT_REQUIRED	NOT_REQUIRED	NOT_REQUIRED	NOT_REQUIRED	BASE_CURVATURE_FULL_IRREDUCIBLE__HIGHER_JETS_MONOTONE	NOT_EVALUATED
