candidate_id	output_type	lowest_jet_order	primitive_data	diffeomorphism_status	csn_status	internal_frame_status	selection_capacity	decisive_limit	status	evidence
Q01_U00	UNTYPED_REALIZATION_RELATION	UNBOUNDED	unspecified	NOT_DEFINED	NOT_DEFINED	NOT_DEFINED	cannot enumerate a natural operator before domain and codomain bundles are supplied	registered UDT does not fix codomain derivative order parity or functional class	CLASS_INFINITE_OR_UNTYPED__EXHAUSTION_NOT_WELL_POSED	cold packet section 2
Q01_S00	SCALAR	0	phi and arbitrary smooth F(phi)	NATURAL_SCALAR	NEUTRAL_IF_PHI_NEUTRAL	INVARIANT	can label scalar-depth strata but supplies no preferred axis or common scale	uncountably many smooth coefficient laws and no UDT rule chooses F	INFINITE_FUNCTIONAL_CALCULUS__NO_SELECTION_RULE	cold packet sections 1.3 and 2
Q01_S01	SCALAR_CURVATURE_CONTRACTION	2	g inverse Riemann Ricci Weyl phi jets	NATURAL	GENERICALLY_NONNEUTRAL_OR_WEIGHTED	INVARIANT	can characterize local conformal or curvature strata	a weight-zero ratio needs a nonzero denominator and remains constant on a CSN orbit	CONDITIONAL_STRATUM_DIAGNOSTIC	two-pair selector audit C05-C08
Q01_D00	SCALAR_DENSITY	0_TO_2	metric volume density times scalar concomitant	NATURAL_DENSITY	WEIGHTED_UNLESS_COMPENSATED	ORIENTATION_DEPENDENT_FOR_SIGNED_FORM	can supply an integration density only after weight and orientation are fixed	neutral compensation does not select a representative; no measure/action is registered	NO_NATIVE_MEASURE_OR_SELECTOR	cold packet sections 1.3 and 2
Q01_V00	COVECTOR_OR_VECTOR_LINE	1	dphi and metric dual	NATURAL	COVECTOR_NEUTRAL__VECTOR_WEIGHTED__LINE_NEUTRAL	INVARIANT	selects a line and orthogonal complement where dphi is nonzero and nonnull	zero and null strata prevent a universal nondegenerate split	CONDITIONAL_LOCAL_SELECTOR_ON_EXPLICIT_STRATUM	two-pair selector audit C04
Q01_T00	SYMMETRIC_TWO_TENSOR	0	metric alone	NATURAL	WEIGHT_TWO	INVARIANT	mixed endomorphism is only the identity and preserves every subspace	Lorentz stabilizer leaves no distinguished proper self-adjoint block	ZERO_UDT_SELECTION_CREDIT	two-pair selector audit C01
Q01_T01	SYMMETRIC_TWO_TENSOR	2	covariant Hessian of phi	NATURAL	NOT_CSN_COVARIANT_GENERALLY	INVARIANT	simple trace-free projected strata can mark axes	conformal derivative terms and zero/repeated strata; projected result needs a supplied screen	CONDITIONAL_LOCAL_SELECTOR_ON_EXPLICIT_STRATUM	two-pair selector audit C05
Q01_T02	SYMMETRIC_TWO_TENSOR	2	Ricci and trace-free Ricci	NATURAL	NOT_CSN_COVARIANT_GENERALLY	INVARIANT	simple spectra can mark axes on favorable strata	local conformal rescaling changes Ricci and degeneracies restore ambiguity	CONDITIONAL_LOCAL_SELECTOR_ON_EXPLICIT_STRATUM	two-pair selector audit C06-C07
Q01_P00	PROJECTOR_OR_INVOLUTION	0_TO_2	spectral calculus of registered endomorphisms	NATURAL_WHERE_SPECTRAL_GAPS_PERSIST	DEPENDS_ON_GENERATOR	INVARIANT	can encode a real split on simple semisimple strata	undefined or nonunique at zero repeated complex or Jordan strata; full orchestra breaks smaller splits	CONDITIONAL_LOCAL_SELECTOR_ON_EXPLICIT_STRATUM	joint invariant-subspace atlas
Q01_B00	TWO_FORM_OR_BIVECTOR	0	metric plus optional orientation Hodge star	NATURAL_IF_ORIENTED	CONFORMALLY_NATURAL_ON_MIDDLE_FORMS	ORIENTATION_REQUIRED	supplies universal Lorentzian Hodge complex structure	universal structure does not select a real simple tangent plane and star squared is minus one	ZERO_UDT_SELECTION_CREDIT	two-pair selector audit C02
Q01_B01	TWO_FORM_OR_BIVECTOR	2	Riemann or Weyl operator eigenbivectors	NATURAL	WEYL_CONFORMAL__RIEMANN_NONNEUTRAL	ORIENTATION_OPTIONAL	could mark a real simple plane if an isolated eigenspace existed	zero isolated real simple eigenplanes in all 6144 registered two-jets	NO_SELECTOR_IN_REGISTERED_TWO_JET_ENSEMBLE	joint invariant-subspace atlas
Q01_C00	CONNECTION_OR_CURVATURE_VALUED	1_TO_2	Levi-Civita connection and curvature	CONNECTION_NOT_TENSOR__CURVATURE_NATURAL	LEVI_CIVITA_CONNECTION_NOT_CSN_INVARIANT	INVARIANT	curvature can diagnose a preserved reduction through its common algebra	diagnosis is not selection; persistence requires holonomy and global gluing	Q02_PERSISTENCE_TEST_REQUIRED	global assembly atlas and survey
Q01_F00	COFRAME_ROW_OR_SLOT	0	chosen coframe components or row labels	DIFFEOMORPHISM_COVARIANT_ONLY_WITH_INTERNAL_LABELS	SCALES_WITH_COFRAME	FRAME_DEPENDENT	can name a plane only after an internal-frame reduction is supplied	local Lorentz changes mix rows without changing metric geometry	FRAME_DEPENDENT__UNSELECTED	chart/coframe invariance atlas
Q01_F01	COFRAME_GAUGE_INVARIANT_CONTRACTION	0_TO_2	coframe with all internal indices contracted	NATURAL	SAME_AS_METRIC_CONCOMITANT	INVARIANT	reconstructs metric curvature and optional oriented volume data	adds no selector beyond the corresponding metric-natural class	REDUCES_TO_METRIC_OR_ORIENTATION_CLASS	chart/coframe invariance atlas
Q01_X00	ARBITRARY_SMOOTH_COMBINATION	0_TO_2	smooth scalar coefficients multiplying primitive tensors	NATURAL_IF_COEFFICIENTS_ARE_INVARIANTS	DEPENDS_ON_WEIGHTS	INVARIANT_IF_CONTRACTED	can tune individual spectra or degeneracies	coefficient law is itself an unselected infinite functional datum	INFINITE_FUNCTIONAL_CALCULUS__NO_SELECTION_RULE	century survey M01-M02
Q01_H00	HIGHER_FINITE_JET_OUTPUT	3_OR_MORE	covariant derivatives and arbitrary contractions	NATURAL_AFTER_TYPE_IS_FIXED	UNSPECIFIED	UNSPECIFIED	may supply new nonparallel local strata	registered UDT fixes neither maximum order nor codomain; not covered by order-two census	OPEN_HIGHER_JETS	century survey Q01 scope
