mask_id	final_class	count
M0	EXACT_CONSTANT_METRIC_FLAT__ALL_SUBSPACES_AMBIGUOUS	384
M1	BASE_CURVATURE_FULL_IRREDUCIBLE__HIGHER_JETS_MONOTONE	384
M2	BASE_CURVATURE_FULL_IRREDUCIBLE__HIGHER_JETS_MONOTONE	384
M3	BASE_CURVATURE_FULL_IRREDUCIBLE__HIGHER_JETS_MONOTONE	384
M4	BASE_CURVATURE_FULL_IRREDUCIBLE__HIGHER_JETS_MONOTONE	384
M5	BASE_CURVATURE_FULL_IRREDUCIBLE__HIGHER_JETS_MONOTONE	384
M6	BASE_CURVATURE_FULL_IRREDUCIBLE__HIGHER_JETS_MONOTONE	384
M7	BASE_CURVATURE_FULL_IRREDUCIBLE__HIGHER_JETS_MONOTONE	384
M8	EXACT_CONSTANT_METRIC_FLAT__ALL_SUBSPACES_AMBIGUOUS	384
M9	BASE_CURVATURE_FULL_IRREDUCIBLE__HIGHER_JETS_MONOTONE	384
MA	BASE_CURVATURE_FULL_IRREDUCIBLE__HIGHER_JETS_MONOTONE	384
MB	BASE_CURVATURE_FULL_IRREDUCIBLE__HIGHER_JETS_MONOTONE	384
MC	BASE_CURVATURE_FULL_IRREDUCIBLE__HIGHER_JETS_MONOTONE	384
MD	BASE_CURVATURE_FULL_IRREDUCIBLE__HIGHER_JETS_MONOTONE	384
ME	BASE_CURVATURE_FULL_IRREDUCIBLE__HIGHER_JETS_MONOTONE	384
MF	BASE_CURVATURE_FULL_IRREDUCIBLE__HIGHER_JETS_MONOTONE	384
