item	status	scope	remaining_open
all_finite_jet_local_selector_exhaustion	NOT_WELL_POSED_FROM_REGISTERED_FOUNDATION	codomain derivative order parity CSN weight and smooth functional class are not all fixed	type the downstream realization job or add a native relation
order_zero_to_two_join_relevant_output_classes	CHARACTERIZED_BOUNDED	16 generator/output rows covering all preregistered codomain families	higher jets nonlocal boundary global and variational outputs
CSN_neutral_representative_selector	IMPOSSIBLE_BY_ORBIT_CONSTANCY_EXACT	any output invariant on the full positive local CSN orbit	post-scale or scale-bearing representative selection
coframe_row_selector	FRAME_DEPENDENT_UNSELECTED	uncontracted internal coframe labels	derived frame reduction or gauge-invariant contraction
conditional_local_lines_and_planes	CONDITIONAL_STRATUM_ONLY	nonzero nonnull dphi and simple nondegenerate order-two spectra	zero null isotropic repeated and full-orchestra strata
registered_curvature_base_algebra	OBSERVED_BOUNDED	5376 of 6144 configurations generate full M4 real algebra	arbitrary UDT metrics outside the registered analytic ensemble
higher_curvature_jet_restoration	EXCLUDED_BY_MONOTONICITY_IN_BASE_FULL_ROWS	the 5376 base-full configurations	new nonparallel local outputs remain possible but not parallel holonomy reductions
constant_metric_rows	EXACT_FLAT_AMBIGUITY	768 configurations in masks M0 and M8 have identically constant metric and zero curvature	phi-to-metric realization is not supplied by this configuration design
proper_curvature_holonomy_seed_reduction	NOT_OBSERVED_IN_REGISTERED_6144	5376 irreducible plus 768 flat maximally ambiguous	conditional toric control and arbitrary complete global metrics remain outside this census
direct_derivative_crosscheck	OBSERVED_BOUNDED	32 fixed anchors; worst direct-versus-transported residual 1.8865979264925947e-10	all-row arbitrary-order derivative reconstruction
global_closed_loop_holonomy	OPEN	not computed	complete metric branch loops seams caps and connection gluing
conditional_reciprocal_toric_control	UNCHANGED_EXACT_CONDITIONAL	separately supplied diagonal toric class; depth-path projector result only	full curvature-jet holonomy and native branch selection
action_source_carrier_boundary_mass_scale_time	OPEN	not loaded	complete UDT realization and dynamics
