control	result	meaning	ceiling
self_adjoint_tide_generator	PASS	G188_first_order_generator_is_Hamiltonian	does_not_select_edge_or_history
affine_edge_phase	PASS	full_transfer_is_Sp4	position_block_alone_not_composable
clock_normalized_edge	PASS	full_transfer_is_CSp4_with_multiplier_r	no_signal_speed_or_protocol_claim
vertical_scalar_join	PASS	G224_q_equals_r_inverse	no_second_scalar_coefficient
shared_event_vertex_lift	PASS	diag_C_C_is_symplectic_in_frequency_one_generators	G225_not_promoted_to_physical_transport
middle_screen_gauge	PASS	independent_incoming_and_outgoing_O2_frames_cancel	no_physical_screen_frame
affine_generator_scale	PASS	constant_positive_rescaling_cancels	no_global_affine_parameter
caustic_position_block	PASS	det_B_zero_while_full_phase_det_one	no_multiple_image_weight_or_branch_aggregation
octant_direction_holonomy	PASS	quarter_turn_embeds_as_diag_H_H	no_scalarization_or_flat_endpoint_cocycle
great_circle_direction_control	PASS	ordered_short_arc_has_identity_defect	local_control_only
ordered_curvature_vertex_product	PASS	all_20000_exact_cases_noncommuting	no_factor_reordering
independent_direct_relation	PASS_COUNTEREXAMPLE	identity_direct_control_differs_from_composite	no_direct_equals_composite_constraint
