premise	status	active_use	forbidden_promotion
four_dimensional_time_oriented_Lorentz_metric_on_each_edge	SUPPLIED	defines_G188_screen_connection_tide_and_phase	selected_physical_history
two_regular_affine_future_null_edges	SUPPLIED_QUERY	defines_the_two_edge_phase_transfers	universal_null_protocol_or_population
actual_shared_calibrated_observer_event_B	SUPPLIED_COMPOSABILITY	allows_G224_and_G225_pointwise_vertex_maps	same_observer_label_called_shared_event
metric_unit_endpoint_clocks	DERIVED_CONDITIONAL_FROM_SUPPLIED_OBSERVER_GERMS	clock_normalizes_each_incident_null_line	preferred_global_congruence
full_G188_first_order_phase	DERIVED_CONDITIONAL	caustic_safe_edge_object	Jacobi_position_block_used_as_full_transfer
G224_vertical_switch_and_edge_q_equals_r_inverse	DERIVED_CONDITIONAL	sets_vertical_line_and_clock_weight carry	free_vertex_scalar
G225_nonantipodal_least_turning_screen_map	STANDARD_GEOMETRIC_EVALUATOR	frozen_candidate_vertex_screen_comparison	selected_physical_vertex_transport
first_jet_phase_S_plus_Hom_V_S	DERIVED_DIFFERENTIAL_GEOMETRY	intrinsic_phase_typing	new_physical_sector
clock_normalized_phase_coordinates	CHOSE_CANONICAL_FROM_SUPPLIED_CLOCKS	exposes_joint_multiplier	global_affine_parameter_or_signal law
middle_and_endpoint_screen_bases	PASSIVE_O2_GAUGE	covariance_falsifier	physical_screen_frames
nonantipodal_middle_directions	FREE_AND_EXPLORED_REGULAR_STRATUM	uses_G225_direct_map	antipodal_continuation_assumed
singular_position_block_caustics	FREE_AND_EXPLORED_DEGENERATE_STRATUM	tests_full_phase_safety	inverted_or_discarded
independently_supplied_direct_A_to_C_relation	OMITTED_UNCONSTRAINED	comparison_ceiling	forced_equal_to_composite
physical_history_protocol_population_Xmax_transfer_source_action_matter	OMITTED	outside_bounded_question	construction_input_or_inference
