candidate	data_type	exact_current_constraint	contains_metric_or_pair_invariant	mu_ruling	remaining_input
Complete-lift orientation	discrete determinant sign	orientation -1 for plus/minus lifts and +1 for reflection/exchange lifts	NO	BOTH_ORIENTATION_CLASSES_LEAVE_MU_OPEN	No required orientation behavior is currently supplied
Fixed/anti-fixed multiplicity	integer eigenspace dimensions	3/1 1/3 or 2/2 according to lift	NO	LEAVES_MU_OPEN	No unique multiplicity class is selected
Reciprocal loop parity	Z2 group grading	closed transition loops have even reversal parity	NO	MU_BLIND	Cover and overlap incidence open
Base reflection corner	group-word ratio	commuting/finite corners constrain b/c after a corner is declared	NO_B_OVER_A_RATIO	MU_BLIND	Corner incidence and order open
Angular reflection corner	axis angle and order	product trace=2 cos(2(theta-psi)); finite order constrains angle	NO	MU_BLIND	Angular axes and order open
Normalized seal transition	O(1,1) reflection	diag(+1,-1) for every k>1	NO	MU_BLIND	Normalized reciprocal generator still carries mu
Conditional Hopf cap lattice	integer primitive cycles	mirror-compatible p=0 1 3 5 and more; opposing eigen-circle p=1 only after extra premises	NO	NO_CURRENT_MU_EQUATION	Spatial torus periods caps and topology unselected
Conformal/Cartan transport	connection per supplied conformal metric	propagates/compares already supplied data	CAN_DETECT_METRIC_AFTER_SELECTION	NO_SELECTION_EQUATION	Initial section representative cover loops and global reduction open
Levi-Civita holonomy	metric-dependent loop conjugacy	defined after complete metric and loop family are supplied	POTENTIALLY	NOT_CURRENTLY_EXECUTABLE	Complete metric global loops and admissibility rule absent
Current bootstrap	whole-solution predicate	after-solution admissibility only	NO_CURRENT_FUNCTIONAL	NO_CURRENT_MU_EQUATION	Varied B or representative Sigma absent
