completion_id	registered_structure	concrete_metric_status	question
FC01_BOUNDARY_BOUNDARY	two_physical_boundaries	NO_REGISTERED_COMPLETE_METRIC	boundary descent and pair-bundle regularity
FC02_ONE_CAP_BOUNDARY	one_primitive_cap_one_boundary	NO_REGISTERED_COMPLETE_METRIC	cap smoothness versus pair-frame smoothness
FC03_TWO_CAP_P0	two_same_dependent_primitive_cycles	NO_REGISTERED_COMPLETE_METRIC	global section and cap descent
FC04_TWO_CAP_P1	two_unimodular_primitive_caps_S3	TWO_REGISTERED_COMPLETE_CONTROLS	full concrete assembly
FC05_TWO_CAP_P_GT1	lens_space_primitive_caps	NO_REGISTERED_COMPLETE_METRIC	quotient descent and holonomy
FC06_NONPRIMITIVE_CAP	orbifold_or_singular_cap	NO_REGISTERED_COMPLETE_METRIC	regular-stratum versus singular descent
FC07_PERIODIC_TORUS_BUNDLE	GL2Z_mapping_torus	NO_REGISTERED_COMPLETE_METRIC	monodromy descent
FC08_MIRROR_DOUBLE	reflection_or_double_with_multiple_lifts	NO_REGISTERED_COMPLETE_METRIC	mirror lift dependence
FC09_NONORIENTABLE_GLUE	orientation_reversing_glue	NO_REGISTERED_COMPLETE_METRIC	line and arrow orientation descent
FC10_STRATIFIED_PROJECTOR	projector_rank_merger_or_split	NO_REGISTERED_COMPLETE_METRIC	pair regularity through rank transitions
FC11_NONINTEGRABLE_DISTRIBUTION	anholonomic_plane_field	NO_REGISTERED_COMPLETE_METRIC	need or nonneed of orbit surfaces
FC12_RECIPROCAL_TORIC_DIAGONAL	parametric_toric_ansatz_open_profiles	NO_ACTUAL_COMPLETE_REPRESENTATIVE	profile endpoint and lift dependence
