completion_id	pair_bundle_status	global_join_status	naturality_parallelism_status	signed_depth_status
FC01_BOUNDARY_BOUNDARY	CONDITIONAL_ON_REGULAR_LORENTZ_METRIC	OPEN_BOUNDARY_PAIR_DATA	NO_METRIC_FOR_HOLONOMY_OR_NATURALITY	NO_DEPTH
FC02_ONE_CAP_BOUNDARY	CONDITIONAL_ON_SMOOTH_CAP_METRIC	CAP_COORDINATE_COLLAPSE_NOT_AUTOMATIC_FRAME_FAILURE	NO_METRIC_FOR_HOLONOMY_OR_NATURALITY	NO_DEPTH
FC03_TWO_CAP_P0	CONDITIONAL_ON_SMOOTH_CAP_METRIC	GLOBAL_SECTION_AND_CAP_DESCENT_OPEN	NO_METRIC_FOR_HOLONOMY_OR_NATURALITY	NO_DEPTH
FC04_TWO_CAP_P1	PASS_FOR_Q01_Q02_PAIR_FRAME_BUNDLE	SMOOTH_GLOBAL_CONTROLS_WITH_PATH_SETS	CONCRETE_LAMBDA_ATLAS_COMPUTED	NO_FOUNDED_DEPTH
FC05_TWO_CAP_P_GT1	CONDITIONAL_ON_REGULAR_QUOTIENT_METRIC	DECK_ACTION_ON_PAIR_DATA_REQUIRED_FOR_SINGLE_FIELD	NO_METRIC_FOR_HOLONOMY_OR_NATURALITY	NO_DEPTH
FC06_NONPRIMITIVE_CAP	REGULAR_STRATUM_ONLY	ORBIFOLD_ISOTROPY_OR_SINGULAR_DESCENT_OPEN	NO_REGULAR_COMPLETE_METRIC	NO_DEPTH
FC07_PERIODIC_TORUS_BUNDLE	CONDITIONAL_ON_REGULAR_MAPPING_TORUS_METRIC	MONODROMY_ACTS_ON_PAIR_DATA;SINGLE_FIELD_NEEDS_INVARIANCE	NO_METRIC_OR_MONODROMY_REPRESENTATIVE	NO_DEPTH
FC08_MIRROR_DOUBLE	CONDITIONAL_ON_REGULAR_DOUBLE	MIRROR_DESCENT_DEPENDS_ON_UNSELECTED_LIFT	NO_METRIC_OR_LIFT_SELECTION	NO_DEPTH
FC09_NONORIENTABLE_GLUE	CONDITIONAL_ON_REGULAR_LORENTZ_METRIC	PROJECTORS_CAN_IGNORE_LINE_SIGN_BUT_ARROW_DEPTH_ORIENTATION_REMAINS	NO_METRIC_OR_GLUE_REPRESENTATIVE	NO_DEPTH
FC10_STRATIFIED_PROJECTOR	REGULAR_STRATA_PAIR_BUNDLE_ONLY	PROJECTOR_DERIVED_PAIR_CAN_FAIL_AT_RANK_CHANGE;SUPPLIED_PAIR_REMAINS_SEPARATE	NO_COMPLETE_METRIC_TRANSITION	NO_DEPTH
FC11_NONINTEGRABLE_DISTRIBUTION	PAIR_FRAME_BUNDLE_DOES_NOT_REQUIRE_ORBIT_SURFACE	NONINTEGRABILITY_NOT_A_LOCAL_BUNDLE_OBSTRUCTION	NO_COMPLETE_METRIC_OR_GLOBAL_DESCENT	NO_DEPTH
FC12_RECIPROCAL_TORIC_DIAGONAL	CONDITIONAL_PARAMETRIC_ANSATZ	PROFILE_CAP_AND_ENDPOINT_DATA_REQUIRED	NO_ACTUAL_COMPLETE_REPRESENTATIVE	NO_DEPTH
