premise_id	premise	status	role
P01	founded_phi_and_pair_character	pinned-by-THEORY	abstract reciprocal kinematics
P02	complete_metric_per_control	free-and-explored	branch input not universal selection
P03	ordered_orthonormal_u_n_and_path	free-and-explored_as_query	pair-frame groupoid arguments
P04	constant_lambda	free-and-explored_all_real	four exact algebraic strata
P05	Levi_Civita_transport	pinned-by-metric	path transport on supplied metric
P06	vertical_pair_change	pinned-by-typed_groupoid	required when intermediate query frame resets
P07	endpoint_only_path_independence	OPEN_CONDITIONAL	must not be assumed
P08	global_pair_section	OPEN	bundle existence does not supply section
P09	physical_signed_depth	OPEN	metric-native normalized arrow functional absent
P10	boundary_and_variation_domain	OPEN	assembly target not assumed
P11	c_E_and_G_obs	pinned-by-OBSERVATION	fixed calibration only
P12	strong_local_CSN	inactive_challenged	not a selector
P13	action_carrier_source_density_dynamics	OPEN_or_CONDITIONAL	excluded downstream physics
