source_path	role	allowed_use
LIVE.md	current_authority	current status and dependency order
CURRENT_SCIENTIFIC_PREMISES.md	premise_precedence	founded phi anchors and inactive CSN
CURRENT_SCIENTIFIC_PREMISES.tsv	premise_registry	exact current status rows
udt_complete_relational_configuration_variation_domain_audit_2026-07-26/AUDIT_REPORT.md	configuration_typing	physical query gauge and parameter layers
udt_complete_relational_configuration_variation_domain_audit_2026-07-26/EXACT_ARCHITECTURE.md	container_relation	fiberwise lambda_one stratum and variation boundary
udt_covariant_reciprocal_coframe_lift_atlas_2026-07-26/AUDIT_REPORT.md	local_lift	all-lambda family and special strata
udt_covariant_reciprocal_coframe_lift_atlas_2026-07-26/EXACT_DERIVATION.md	local_algebra	X_lambda projectors stabilizers and directional family
udt_observer_pair_path_groupoid_assembly_audit_2026-07-26/AUDIT_REPORT.md	path_groupoid	typed composition all lambda
udt_observer_pair_path_groupoid_assembly_audit_2026-07-26/EXACT_DERIVATION.md	path_algebra	transport vertical resets and holonomy centralizer
udt_global_metric_assembly_atlas_2026-07-22/COMPLETION_CLASS_REGISTRY.tsv	completion_universe	twelve registered global classes
udt_complete_branch_founded_pair_pullback_audit_2026-07-26/AUDIT_REPORT.md	concrete_controls	only FC04 has complete metrics
udt_complete_branch_founded_pair_pullback_audit_2026-07-26/EXACT_DERIVATION.md	homogeneous_geometry	connection Ricci line and complete branch scope
udt_complete_branch_founded_pair_pullback_audit_2026-07-26/CONCRETE_REPRESENTATIVE_ATLAS.tsv	control_registry	exact representative statuses
udt_observer_longitudinal_transverse_cocycle_audit_2026-07-24/AUDIT_REPORT.md	cut_path_structure	full transverse path cocycle and cut locus
udt_observer_longitudinal_transverse_cocycle_audit_2026-07-24/EXACT_DERIVATION.md	cut_algebra	antipodal path continuation and branch clocks
udt_metric_native_signed_depth_availability_audit_2026-07-26/AUDIT_REPORT.md	depth_gap	zero registered all-gate depth routes
udt_founded_pair_global_alignment_audit_2026-07-26/AUDIT_REPORT.md	alignment	metric-selected pair versus global assembly
udt_global_local_relational_closure_audit_2026-07-25/AUDIT_REPORT.md	variation_order	response and action downstream
UDT_SCIENTIFIC_FRONTIER_2026-07-19.md	frontier	historical and current scope distinctions
AGENTS.md	method	binding evidence and claim discipline
