item	status	qualification
complete_directed_relation_state	DERIVED_CONDITIONAL	supplied metric observers and regular route
physical_normalized_projective_position_component	WORKING_FOUNDATIONAL_CLARIFICATION_W5	complete path-labelled frame relation with screen carry
rank_two_pair_germs	DERIVED_CONDITIONAL_NATURAL_PROJECTIONS	JT and JL survive but no active premise types the lawful query family
unique_direct_transfer_to_G2	NOT_DERIVED	no active premise uniquely privileges JT or another rank-two projection
W1_clock_depth_on_JT_JL	DERIVED_CONDITIONAL_QUERY_STABLE	exactly minus log r on both registered projections
plane_screen_transport_Jacobi_outputs	SEPARATELY_TYPED_NOT_COLLAPSED	equal scalar does not identify complete outputs
compatible_query_factorization	COMPATIBLE_NOT_ACTIVE_PREMISE_OWNED	R plus q to Jq is a candidate architecture while the lawful subfunctor remains open
metric_and_kernel_formula	UNCHANGED	h equals J transpose g J and W1 acts after a supplied lawful pullback
observer_route_population	OPEN	not addressed
history_dynamics_scale_observations_Xmax	OPEN_EXCLUDED	not addressed
package_grade	EXTERNALLY_REVIEWED_REPAIRS_CLOSED	scientific R1-R4 and replay-portability R5 externally verified
