item	status	use_in_G299	forbidden_promotion
F1_F4	FOUNDED_OR_DECLARED	reciprocal representation and metric provenance	profile history or dynamics
W1	WORKING_FOUNDATIONAL_CLARIFICATION	terminal normalization after a complete rank-two pullback	unique query or route selector
W4	WORKING_FOUNDATIONAL_CLARIFICATION	one metric owns clocks cones transport and readout	field equation
W5	WORKING_FOUNDATIONAL_CLARIFICATION	physical normalized pair position is the complete projective relation state	canon history scale or route population
W6	WORKING_FOUNDATIONAL_CLARIFICATION	observable response remains metric causal	global now or signalling channel
metric_g	SUPPLIED_BOUNDED_INPUT	construct clocks null legs transport relation state and pullbacks	selected physical history
observer_curves_events_routes	SUPPLIED_BOUNDED_INPUT	define the registered causal relation family	physical population
complete_relation_state_Rgamma	DERIVED_CONDITIONAL_G298	candidate physical kernel domain under W5	global history or path independence
transported_source_projection_JT	DERIVED_CONDITIONAL_G298	natural rank-two query projection	unique physical transfer by construction
target_local_projection_JL	DERIVED_CONDITIONAL_G298	natural rank-two query projection that forgets transported-source carry	equally complete relation state
full_frame_composition	DERIVED_CONDITIONAL_G274	composition owner with screen/frame carry	path independence
W1_clock_depth	DERIVED_CONDITIONAL_G298	projection-stable scalar on registered JT and JL	equality of complete outputs
typed_query_q	TYPE_TO_TEST	labels which lawful projection/readout is requested	physical selector
observations_sources_matter_action_scale_Xmax_history	OPEN_EXCLUDED	no role	repair or selector
