object	status	controlling_source	reason	SNe_effect
terminal_phi_pair	OWNED_CONDITIONAL_ON_SUPPLIED_REGULAR_CALIBRATED_PAIR	udt_terminal_reciprocal_ce_positional_derivation_2026-08-09/AUDIT_REPORT.md	unique reciprocal log imbalance within one fixed pair calibration	retypes the historical redshift depth without changing its formula
pair_cone_c_eff	OWNED_CONDITIONAL_ON_SUPPLIED_PAIR	udt_copresent_causal_pair_functor_selector_audit_2026-08-10/AUDIT_REPORT.md	c_eff_pair/c_E=exp(-2phi_pair) only on a supplied pair cone	confirms the conditional redshift identity; not a signal law
P1_profile	CONDITIONAL_OBSERVER_PAIR_SNE_PROFILE	udt_cmb_N03_profile_role_regular_center_map_2026-08-09/AUDIT_REPORT.md	P1 SNe role survives but centered complete-lapse promotion fails	lawful baseline family only
registered_area_flux_readout	CONDITIONAL_COMPARISON_READOUT	udt_pair_space_metric_transform_sne_readout_audit_2026-07-24/AUDIT_REPORT.md	d_A=r and d_L=(1+z)^2r are the scored assembly	preserves historical score under its premises
complete_pair_orchestra	STRUCTURAL_MODULATION_OWNED__PHYSICAL_MAP_OPEN	udt_complete_pair_phi_orchestra_audit_2026-08-05/AUDIT_REPORT.md	angular and mixing data can enter relational phi before readout	possible upstream change; no selected SNe correction
orchestra_state_curve	OPEN	udt_pair_instrument_mixing_solution_space_audit_2026-08-10/AUDIT_REPORT.md	actual curve through H_R and H_A remains unowned	no coefficient-free regime correction
complete_SNe_pair_immersion	OPEN	udt_common_query_pair_immersion_reconstruction_2026-08-11/AUDIT_REPORT.md	query architecture evaluates supplied realizations but selects none	no physical complete SNe branch to run
complete_SNe_screen_area	OPEN	udt_cmb_N03_profile_role_regular_center_map_2026-08-09/AUDIT_REPORT.md	no role-correct complete global profile or physical screen is mapped	no native replacement for d_A=r
time_live_SNe_history	OPEN	CURRENT_SCIENTIFIC_PREMISES.tsv	kinematic time-live compatibility supplies no on-shell history law	no time-live correction can be computed
bootstrap_SNe_selector	INACTIVE_POSIT	CURRENT_SCIENTIFIC_PREMISES.tsv	bootstrap is not authorized as a selector	no background tuning or fitting
native_complete_SNe_correction	NO_OWNED_COMPLETE_FORMULA	this_ledger	all required upstream owners are not jointly supplied	no numerical improvement test beyond exact retyping
