source_id	path	role	git_blob	sha256	size_bytes
S01	UDT_GLOBAL_BOOTSTRAP_PRINCIPLE_2026-07-15.md	owner_bootstrap_semantics_and_no_local_insertion	5e2a9692a18dac25f4c8f5ace643fd11e7427e65	ce14075bad1ff4b6ea9b41e35dc6b63dfc5a9ae13478bd57c80b1502f33fb540	2693
S02	UDT_NATIVE_ACTION_COLD_PACKET.md	founded_reciprocity_finite_cell_density_and_action_status	dbe0292e446291cdc620abfb261447cb9f7d969f	d38232792ac78188687db433a3f60a08c775c46e9ecf5fc42ad7953dc89fadb0	13221
S03	udt_common_scale_neutrality_provenance_audit_2026-07-24/AUDIT_REPORT.md	controlling_metric_ontology_fork_and_observed_anchor_status	1ddbd07fb788dde6322eebcf5c5935c35927e0fa	98e8fd166e8257e4ad4e40695d05b198c6fc4c1342e39bcfeb013c230a14321d	6559
S04	bootstrap_variation_selector_2026-07-18/DERIVATION_REPORT.md	on_shell_off_shell_and_fixed_placement_nonselection	78ce9bc47375e0923d87a0e28a9456d3e8ed65ab	05a84a7bfeca3d78c628a3a6a343463db11497d66c5889ac0590655728d056f9	11789
S05	udt_bootstrap_clock_angular_closure_audit_2026-07-24/EXACT_DERIVATION.md	density_volume_tracefree_and_simultaneous_closure_parent	4a4f250fc1e4359adb63d9225e8b6d8c0e34f4eb	af29ba9a48392e3797e2338e7e22af0f1e02488aabdfafdceff82e176e4af2a7	6897
S06	udt_free_global_seal_transversality_audit_2026-07-21/AUDIT_REPORT.md	moving_boundary_and_functional_dependence	31ea788da7aa9bec5865c471656ba7e596fa3b99	51c756fff55876b65d342dd075b6f215c20ad9af4b1767ccb20efdae1a9cc5a1	10302
S07	udt_post_july_offshell_response_availability_audit_2026-07-25/AUDIT_REPORT.md	complete_30_family_absence_and_missing_arrows	b19bf6589a3928d82c5650d0aeabe46c2eff56ee	81335d549129849c7b6f0da50c25b1c93f0f45fce3ce6a2f4b4d724f4d0cf2dd	6905
S08	udt_global_local_relational_closure_audit_2026-07-25/AUDIT_REPORT.md	response_one_form_and_downstream_action_contract	deefa2dd350e892a0fd80fa90b7835df792f1ad9	61c0f3301d3b9f1105611efc23d81a8c58cb96f855745757dafaba29c8aba0cd	8153
S09	native_action_final_adjudication_2026-07-18/FINAL_ADJUDICATION_REPORT.md	conditional_action_source_mass_and_complete_action_status	3751d7098b31bd10cfbd6539aa5a57754e4b43b1	71ed06c21c3ef683d0579f2a883584b4f612de4f1b09e16300702b204d437eda	11945
S10	udt_bootstrap_to_local_response_map_audit_2026-07-25/PREREGISTRATION_CORRECTION_01.md	owner_multiobservable_bootstrap_clarification	ec5344efae1682e3318716c04a87dbb806693771	9a1e5f877acd532c57c012b8bbd2a7e4ba1f7d2cbb833e7b36cb95959b4aeb1d	2171
S11	udt_bootstrap_to_local_response_map_audit_2026-07-25/PREREGISTERED_PARAMETER_CHANNELS.tsv	frozen_parameter_channel_universe	d8d4ca5715cb75e758536af596a699fa3bbe974d	7aacfe7b1449acc97ba69a322c99dc8567aec42f2977dd4412d85d59456c3e12	1465
S12	udt_bootstrap_to_local_response_map_audit_2026-07-25/PREREGISTRATION_CORRECTION_02.md	owner_reciprocal_global_local_closure_hypothesis	42ec0f7d50113705650db324f9fe8bc6d604c01d	180c83c3ebb10613b4f3a59b5b7db1b7e1ab7aadf2d4253e54e5b22efc4dd3c5	2223
S13	udt_bootstrap_to_local_response_map_audit_2026-07-25/GLOBAL_LOCAL_CLOSURE_LEDGER.tsv	frozen_two_arrow_and_optimization_distinction	3ef3c428d2c3e4be87ecd6ccf01c8cf4eca0ddc7	a4426f41fb5370a3c8bcc922c7bb17ce4ad728ccd4b694e2768df42975fabc47	1317
S14	udt_bootstrap_to_local_response_map_audit_2026-07-25/PREREGISTRATION_CORRECTION_03.md	owner_tuning_semantics_clarification	48dc4c83b6ea478df6cd92dc336efd47dc4de548	90a3293f055b2856ca9efdd161791119859bd39b4671613f0d38d2ee3399db11	834
S15	udt_bootstrap_to_local_response_map_audit_2026-07-25/OPTIMIZATION_SEMANTICS.tsv	frozen_tuning_versus_scalar_extremization_distinction	4843d9b53483a8e1db4742d79d723d8a9ceaac5a	33f30a047c1b4688d51146587f537d3cd2c260d7725286b038ef12877946e649	397
