object	status	ruling	remaining_open_scope
reciprocal_UDT_kinematics	DERIVED	Prior adjudicated result; not rederived here	Complete dynamics and source remain open
multiobservable_bootstrap_architecture	DERIVED_CONDITIONAL_RESPONSE_SKELETON	The coupled closure A(X,O)=0 and O-R(X)=0 has an exact two-arrow differential	Both maps observable census target dual pairing branch regularity and domain are absent
density_quotient_variation	DERIVED	delta_rho=(delta_M-rho_delta_V)/V for same-solution native M and V	Native mass functional and physical metric ontology remain open
density_window	ON_SHELL_ONLY	A nonempty inequality window filters completed solutions and has no interior Euler response	An exact equality would be a stronger unsupplied premise
density_tracefree_angular_response	CONDITIONAL	Bulk volume is blind to trace-free angular modes so density response there is native delta_M_TF/V	Native mass response is absent; result does not bind other closure channels
energy_channel	OPEN_CANDIDATE	A native differentiable total energy could carry local and angular response	No native energy functional or closure role derived
curvature_channel	OPEN_CANDIDATE	Curvature functionals can have trace-free and boundary response	Invariant derivative order averaging target and boundary completion unselected
finite_cell_boundary_response	OPEN_REQUIRED_TYPE	Moving-boundary variation is required and product-cell volume proves a shape channel exists	Seal boundary corner gluing and global-modulus functionals absent
fixed_point_bootstrap	TYPE_INCOMPLETE	Self-consistency is compatible with a fixed-point map	No map or linearization is selected by its root
reciprocal_global_local_bootstrap	WORKING	Global observables condition local matter-geometry branches and the realized configuration recomputes the global observables	Neither complete arrow domain nor derivative is derived
whole_system_tuning	WORKING	Owner optimization means mutual compatibility of the coupled global-local system	The two complete arrows and their closure are not derived
scalar_extremization_bootstrap	OPEN_STRONGER_PREMISE	A scalar minimum maximum or stationary objective is one possible realization	No native objective ordering sign or weights are derived
calibrated_metric_ontology	OPEN_BRANCH	Proper volume is available after slice and boundary selection	Native mass and closure remain absent
conformal_class_ontology	OPEN_BRANCH_CONDITIONAL_ON_CHALLENGED_CSN	Volume scales as Omega cubed and needs a representative or compensating mass law	No section descent theorem or mass weight derived
c_E_and_G_obs	OBSERVED_ANCHORS	They calibrate dimensions but do not alone select length density or response	Global mass/energy/curvature input and closure remain open
complete_bootstrap_to_local_map	OPEN	No preregistered candidate passes G1 through G8	Differentiable coupled closure section native dual pairing and branch regularity missing
complete_action	OPEN	No action derived or reconstructed in this audit	Response must exist before Helmholtz/action question is well posed
