extension_id	observable_id	status	reason
E01	O01	INCOMPLETE_BASE	founded_two_channel_action_has_no_complete_screen_action
E01	O02	INCOMPLETE_BASE	founded_two_channel_action_has_no_complete_screen_action
E01	O03	INCOMPLETE_BASE	founded_two_channel_action_has_no_complete_screen_action
E01	O04	INCOMPLETE_BASE	founded_two_channel_action_has_no_complete_screen_action
E01	O05	INCOMPLETE_BASE	founded_two_channel_action_has_no_complete_screen_action
E01	O06	INCOMPLETE_BASE	founded_two_channel_action_has_no_complete_screen_action
E01	O07	INCOMPLETE_BASE	founded_two_channel_action_has_no_complete_screen_action
E01	O08	INCOMPLETE_BASE	founded_two_channel_action_has_no_complete_screen_action
E01	O09	INCOMPLETE_BASE	founded_two_channel_action_has_no_complete_screen_action
E01	O10	INCOMPLETE_BASE	founded_two_channel_action_has_no_complete_screen_action
E01	O11	INCOMPLETE_BASE	founded_two_channel_action_has_no_complete_screen_action
E01	O12	INCOMPLETE_BASE	founded_two_channel_action_has_no_complete_screen_action
E02	O01	POINTWISE_UPSTREAM_GEOMETRIC_POTENTIAL_ONLY	pointwise_complete_extension_class_only__local_Lorentz_descent_path_and_global_sky_open
E02	O02	POINTWISE_UPSTREAM_GEOMETRIC_POTENTIAL_ONLY	pointwise_complete_extension_class_only__local_Lorentz_descent_path_and_global_sky_open
E02	O03	POINTWISE_UPSTREAM_GEOMETRIC_POTENTIAL_ONLY	pointwise_complete_extension_class_only__local_Lorentz_descent_path_and_global_sky_open
E02	O04	DOWNSTREAM_SOURCE_AND_COMPRESSION_BLOCKED	spectrum_requires_source_statistical_rule_and_loses_directional_extension_information
E02	O05	DOWNSTREAM_SOURCE_AND_COMPRESSION_BLOCKED	spectrum_requires_source_statistical_rule_and_loses_directional_extension_information
E02	O06	DOWNSTREAM_SOURCE_AND_COMPRESSION_BLOCKED	spectrum_requires_source_statistical_rule_and_loses_directional_extension_information
E02	O07	DOWNSTREAM_SOURCE_AND_COMPRESSION_BLOCKED	spectrum_requires_source_statistical_rule_and_loses_directional_extension_information
E02	O08	DOWNSTREAM_SOURCE_AND_COMPRESSION_BLOCKED	spectrum_requires_source_statistical_rule_and_loses_directional_extension_information
E02	O09	POINTWISE_UPSTREAM_GEOMETRIC_POTENTIAL_ONLY	pointwise_complete_extension_class_only__local_Lorentz_descent_path_and_global_sky_open
E02	O10	POINTWISE_UPSTREAM_GEOMETRIC_POTENTIAL_ONLY	pointwise_complete_extension_class_only__local_Lorentz_descent_path_and_global_sky_open
E02	O11	POINTWISE_UPSTREAM_GEOMETRIC_POTENTIAL_ONLY	pointwise_complete_extension_class_only__local_Lorentz_descent_path_and_global_sky_open
E02	O12	POINTWISE_UPSTREAM_GEOMETRIC_POTENTIAL_ONLY	pointwise_complete_extension_class_only__local_Lorentz_descent_path_and_global_sky_open
E03	O01	POINTWISE_UPSTREAM_GEOMETRIC_POTENTIAL_ONLY	pointwise_complete_extension_class_only__local_Lorentz_descent_path_and_global_sky_open
E03	O02	POINTWISE_UPSTREAM_GEOMETRIC_POTENTIAL_ONLY	pointwise_complete_extension_class_only__local_Lorentz_descent_path_and_global_sky_open
E03	O03	POINTWISE_UPSTREAM_GEOMETRIC_POTENTIAL_ONLY	pointwise_complete_extension_class_only__local_Lorentz_descent_path_and_global_sky_open
E03	O04	DOWNSTREAM_SOURCE_AND_COMPRESSION_BLOCKED	spectrum_requires_source_statistical_rule_and_loses_directional_extension_information
E03	O05	DOWNSTREAM_SOURCE_AND_COMPRESSION_BLOCKED	spectrum_requires_source_statistical_rule_and_loses_directional_extension_information
E03	O06	DOWNSTREAM_SOURCE_AND_COMPRESSION_BLOCKED	spectrum_requires_source_statistical_rule_and_loses_directional_extension_information
E03	O07	DOWNSTREAM_SOURCE_AND_COMPRESSION_BLOCKED	spectrum_requires_source_statistical_rule_and_loses_directional_extension_information
E03	O08	DOWNSTREAM_SOURCE_AND_COMPRESSION_BLOCKED	spectrum_requires_source_statistical_rule_and_loses_directional_extension_information
E03	O09	POINTWISE_UPSTREAM_GEOMETRIC_POTENTIAL_ONLY	pointwise_complete_extension_class_only__local_Lorentz_descent_path_and_global_sky_open
E03	O10	POINTWISE_UPSTREAM_GEOMETRIC_POTENTIAL_ONLY	pointwise_complete_extension_class_only__local_Lorentz_descent_path_and_global_sky_open
E03	O11	POINTWISE_UPSTREAM_GEOMETRIC_POTENTIAL_ONLY	pointwise_complete_extension_class_only__local_Lorentz_descent_path_and_global_sky_open
E03	O12	POINTWISE_UPSTREAM_GEOMETRIC_POTENTIAL_ONLY	pointwise_complete_extension_class_only__local_Lorentz_descent_path_and_global_sky_open
