observable_id	observable	mathematical_type	primary_sensitivity	known_dependency_risk
O01	local_sky_Q_U	spin_weight_plus_minus_2_field_in_chosen_screen_basis	polarization_amplitude_and_orientation	physical_carrier_source_screen_and_calibration
O02	E_mode_map	parity_even_nonlocal_scalar_from_Q_U	gradient_like_angular_pattern	full_sky_or_boundary_decomposition_and_source
O03	B_mode_map	parity_odd_nonlocal_pseudoscalar_from_Q_U	curl_like_pattern_rotation_lensing_or_source	foreground_lensing_source_and_basis_systematics
O04	EE_power_spectrum	rotationally_averaged_two_point_E_variance	angular_scale_and_source_transfer	statistical_isotropy_source_history_and_mask
O05	BB_power_spectrum	rotationally_averaged_two_point_B_variance	rotation_lensing_tensor_or_other_source	foregrounds_delensing_source_and_mask
O06	TE_power_spectrum	temperature_E_cross_spectrum	phase_correlation_of_temperature_and_polarization	temperature_source_polarization_source_and transfer
O07	TB_power_spectrum	temperature_B_cross_spectrum	parity_or_rotation_diagnostic	calibration_source_parity_and_isotropy
O08	EB_power_spectrum	E_B_cross_spectrum	rotation_or_parity_diagnostic	polarization_angle_calibration_source_parity_and_isotropy
O09	position_dependent_polarization_rotation	local_or_direction_dependent_spin_2_rotation_field	connection_holonomy_or_birefringent_readout	physical polarization transport_and_calibration
O10	off_diagonal_harmonic_covariance	full_m_mprime_or_bipolar_correlation_structure	directional_anisotropy_topology_or_modulation	mask_noise_foregrounds_and_statistical_model
O11	real_space_spin_correlation_functions	basis_transport_aware_Q_U_two_point_functions	path_screen_and_directional_structure	observer_screen_transport_mask_and_source
O12	multi_frequency_and_map_level_consistency	frequency_and_location_resolved_Q_U_data	separation_of_geometry_from_foregrounds_or_carrier_effects	instrument_bandpass_foregrounds_and_native_frequency_law
