catch_id	mutation	status
F01	omit_or_duplicate_observable_type	PASS
F02	omit_or_duplicate_extension_row	PASS
F03	omit_a_gate_or_capability_cell	PASS
F04	call_a_geometric_screen_vector_physical_polarization	PASS
F05	import_Maxwell_or_Thomson_as_native_UDT	PASS
F06	call_E_or_B_local_basis_components	PASS
F07	call_power_spectrum_a_complete_directional_statistic	PASS
F08	call_zero_TB_or_EB_a_metric_only_prediction	PASS
F09	call_nonzero_BB_a_unique_holonomy_signature	PASS
F10	call_rotation_without_angle_calibration_control_unique	PASS
F11	call_path_transport_a_selected_physical_path	PASS
F12	call_extension_capability_extension_selection	PASS
F13	activate_strong_local_CSN	PASS
F14	splice_stationary_depth_screen_transport_and_source_from_different_branches	PASS
F15	derive_source_peak_phase_or_amplitude_from_metric_only	PASS
F16	fit_or_select_extension_parameters_from_CMB	PASS
F17	assume_statistical_isotropy_as_UDT_theorem	PASS
F18	drop_off_diagonal_or_real_space_statistics_for_directional_holonomy	PASS
F19	call_map_level_anomaly_a_power_spectrum_result	PASS
F20	promote_external_comparison_to_affirmative_UDT_physics	PASS
F21	derive_Xmax_bootstrap_action_source_boundary_or_mass	PASS
F22	claim_CMB_validates_UDT_before_native_prediction_chain	PASS
F23	bank_without_source_provenance_and_no_production_read_independence	PASS
F24	bank_without_fresh_adversarial_review	PASS
