criterion	coverage	dropped_scope	could_host_emergent_structure
1_FIELDS	TYPE_NAMES_ONLY	complete_metric_variation_polarization_carrier_matter_fields	YES
2_ACTION_TERMS	NONE	all_native_action_and_boundary_terms	YES
3_FULL_EQUATIONS	NONE	all_native_field_and_source_equations	YES
4_DOMAIN_COORDINATES	OBSERVABLE_SKY_TYPES_ONLY	physical_observer_event_path_screen_and_spacetime_domain	YES
5_BOUNDARY_REGULARITY	NONE	global_sky_patches_finite_cell_seal_and_boundaries	YES
6_TOPOLOGICAL_SECTOR	NONE	all_global_angular_and_carrier_sectors	YES
7_DYNAMICAL_CHARACTER	NONE	static_stationary_time_live_and_propagation_laws	YES
8_BRANCH_BIFURCATION	NONE	all_complete_metric_and_source_branches	YES
9_STABILITY_SPECTRUM	NONE	all_persistence_and_stability_questions	YES
10_REGIME_OF_VALIDITY	BOUNDED_TYPING_AUDIT_ONLY	all_physical_parameter_scale_frequency_and_density regimes	YES
