catch_id	false_promotion_or_corruption	required_result
F01	omit_or_duplicate_observable_type	FAIL
F02	omit_or_duplicate_extension_row	FAIL
F03	omit_a_gate_or_capability_cell	FAIL
F04	call_a_geometric_screen_vector_physical_polarization	FAIL
F05	import_Maxwell_or_Thomson_as_native_UDT	FAIL
F06	call_E_or_B_local_basis_components	FAIL
F07	call_power_spectrum_a_complete_directional_statistic	FAIL
F08	call_zero_TB_or_EB_a_metric_only_prediction	FAIL
F09	call_nonzero_BB_a_unique_holonomy_signature	FAIL
F10	call_rotation_without_angle_calibration_control_unique	FAIL
F11	call_path_transport_a_selected_physical_path	FAIL
F12	call_extension_capability_extension_selection	FAIL
F13	activate_strong_local_CSN	FAIL
F14	splice_stationary_depth_screen_transport_and_source_from_different_branches	FAIL
F15	derive_source_peak_phase_or_amplitude_from_metric_only	FAIL
F16	fit_or_select_extension_parameters_from_CMB	FAIL
F17	assume_statistical_isotropy_as_UDT_theorem	FAIL
F18	drop_off_diagonal_or_real_space_statistics_for_directional_holonomy	FAIL
F19	call_map_level_anomaly_a_power_spectrum_result	FAIL
F20	promote_external_comparison_to_affirmative_UDT_physics	FAIL
F21	derive_Xmax_bootstrap_action_source_boundary_or_mass	FAIL
F22	claim_CMB_validates_UDT_before_native_prediction_chain	FAIL
F23	bank_without_source_provenance_and_no_production_read_independence	FAIL
F24	bank_without_fresh_adversarial_review	FAIL
