gate_id	gate	pass_condition
C01	preregistration	committed_before_external_source_inspection_or_outcomes
C02	local_source_freeze	10_of_10_local_sources_match_blob_and_sha256
C03	external_source_provenance	primary_sources_and_direct_product_pages_only
C04	observable_coverage	12_of_12_observable_types_exactly_once
C05	extension_coverage	12_of_12_extension_rows_across_144_cells
C06	dependency_chain	all_14_gates_typed_per_observable
C07	no_import_promotion	L0_L1_L2_L3_separation_machine_checked
C08	independent	no_production_read_reconstruction
C09	catches	24_of_24_actual_structured_mutations_rejected
C10	fresh_adversary	source_first_verdict_recorded
C11	repository	frozen_navigation_tests_dirty_metadata_pass
