observable_id	gate_id	status
O01	G01	DEFINED_EXTERNAL_MATHEMATICAL_TYPE
O01	G02	AVAILABLE_CONDITIONAL_GIVEN_TYPED_SCREEN
O01	G03	AVAILABLE_CONDITIONAL_GEOMETRIC_ACTION
O01	G04	OPEN_UNSELECTED_EXTENSION
O01	G05	OPEN_PHYSICAL_DOMAIN
O01	G06	OPEN_PHYSICAL_CARRIER
O01	G07	OPEN_NATIVE_SOURCE
O01	G08	OPEN_GLOBAL_SKY
O01	G09	BASIS_COVARIANT_NOT_INVARIANT
O01	G10	OPEN_NATIVE_STATISTICAL_OR_SINGLE_SKY_RULE
O01	G11	EXTERNAL_SEPARATION_REQUIRED
O01	G12	NOT_SELECTED_UNIQUE_SIGNATURE
O01	G13	DIRECTIONAL_INFORMATION_RETAINED
O01	G14	NOT_AVAILABLE_UDT_PREDICTION
O02	G01	DEFINED_EXTERNAL_MATHEMATICAL_TYPE
O02	G02	AVAILABLE_CONDITIONAL_GIVEN_TYPED_SCREEN
O02	G03	AVAILABLE_CONDITIONAL_GEOMETRIC_ACTION
O02	G04	OPEN_UNSELECTED_EXTENSION
O02	G05	OPEN_PHYSICAL_DOMAIN
O02	G06	OPEN_PHYSICAL_CARRIER
O02	G07	OPEN_NATIVE_SOURCE
O02	G08	OPEN_GLOBAL_SKY
O02	G09	AVAILABLE_CONDITIONAL_GLOBAL_DECOMPOSITION
O02	G10	OPEN_NATIVE_STATISTICAL_OR_SINGLE_SKY_RULE
O02	G11	EXTERNAL_SEPARATION_REQUIRED
O02	G12	NOT_SELECTED_UNIQUE_SIGNATURE
O02	G13	DIRECTIONAL_INFORMATION_RETAINED
O02	G14	NOT_AVAILABLE_UDT_PREDICTION
O03	G01	DEFINED_EXTERNAL_MATHEMATICAL_TYPE
O03	G02	AVAILABLE_CONDITIONAL_GIVEN_TYPED_SCREEN
O03	G03	AVAILABLE_CONDITIONAL_GEOMETRIC_ACTION
O03	G04	OPEN_UNSELECTED_EXTENSION
O03	G05	OPEN_PHYSICAL_DOMAIN
O03	G06	OPEN_PHYSICAL_CARRIER
O03	G07	OPEN_NATIVE_SOURCE
O03	G08	OPEN_GLOBAL_SKY
O03	G09	AVAILABLE_CONDITIONAL_GLOBAL_DECOMPOSITION
O03	G10	OPEN_NATIVE_STATISTICAL_OR_SINGLE_SKY_RULE
O03	G11	EXTERNAL_SEPARATION_REQUIRED
O03	G12	NOT_SELECTED_UNIQUE_SIGNATURE
O03	G13	DIRECTIONAL_INFORMATION_RETAINED
O03	G14	NOT_AVAILABLE_UDT_PREDICTION
O04	G01	DEFINED_EXTERNAL_MATHEMATICAL_TYPE
O04	G02	AVAILABLE_CONDITIONAL_GIVEN_TYPED_SCREEN
O04	G03	AVAILABLE_CONDITIONAL_GEOMETRIC_ACTION
O04	G04	OPEN_UNSELECTED_EXTENSION
O04	G05	OPEN_PHYSICAL_DOMAIN
O04	G06	OPEN_PHYSICAL_CARRIER
O04	G07	OPEN_NATIVE_SOURCE
O04	G08	OPEN_GLOBAL_SKY
O04	G09	AVAILABLE_CONDITIONAL_GLOBAL_DECOMPOSITION
O04	G10	OPEN_NATIVE_STATISTICAL_OR_SINGLE_SKY_RULE
O04	G11	EXTERNAL_SEPARATION_REQUIRED
O04	G12	NOT_SELECTED_UNIQUE_SIGNATURE
O04	G13	DIRECTIONAL_INFORMATION_COMPRESSED
O04	G14	NOT_AVAILABLE_UDT_PREDICTION
O05	G01	DEFINED_EXTERNAL_MATHEMATICAL_TYPE
O05	G02	AVAILABLE_CONDITIONAL_GIVEN_TYPED_SCREEN
O05	G03	AVAILABLE_CONDITIONAL_GEOMETRIC_ACTION
