object	status	scope
CMB_maps_and_reported_products	OBSERVED_EXTERNAL_READOUT	Planck_ACT_BICEP_Keck products not UDT interpretation
spin_two_Q_U_transformation	DEFINED_EXTERNAL_MATHEMATICAL_TYPE	supplied physical polarization in chosen screen basis
E_B_decomposition	DEFINED_EXTERNAL_NONLOCAL_READOUT	global sky boundary mask and convention dependent in application
metric_screen_bundle	AVAILABLE_CONDITIONAL_GEOMETRY	requires typed observer null direction path and screen
metric_screen_transport_holonomy	AVAILABLE_CONDITIONAL_GEOMETRY	not automatically physical polarization transport
selected_complete_coframe_extension	OPEN	seven infinitesimal chart directions remain unselected
physical_observer_event_path_screen_domain	OPEN	variation domain and physical arrow category unselected
native_physical_polarization_carrier	OPEN	Maxwell photon interpretation prohibited as UDT derivation
native_polarization_source_interaction	OPEN	Thomson primordial and transfer physics external only
global_sky_completion	OPEN	patch topology boundary and transition law unselected
native_statistical_or_single_sky_rule	OPEN	isotropy Gaussianity and ensemble not UDT-derived
isotropic_power_spectrum_directional_completeness	REFUTED_EXACT_NONINJECTIVE	distinct maps share identical C_ell
uniform_rotation_group_action	DEFINED_EXTERNAL_MATHEMATICAL_TYPE	EB_TB sensitivity only
physical_rotation_vs_angle_calibration	OPEN_DEGENERATE	exact additive degeneracy and observed systematics
BB_as_unique_holonomy_signature	REFUTED_NONUNIQUE	source_lensing_foreground_instrument_transport decomposition open
O09_O10_O11	TIED_HIGHEST_INFORMATION_FUTURE_GUIDEPOST	conditional after native chain; O11 only full unaveraged pair_orientation form
O01_O02_O03_O12	MAP_LEVEL_CONDITIONAL_GUIDEPOST	global basis carrier source and calibration needed
O07_O08_O05	SENSITIVE_BUT_DEGENERATE_SPECTRAL_GUIDEPOST	cannot attribute to UDT now
O04_O06	LATE_SOURCE_TRANSFER_CONSILIENCE	cannot constrain metric extension now
CMB_polarization_as_current_UDT_prediction	ABSENT_OPEN_CHAIN	no same-branch extension domain carrier source completion
CMB_polarization_as_future_guidepost	PROMISING_CONDITIONAL	best initial discriminators are map_offdiagonal_real_space not spectrum fit
strong_local_CSN	CHALLENGED_OWNER_POSTULATE_NOT_DERIVED_INACTIVE	unchanged
Xmax_bootstrap_action_source_boundary_mass	OPEN_OR_WORKING_UNCHANGED	no inference from CMB audit
