link_id	object	status	layer	depends_on	blocks
D01	complete_metric_and_coframe_atlas	DERIVED_CLASSIFICATION_OPEN_SELECTION	L1	founded_pair	D03
D02	physical_observer_event_path_screen_variation_domain	OPEN	L1	complete_metric	D03
D03	geometric_screen_transport_and_holonomy	AVAILABLE_CONDITIONAL_GIVEN_D01_D02	L1	D01;D02	D05
D04	native_physical_polarization_carrier	OPEN	L3	native_field_identification	D05
D05	native_polarization_source_and_propagation_law	OPEN	L3	D03;D04;native_matter_source	D06
D06	native_global_sky_Q_U_section	OPEN	L3	D05;global_completion	D09
D07	observed_external_Q_U_maps	OBSERVED_EXTERNAL_READOUT	L2	instrument_component_separation	comparison_requires_D10
D08	E_B_and_spin_correlation_mathematical_transforms	DEFINED_EXTERNAL_MATHEMATICAL_TYPE	L0	supplied_Q_U_and_global_analysis_domain	none_as_math
D09	native_statistical_or_single_sky_prediction	OPEN	L3	D06;native_ensemble_or_deterministic_rule	D10
D10	instrument_foreground_calibrated_comparison	OBSERVED_EXTERNAL_READOUT_ONLY	L2	D07;D08;D09;frequency_noise_mask_calibration	UDT_prediction_until_D01_D09_close
