external_id	source_class	title	url	version_or_date	admissible_use	prohibited_promotion
X01	S11	Planck 2018 results V CMB power spectra and likelihoods	https://arxiv.org/abs/1907.12875	2020_AA_641_A5	TT_TE_EE likelihood calibration leakage and systematics provenance	LambdaCDM likelihood cannot become UDT dynamics
X02	S12	Planck 2018 results IV Diffuse component separation	https://arxiv.org/abs/1807.06208	2020_AA_641_A4	polarization map component separation noise and simulation caveats	cleaned map cannot be called source-free truth
X03	S14	NASA LAMBDA Planck mission data products	https://lambda.gsfc.nasa.gov/product/planck/curr/planck_prod_irsa.html	PR4_NPIPE_current_2026-07-27	public temperature and polarization product provenance	archive products do not select UDT interpretation
X04	S11	ACT DR6 power spectra likelihoods and LambdaCDM parameters	https://arxiv.org/abs/2503.14452	2025_DR6	current TT_TE_EE measurement pipeline and comparison provenance	model fits cannot supply UDT source or transfer law
X05	S12	ACT DR6 power spectrum foreground model and validation	https://arxiv.org/abs/2506.06274	2025_DR6_foregrounds	foreground covariance and modeling dependence provenance	foreground marginalization cannot be hidden
X06	S14	NASA LAMBDA ACT DR6.02 maps and data products	https://lambda.gsfc.nasa.gov/product/act/act_dr6.02/index.html	DR6.02_current_2026-07-27	map beam passband mask covariance and likelihood product provenance	data product is not native UDT prediction
X07	S11	An All-Sky Analysis of Polarization in the Microwave Background	https://arxiv.org/abs/astro-ph/9609170	PhysRevD_55_1830_1997	spin_2 and E_B mathematical readout types only	Maxwell scalar_tensor source statements remain external
X08	S11	Planck 2018 results VII Isotropy and Statistics of the CMB	https://arxiv.org/abs/1906.02552	2020_AA_641_A7	statistical isotropy Gaussianity and anomaly analysis provenance	isotropy and Gaussianity cannot be UDT premises
X09	S12	Cosmic Birefringence from ACT DR6	https://arxiv.org/abs/2509.13654	arXiv_v2_2026-04-14	EB_TB rotation calibration and leakage discriminator provenance	birefringence mechanism and significance cannot be imported
X10	S13	BICEP Keck XIII constraints through 2018 season	https://arxiv.org/abs/2110.00483	PhysRevLett_127_151301_2021	BB foreground lensing and source-degeneracy provenance	primordial tensor interpretation cannot be imported
