premise_id	premise	status	use	open_scope
P01	founded reciprocal base generator and pair depth	DERIVED	longitudinal algebra only	physical pair path and full extension open
P02	complete coframe extension atlas	DERIVED_CLASSIFICATION	all twelve rows explored	unique physical member open
P03	typed path screen and Jacobi transport	DERIVED_GIVEN_INPUTS	geometric capability control	physical observer path and screen open
P04	full holonomy twisted branch	CONDITIONAL_OFF_SHELL_CONTROL	transport stress test	not selected whole universe
P05	physical polarization carrier	OPEN	prohibited from assumption	metric screen vector is not automatically photon polarization
P06	native polarization source interaction	OPEN	prohibited from assumption	matter source and transfer dynamics absent
P07	CMB maps and reported polarization products	OBSERVED_EXTERNAL_READOUT	comparison only	no UDT interpretation presumed
P08	Maxwell geometric optics Thomson scattering primordial transfer and LCDM	EXTERNAL_COMPARISON_ONLY	type and provenance reference	cannot supply affirmative UDT physics
P09	statistical isotropy Gaussianity and parity assumptions	EXTERNAL_ANALYSIS_PREMISES	compression audit only	not UDT-derived
P10	copresence	WORKING_INTERPRETIVE_FRAME	no signal ontology promotion	no transmission law asserted
P11	strong local CSN	CHALLENGED_OWNER_POSTULATE_NOT_DERIVED_INACTIVE	guard only	cannot select extension
P12	Xmax bootstrap action source boundary mass	OPEN_OR_WORKING_UNCHANGED	excluded from selection	no new closure
