extension_id	row_name	row_type	controlling_status
E01	FOUNDED_TWO_CHANNEL_SUBGROUP	INCOMPLETE_BASE	DERIVED
E02	GENERAL_TRIANGULAR_COMPLETE_COFRAME_EXTENSION	POINTWISE_FAMILY	DERIVED_CLASSIFICATION_RANK_7
E03	DETERMINANT_ONE_EXTENSION	POINTWISE_FAMILY	DERIVED_CLASSIFICATION_RANK_6
E04	TRANSVERSE_METRIC_INVARIANT_EXTENSION	POINTWISE_FAMILY	DERIVED_CLASSIFICATION_RANK_4
E05	NO_BASE_ANGULAR_MIXING_EXTENSION	POINTWISE_FAMILY	DERIVED_CLASSIFICATION_RANK_3
E06	DIRECT_SUM_SPECTATOR_EXTENSION	CONDITIONAL_WITNESS	UNIQUE_ONLY_GIVEN_TWO_EXTRA_PREMISES
E07	RECIPROCAL_ANGULAR_COUNTERFAMILY	COUNTERFAMILY	DERIVED_EXACT_COUNTERMODEL
E08	SHIFT_MIXING_COUNTERFAMILY	COUNTERFAMILY	DERIVED_EXACT_COUNTERMODEL
E09	PHYSICAL_METRIC_READING	READING_LAYER	OPEN_SELECTION_RANK_7
E10	CONFORMAL_CLASS_READING	INACTIVE_READING_LAYER	STRONG_LOCAL_CSN_INACTIVE
E11	LOCAL_LORENTZ_QUOTIENT	DESCENT_LAYER	OPEN
E12	PROFILE_PATH_BOUNDARY_GLOBAL_EXTENSION	GLOBAL_LAYER	OPEN
