candidate_id	four_metric_status	screen_modes_active	configuration_alternating_class	nonzero_registered_points	causal_strata	intrinsic_projector_precondition
C01	LORENTZIAN_NONDEGENERATE	NONE	ZERO_IDENTICALLY	-	Q_POSITIVE_FOR_U_4_TO_11	PENDING_KILLING_CERTIFICATE__TWIST_NONZERO
C02	LORENTZIAN_NONDEGENERATE	NONE	ZERO_IDENTICALLY	-	Q_POSITIVE_FOR_U_4_TO_11	PENDING_KILLING_CERTIFICATE__TWIST_NONZERO
C03	LORENTZIAN_NONDEGENERATE	NONE	ZERO_IDENTICALLY	-	Q_POSITIVE_FOR_U_4_TO_11	PENDING_KILLING_CERTIFICATE__TWIST_NONZERO
C04	LORENTZIAN_NONDEGENERATE	AREA	NONZERO_SIMPLE_OPEN_DENSE_WITH_ZERO_LOCUS_RETAINED	p1;p2	Q_POSITIVE_FOR_U_4_TO_11	PENDING_KILLING_CERTIFICATE__TWIST_NONZERO
C05	LORENTZIAN_NONDEGENERATE	SHEAR_R	ZERO_IDENTICALLY	-	Q_POSITIVE_FOR_U_4_TO_11	PENDING_KILLING_CERTIFICATE__TWIST_NONZERO
C06	LORENTZIAN_NONDEGENERATE	SHEAR_B	ZERO_IDENTICALLY	-	Q_POSITIVE_FOR_U_4_TO_11	PENDING_KILLING_CERTIFICATE__TWIST_NONZERO
C07	LORENTZIAN_NONDEGENERATE	SHEAR_R+SHEAR_B	ZERO_IDENTICALLY	-	Q_POSITIVE_FOR_U_4_TO_11	PENDING_KILLING_CERTIFICATE__TWIST_NONZERO
C08	LORENTZIAN_NONDEGENERATE	AREA+SHEAR_R+SHEAR_B	NONZERO_SIMPLE_OPEN_DENSE_WITH_ZERO_LOCUS_RETAINED	p1;p2	Q_POSITIVE_FOR_U_4_TO_11	PENDING_KILLING_CERTIFICATE__TWIST_NONZERO
C09	LORENTZIAN_NONDEGENERATE	AREA+SHEAR_R+SHEAR_B	NONZERO_SIMPLE_OPEN_DENSE_WITH_ZERO_LOCUS_RETAINED	p1;p2	Q_POSITIVE_FOR_U_4_TO_11	PENDING_KILLING_CERTIFICATE__TWIST_NONZERO
C10	LORENTZIAN_NONDEGENERATE	AREA+SHEAR_R+SHEAR_B	NONZERO_SIMPLE_OPEN_DENSE_WITH_ZERO_LOCUS_RETAINED	p1;p2	Q_POSITIVE_FOR_U_4_TO_11	PENDING_KILLING_CERTIFICATE__TWIST_NONZERO
C11	LORENTZIAN_NONDEGENERATE	AREA+SHEAR_R+SHEAR_B	ZERO_IDENTICALLY	-	Q_POSITIVE_FOR_U_4_TO_11	PENDING_KILLING_CERTIFICATE__TWIST_NONZERO
C12	LORENTZIAN_NONDEGENERATE	SHEAR_R+SHEAR_B	ZERO_IDENTICALLY	-	Q_POSITIVE_FOR_U_4_TO_11	PENDING_KILLING_CERTIFICATE__TWIST_NONZERO
C13	LORENTZIAN_NONDEGENERATE	AREA+SHEAR_R+SHEAR_B	ZERO_IDENTICALLY	-	Q_POSITIVE_FOR_U_4_TO_11	PENDING_KILLING_CERTIFICATE__TWIST_NONZERO
C14	LORENTZIAN_NONDEGENERATE	NONE	ZERO_IDENTICALLY	-	Q_POSITIVE_FOR_U_4_TO_11	PENDING_KILLING_CERTIFICATE__TWIST_NONZERO
C15	LORENTZIAN_NONDEGENERATE	AREA+SHEAR_R+SHEAR_B	NONZERO_SIMPLE_OPEN_DENSE_WITH_ZERO_LOCUS_RETAINED	p1;p2	SLICE_POSITIVE_BUT_CONTACT_PAIR_UNDEFINED	BLOCKED_TWIST_ZERO
C16	LORENTZIAN_NONDEGENERATE	AREA+SHEAR_R+SHEAR_B	NONZERO_SIMPLE_OPEN_DENSE_WITH_ZERO_LOCUS_RETAINED	p1;p2	Q_ZERO_AT_U4__Q_POSITIVE_FOR_U_GT_4	PENDING_KILLING_CERTIFICATE__TWIST_NONZERO
C17	LORENTZIAN_NONDEGENERATE	AREA+SHEAR_R+SHEAR_B	NONZERO_SIMPLE_OPEN_DENSE_WITH_ZERO_LOCUS_RETAINED	p1;p2	Q_NEGATIVE_U4_TO_LT5__Q_ZERO_U5__Q_POSITIVE_U_GT5	PENDING_KILLING_CERTIFICATE__TWIST_NONZERO
C18	DEGENERATE	SHEAR_R+SHEAR_B	UNDEFINED_METRIC_DEGENERATE	-	UNDEFINED_METRIC_DEGENERATE	BLOCKED_METRIC_DEGENERATE
