gate_id	mutation_or_failure	must_fail_or_narrow
F01	candidate_missing_or_duplicate	candidate_universe_completeness
F02	candidate_profile_or_point_changed_after_outcome	preregistration_integrity
F03	exact_parent_J_fails_to_reproduce	neighborhood_continuity_route
F04	exact_J_nonzero_at_neither_registered_point	that_candidate_unique_Killing_certificate
F05	two_zero_J_samples_called_extra_symmetry	Killing_classification_honesty
F06	homogeneous_control_called_unique_Killing_by_sampling	symmetry_control
F07	Killing_line_claim_ignores_time_dependent_candidate_coefficients	full_Killing_certificate
F08	passive_frame_slots_used_without_reconstructing_projector	metric_naturality_claim
F09	change_sign_of_normalized_T_or_S_changes_QT_QS_Q	intrinsic_scalar_claim
F10	constant_rescaling_of_unnormalized_K_changes_projector_or_Q	Killing_normalization_invariance
F11	QT_QS_or_Q_formula_mismatch	exact_intrinsic_contact_formula
F12	a_zero_receives_ruler_line_or_pair_projector	twist_free_control
F13	dphi_wedge_dsigma_formula_mismatch	exact_alternating_identity
F14	constant_V_V_equal_u_or_constant_u_called_nonzero	alternating_zero_controls
F15	independent_V_profile_has_no_exact_nonzero_wedge_coefficient	registered_nonzero_alternating_claim
F16	shear_profile_changes_D_or_direct_alternating_formula	determinant_shear_separation
F17	nonzero_simple_called_global_nowhere_zero	zero_locus_honesty
F18	exterior_simple_rank_confused_with_antisymmetric_matrix_rank	terminology_guard
F19	a_four_causal_strata_mismatch	slice_null_endpoint_control
F20	a_five_causal_strata_mismatch	slice_sign_change_control
F21	a_four_or_a_five_four_metric_called_degenerate_solely_from_Q	coframe_Lorentzian_guard
F22	V_zero_curvature_or_inverse_is_regularized_or_computed	degenerate_control
F23	explicit_epsilon_one_tenth_witness_inferred_only_from_unquantified_openness	concrete_witness_certificate
F24	neighborhood_claim_lacks_parent_nonzero_J_or_finite_jet_continuity	open_neighborhood_claim
F25	open_neighborhood_called_universal_full_screen_theorem	bounded_scope_guard
F26	stationary_S3_configuration_called_on_shell_or_selected	authority_guard
F27	action_source_boundary_density_bootstrap_carrier_Xmax_matter_mass_or_stability_inferred	physics_scope_guard
F28	GPU_fitting_or_outcome_dependent_retuning_used	method_guard
F29	production_and_independent_routes_share_load_bearing_functions	independence_guard
F30	full_smooth_GL2_or_time_live_space_called_exhausted	completeness_guard
