gate_id	result	proof_class	mutation_or_failure	exception
F01	CAUGHT	EXACT_OUTPUT_OR_ALGEBRA_GUARD	candidate_missing_or_duplicate	AssertionError
F02	CAUGHT	EXACT_OUTPUT_OR_ALGEBRA_GUARD	candidate_profile_or_point_changed_after_outcome	AssertionError
F03	CAUGHT	EXACT_OUTPUT_OR_ALGEBRA_GUARD	exact_parent_J_fails_to_reproduce	AssertionError
F04	CAUGHT	EXACT_OUTPUT_OR_ALGEBRA_GUARD	exact_J_nonzero_at_neither_registered_point	AssertionError
F05	CAUGHT	SEMANTIC_SCOPE_GUARD	two_zero_J_samples_called_extra_symmetry	AssertionError
F06	CAUGHT	SEMANTIC_SCOPE_GUARD	homogeneous_control_called_unique_Killing_by_sampling	AssertionError
F07	CAUGHT	EXACT_OUTPUT_OR_ALGEBRA_GUARD	Killing_line_claim_ignores_time_dependent_candidate_coefficients	AssertionError
F08	CAUGHT	EXACT_OUTPUT_OR_ALGEBRA_GUARD	passive_frame_slots_used_without_reconstructing_projector	AssertionError
F09	CAUGHT	EXACT_OUTPUT_OR_ALGEBRA_GUARD	change_sign_of_normalized_T_or_S_changes_QT_QS_Q	AssertionError
F10	CAUGHT	EXACT_OUTPUT_OR_ALGEBRA_GUARD	constant_rescaling_of_unnormalized_K_changes_projector_or_Q	AssertionError
F11	CAUGHT	EXACT_OUTPUT_OR_ALGEBRA_GUARD	QT_QS_or_Q_formula_mismatch	AssertionError
F12	CAUGHT	SEMANTIC_SCOPE_GUARD	a_zero_receives_ruler_line_or_pair_projector	AssertionError
F13	CAUGHT	EXACT_OUTPUT_OR_ALGEBRA_GUARD	dphi_wedge_dsigma_formula_mismatch	AssertionError
F14	CAUGHT	EXACT_OUTPUT_OR_ALGEBRA_GUARD	constant_V_V_equal_u_or_constant_u_called_nonzero	AssertionError
F15	CAUGHT	EXACT_OUTPUT_OR_ALGEBRA_GUARD	independent_V_profile_has_no_exact_nonzero_wedge_coefficient	AssertionError
F16	CAUGHT	EXACT_OUTPUT_OR_ALGEBRA_GUARD	shear_profile_changes_D_or_direct_alternating_formula	AssertionError
F17	CAUGHT	SEMANTIC_SCOPE_GUARD	nonzero_simple_called_global_nowhere_zero	AssertionError
F18	CAUGHT	EXACT_OUTPUT_OR_ALGEBRA_GUARD	exterior_simple_rank_confused_with_antisymmetric_matrix_rank	AssertionError
F19	CAUGHT	EXACT_OUTPUT_OR_ALGEBRA_GUARD	a_four_causal_strata_mismatch	AssertionError
F20	CAUGHT	EXACT_OUTPUT_OR_ALGEBRA_GUARD	a_five_causal_strata_mismatch	AssertionError
F21	CAUGHT	EXACT_OUTPUT_OR_ALGEBRA_GUARD	a_four_or_a_five_four_metric_called_degenerate_solely_from_Q	AssertionError
F22	CAUGHT	EXACT_OUTPUT_OR_ALGEBRA_GUARD	V_zero_curvature_or_inverse_is_regularized_or_computed	AssertionError
F23	CAUGHT	EXACT_OUTPUT_OR_ALGEBRA_GUARD	explicit_epsilon_one_tenth_witness_inferred_only_from_unquantified_openness	AssertionError
F24	CAUGHT	EVIDENCE_BACKED_SEMANTIC_GUARD	neighborhood_claim_lacks_parent_nonzero_J_or_finite_jet_continuity	AssertionError
F25	CAUGHT	SEMANTIC_SCOPE_GUARD	open_neighborhood_called_universal_full_screen_theorem	AssertionError
F26	CAUGHT	SEMANTIC_SCOPE_GUARD	stationary_S3_configuration_called_on_shell_or_selected	AssertionError
F27	CAUGHT	SEMANTIC_SCOPE_GUARD	action_source_boundary_density_bootstrap_carrier_Xmax_matter_mass_or_stability_inferred	AssertionError
F28	CAUGHT	SEMANTIC_SCOPE_GUARD	GPU_fitting_or_outcome_dependent_retuning_used	AssertionError
F29	CAUGHT	EVIDENCE_BACKED_SEMANTIC_GUARD	production_and_independent_routes_share_load_bearing_functions	AssertionError
F30	CAUGHT	SEMANTIC_SCOPE_GUARD	full_smooth_GL2_or_time_live_space_called_exhausted	AssertionError
