claim_id	object	status	exact_scope	open_scope
S01	general_positive_screen_metric	DERIVED_CONFIGURATION_SPACE	area_plus_two_shears_on_registered_stationary_S3_family	dynamics_selection_and_full_function_space
S02	screen_and_pair_determinants	DERIVED_EXACT	det_shape_1_det_screen_u_2lambda_V2_det_pair_minus1	none_inside_registered_coframe
S03	unique_timelike_Killing_line	DERIVED_DENSE_OPEN_FOR_16_REGISTERED_METRICS	nonzero_R_Ric2_Ric3_Jacobian_at_both_registered_points	unregistered_metrics_and_C14_symmetry_control
S04	intrinsic_pair_projector	DERIVED_ON_15_REGISTERED_METRICS	unique_clock_line_plus_nonzero_metric_twist_line	C14_C15_C18_and_unregistered_branches
S05	registered_configuration_depth_area_form	MIXED_ZERO_AND_NONZERO	10_zero_7_nonzero_decomposable_1_degenerate_before_projector_gate	global_zero_loci_and_general_profiles
S06	intrinsic_nonzero_coexistence	DERIVED_EXISTENCE_FOR_6_REGISTERED_METRICS	C04_C08_C09_C10_C16_C17	selection_equation_and_physical_role
S07	full_screen_primary_coexistence	DERIVED_EXPLICIT_FOR_ALL_3_REGISTERED_LAMBDA	C08_C09_C10_epsilon_one_tenth	arbitrary_lambda_profiles_and_on_shell_status
S08	open_neighborhood_existence	DERIVED_CONDITIONAL_ON_STANDARD_C3_CONTINUITY	some_unquantified_neighborhood_of_each_parent_lambda_relative_to_stationary_block_screen_subspace_retaining_K	arbitrary_C3_perturbations_radius_global_component_and_dynamics
S09	homogeneous_twistfree_and_degenerate_controls	DERIVED_DISTINCT_FAILURE_STRATA	C14_C15_C18	other_failure_strata
S10	registered_causal_strata	DERIVED_EXACT	a1_positive_a4_endpoint_null_a5_sign_change	physical_acceptance_or_selection
S11	screen_or_branch_selection	OPEN_NOT_SUPPLIED	configuration_atlas_only	native_equation_action_boundary_source_bootstrap
S12	downstream_physics	OPEN_EXCLUDED	none	carrier_matter_mass_stability_Xmax_phenomenology
