candidate_id	label	lambda	u_profile	V_profile	r_profile	b_profile	a	registered_role	curvature_route
C01	parent_lambda_minus1	-1	U	ONE	ONE	ZERO	1	parent_rank_zero	p1_and_p2_exact
C02	parent_lambda_zero	0	U	ONE	ONE	ZERO	1	parent_rank_zero	p1_and_p2_exact
C03	parent_lambda_plus1	1	U	ONE	ONE	ZERO	1	parent_rank_zero	p1_and_p2_exact
C04	area_only	0	U	V_EPS	ONE	ZERO	1	independent_area	p1_and_p2_exact
C05	diagonal_shear_only	0	U	ONE	R_EPS	ZERO	1	first_shear_only	p1_and_p2_exact
C06	offdiagonal_shear_only	0	U	ONE	ONE	B_EPS	1	second_shear_only	p1_and_p2_exact
C07	both_shears	0	U	ONE	R_EPS	B_EPS	1	both_shears_rank_zero	p1_and_p2_exact
C08	full_area_both_shears_lambda_zero	0	U	V_EPS	R_EPS	B_EPS	1	full_screen_release	p1_and_p2_exact
C09	full_area_both_shears_lambda_minus1	-1	U	V_EPS	R_EPS	B_EPS	1	full_screen_release	p1_and_p2_exact
C10	full_area_both_shears_lambda_plus1	1	U	V_EPS	R_EPS	B_EPS	1	full_screen_release	p1_and_p2_exact
C11	slaved_area_both_shears	0	U	U	R_EPS	B_EPS	1	area_depth_slaved_rank_zero	p1_and_p2_exact
C12	constant_area_both_shears	0	U	TWO	R_EPS	B_EPS	1	constant_area_rank_zero	p1_and_p2_exact
C13	constant_depth_full_screen	0	FOUR	V_EPS	R_EPS	B_EPS	1	constant_depth_rank_zero	p1_and_p2_exact
C14	homogeneous_control	0	FOUR	ONE	ONE	ZERO	1	symmetry_enhanced_control	global_symmetry_plus_p1_p2
C15	twist_free_full_screen	0	U	V_EPS	R_EPS	B_EPS	0	twist_free_projector_block	p1_and_p2_exact
C16	slice_null_endpoint_full_screen	0	U	V_EPS	R_EPS	B_EPS	4	Q_zero_at_u4_control	p1_and_p2_exact
C17	slice_sign_changing_full_screen	0	U	V_EPS	R_EPS	B_EPS	5	Q_negative_zero_positive_control	p1_and_p2_exact
C18	degenerate_screen_control	0	U	ZERO	R_EPS	B_EPS	1	metric_degenerate_control	skip_inverse_and_curvature
