premise_id	choice_or_object	status	role	not_supplied
P01	founded_reciprocal_pair_action	pinned-by-THEORY:CURRENT_SCIENTIFIC_PREMISES_G01_G02	interpretation_guard	complete_embedding_or_dynamics
P02	explicit_intrinsic_pair_witness	pinned-by-THEORY:udt_twisted_s3_intrinsic_contact_descent_audit_2026-08-02	parent_metric_derived_projector	physical_or_on_shell_selection
P03	stationary_block_screen_RxS3_arena	CHOSE_EXISTENCE_CONTROL	bounded_complete_cell_configuration	unique_topology_or_time_live_dynamics
P04	primary_quadratic_u_profile	free-and-explored:frozen_prior_witness	bounded_depth_configuration	field_equation_or_profile_selection
P05	lambda_minus1_0_plus1	free-and-explored:frozen_prior_witness	three_trace_response_controls	all_real_lambda_or_selection
P06	V_R_B_profiles_and_epsilon_one_tenth	free-and-explored:PREREGISTERED_ANALYTIC_PROFILES	bounded_area_and_shear_release	general_smooth_GL2_screen
P07	positive_screen_component_V_gt_zero_r_gt_zero	pinned-by-THEORY:explicit_profile_bounds	nondegenerate_primary_family	negative_orientation_component_or_all_screen_metrics
P08	cE_R_equal_one	pinned-by-HABIT:existence_unit_normalization	frozen_configuration_units	physical_scale_or_parameter_selection
P09	a_equal_one_primary	free-and-explored:frozen_parent_witness	twisted_primary_family	physical_twist_value
P10	a_zero_four_five	free-and-explored:PREREGISTERED_CONTROLS	twist_and_causal_strata	physical_selection
P11	Maurer_Cartan_kappa_minus_two	pinned-by-THEORY:unit_quaternion_convention	exact_S3_structure	topology_selection
P12	p1_and_p2_stereographic_points	pinned-by-HABIT:preregistered_exact_certificate_points	bounded_nonzero_tests	global_exhaustion_of_points
P13	analyticity	pinned-by-THEORY:registered_profiles	dense_open_and_continuation_route	nonanalytic_metrics
P14	curvature_invariant_Jacobian_route	pinned-by-THEORY:exact_Killing_invariant_lemma	unique_Killing_line_certificate	classification_when_J_is_inconclusive
P15	C3_neighborhood_continuity	pinned-by-THEORY:finite_jet_curvature_continuity	open_existence_route	quantified_neighborhood_radius
P16	D0_and_additive_references	free_positive_or_additive_references	separate_primitives_from_differentials	selected_absolute_reference
P17	full_time_live_GL2_screen	DROPPED:not_in_bounded_family	scope_guard	time_dependence_and_every_screen_metric
P18	action_source_boundary_density_bootstrap_Xmax_carrier_matter_mass	OPEN_OR_CONDITIONAL:EXCLUDED	no_role	downstream_physics
P19	GPU_and_numerical_fitting	EXCLUDED	exact_CPU_algebra_only	parameter_search_or_fit
