B	abs_m	matrix	dimension	parity_even_dimension	parity_odd_dimension	diagonal_min	diagonal_max	same_parity_offdiag_above_threshold	opposite_parity_entries_above_threshold	maximum_same_parity_offdiag_abs	farthest_observed_delta_ell	maximum_opposite_parity_abs	maximum_symmetry_error	maximum_quadrature_difference
0	0	W	17	9	8	1.00000000000000000e+00	1.00000000000000000e+00	0	0	1.69406589450860068e-18	0	2.71050543121376109e-20	6.77626357803440271e-20	2.05998412772245842e-18
0	0	M	17	9	8	1.00000000000000000e+00	1.00000000000000000e+00	0	0	1.69406589450860068e-18	0	2.71050543121376109e-20	6.77626357803440271e-20	2.05998412772245842e-18
0	0	K	17	9	8	0.00000000000000000e+00	2.72000000000000000e+02	0	0	3.95733792957209118e-17	0	5.20417042793042128e-18	1.38777878078144568e-17	2.77555756156289135e-16
0	0	H	17	9	8	0.00000000000000000e+00	0.00000000000000000e+00	0	0	0.00000000000000000e+00	0	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00
0	0	L	17	9	8	0.00000000000000000e+00	2.72000000000000000e+02	0	0	3.95733792957209118e-17	0	5.20417042793042128e-18	1.38777878078144568e-17	2.77555756156289135e-16
0	1	W	16	8	8	1.00000000000000000e+00	1.00000000000000000e+00	0	0	2.98155597433513719e-19	0	3.38813178901720136e-20	3.38813178901720136e-20	6.50521303491302660e-19
0	1	M	16	8	8	1.00000000000000000e+00	1.00000000000000000e+00	0	0	2.98155597433513719e-19	0	3.38813178901720136e-20	3.38813178901720136e-20	6.50521303491302660e-19
0	1	K	16	8	8	5.00000000000000000e-01	2.55500000000000000e+02	56	0	1.35909923673516850e+01	14	6.93889390390722838e-18	3.46944695195361419e-18	1.38777878078144568e-16
0	1	H	16	8	8	1.50000000000000000e+00	1.65000000000000000e+01	56	0	1.35909923673516850e+01	14	8.67361737988403547e-19	1.30104260698260532e-18	1.52655665885959024e-16
0	1	L	16	8	8	2.00000000000000000e+00	2.72000000000000000e+02	0	0	1.71737624121703902e-16	0	6.93889390390722838e-18	3.46944695195361419e-18	2.77555756156289135e-16
0	2	W	15	8	7	1.00000000000000000e+00	1.00000000000000000e+00	0	0	2.30392961653169692e-19	0	4.06575814682064163e-20	6.77626357803440271e-20	4.33680868994201774e-19
0	2	M	15	8	7	1.00000000000000000e+00	1.00000000000000000e+00	0	0	2.30392961653169692e-19	0	4.06575814682064163e-20	6.77626357803440271e-20	4.33680868994201774e-19
