abs_m	ell_i	ell_j	delta_ell	W_prime_0	M_prime_0	K_prime_0	H_prime_0	L_prime_0
0	0	0	0	1/3	-1/3	0	0	0
0	0	2	2	-sqrt(5)/15	sqrt(5)/15	0	0	0
0	0	4	4	0	0	0	0	0
0	1	1	0	1/5	-1/5	4/5	0	4/5
0	1	3	2	-sqrt(21)/35	sqrt(21)/35	-4*sqrt(21)/35	0	-4*sqrt(21)/35
0	2	2	0	5/21	-5/21	12/7	0	12/7
0	2	4	2	-2*sqrt(5)/35	2*sqrt(5)/35	-4*sqrt(5)/7	0	-4*sqrt(5)/7
0	3	3	0	11/45	-11/45	16/5	0	16/5
0	4	4	0	19/77	-19/77	400/77	0	400/77
1	1	1	0	2/5	-2/5	1/10	-1/2	-2/5
1	1	3	2	-sqrt(14)/35	sqrt(14)/35	-4*sqrt(14)/35	0	-4*sqrt(14)/35
1	1	5	4	0	0	0	0	0
1	2	2	0	2/7	-2/7	19/14	-1/2	6/7
1	2	4	2	-sqrt(6)/21	sqrt(6)/21	-10*sqrt(6)/21	0	-10*sqrt(6)/21
1	3	3	0	4/15	-4/15	29/10	-1/2	12/5
1	3	5	2	-sqrt(770)/231	sqrt(770)/231	-6*sqrt(770)/77	0	-6*sqrt(770)/77
1	4	4	0	20/77	-20/77	757/154	-1/2	340/77
1	5	5	0	10/39	-10/39	193/26	-1/2	90/13
2	2	2	0	3/7	-3/7	2/7	-2	-12/7
2	2	4	2	-sqrt(3)/21	sqrt(3)/21	-10*sqrt(3)/21	0	-10*sqrt(3)/21
2	2	6	4	0	0	0	0	0
2	3	3	0	1/3	-1/3	2	-2	0
2	3	5	2	-sqrt(11)/33	sqrt(11)/33	-6*sqrt(11)/11	0	-6*sqrt(11)/11
2	4	4	0	23/77	-23/77	314/77	-2	160/77
2	4	6	2	-2*sqrt(546)/429	2*sqrt(546)/429	-56*sqrt(546)/429	0	-56*sqrt(546)/429
2	5	5	0	11/39	-11/39	86/13	-2	60/13
2	6	6	0	3/11	-3/11	106/11	-2	84/11
3	3	3	0	4/9	-4/9	1/2	-9/2	-4
3	3	5	2	-2*sqrt(11)/99	2*sqrt(11)/99	-4*sqrt(11)/11	0	-4*sqrt(11)/11
3	3	7	4	0	0	0	0	0
3	4	4	0	4/11	-4/11	59/22	-9/2	-20/11
3	4	6	2	-2*sqrt(39)/143	2*sqrt(39)/143	-56*sqrt(39)/143	0	-56*sqrt(39)/143
3	5	5	0	38/117	-38/117	137/26	-9/2	10/13
3	5	7	2	-3*sqrt(22)/143	3*sqrt(22)/143	-120*sqrt(22)/143	0	-120*sqrt(22)/143
3	6	6	0	10/33	-10/33	183/22	-9/2	42/11
3	7	7	0	64/221	-64/221	5237/442	-9/2	1624/221
