item	status	maximum_conclusion
branch_merge	REJECTED	parallel branch is not wholesale-integrable
startup_files	REJECTED	current grok startup surface remains authority
observer_centering	INTEGRATED_WITH_CORRECTION	one observer joins two source-direction relations for angular statistic
megamaser_scale	SOURCE_LEAD	independent local inverse-rate comparison only
tanh_profile	CHOSE_NOT_SELECTED	lawful candidate profile family
xmax_identification	OPEN	local slope does not determine asymptote
z2_flux	CONDITIONAL	physical transfer remains open
august_mu	RESTRICTED_COMPONENT	no unique full orchestra scalar
cmb_starlight	POSIT_NOT_ACTIVATED	no source or spectrum derivation
next_action	BOUNDED	derive observer-plus-two-source BAO map outcome-blind
