source	sha256_or_identity	role
origin/grok2@13921e818c0f2:udt_session_dilation_skeleton_2026-08-14/EXACT_DERIVATION.md	6a6d7edaa3f735e0009b682e4c17345c6603fba16fd0156eb75f209057174c37	parallel scientific claims
origin/grok2@13921e818c0f2:udt_session_dilation_skeleton_2026-08-14/PREMISE_LEDGER.tsv	a67a7275b9503f7cbc233f4404e45c492ce43fafc36a30f01dc8dbd68b81bb7e	parallel premise typing
udt_observed_middle_regime_pair_calibration_2026-08-15/AUDIT_REPORT.md	469fe2c116a732ca5041525437af12b3b2d97b40b8c5385ba302b59b2f2de4c7	G99 P1 control
udt_native_flux_luminosity_law_ownership_audit_2026-08-15/EXTERNAL_REVIEW_ADJUDICATION.md	3fa9092ca57a99b094367913d211a50294fdd6630190fd4d205a35b88c865383	G94 transfer boundary
udt_native_radiative_current_energy_owner_audit_2026-08-15/EXTERNAL_REVIEW_ADJUDICATION.md	73c03b4e104153409a0ddd7cacfb53f0b5fd5b7e9711dea44a055f7f4b9a986f	G95 carrier boundary
udt_august6_mu_complete_kernel_crosswalk_2026-08-15/AUDIT_REPORT.md	c2fdd681be8e66ac4a3dbaf9fceea6ffb40047a9decdf4148e4b58e0d1016cb2	G92 mixing crosswalk
udt_boss_primary_method_crosswalk_2026-08-13/AUDIT_REPORT.md	fb553a2759b2f9a4dbfc9e8ca1d163fea929f61ff58952c17ad44209adb3f8ba	angular estimator method
udt_observed_angular_pattern_raw_restart_2026-08-12/R2_OUTCOME_REPORT.md	dc69a4c9d63e47524016071afbb8f6fee443ed855277701e3be17a860ff74a9d	frozen pair-statistic scope
udt_xmax_scale_observational_M4_mtotal_2026-08-08/M4_RESULTS.md	edfe145116fd9200d420cc4401cbde491e618b43411634a1223bd463787f7a31	prior local-rate crosswalk
Pesce_et_al_2020_MCP_XIII	arXiv:2001.09213	primary combined megamaser H0 source
