id	item	status	role	forbidden_promotion
P1	origin/grok2 commit 13921e81	OBSERVED_REPOSITORY_SOURCE	parallel candidate source	current frontier authority
P2	grok2 tanh profile	CHOSE	profile family for algebraic crosswalk	derived Xmax law
P3	Pesce et al. combined H0 73.9 +/- 3.0	OBSERVED_EXTERNAL_PRIMARY_SOURCE	local inverse-rate comparison	raw local data replay or UDT derivation
P4	G99 n and X_eff	OBSERVED_CONDITIONAL	frozen P1 middle calibration	complete history or native transfer
P5	Z2 luminosity relation	CONDITIONAL	registered comparison convention	Liouville-only theorem
P6	August mu_lock	VERIFIED_WITH_CAVEATS_RESTRICTED_SLICE	provenance crosswalk	unique complete scalar mixing law
P7	modern complete mixing S	CONDITIONAL_FOUR_COMPONENT_INPUT	complete pair evaluator channel	selected physical history
P8	BOSS angular estimator	OBSERVED_COORDINATE_TWO_SOURCE_STATISTIC	future query typing	standard ruler or BAO origin
P9	Xmax	WORKING_FOUNDATIONAL_FRAME	observer-pair asymptotic limit	tanh value local Hubble slope wall or boundary
P10	2.725 K starlight screen	POSIT_NOT_ACTIVATED	historical candidate interpretation	current source law
