path	what_it_supplies	what_it_does_not_supply
AGENTS.md	binding_method_and_semantic_guards	physics_result
LIVE.md	current_frontier_authority	new_first_jet selection
HANDOFF.md	current_handoff	new_first_jet selection
CURRENT_SCIENTIFIC_PREMISES.md	foundational_precedence explanation	new_depth assignment
CURRENT_SCIENTIFIC_PREMISES.tsv	G01_G02_G04_G06_G14_G16 guards	one_form coefficient
UDT_SCIENTIFIC_FRONTIER_2026-07-19.md	current_architecture overlay	latest_atlas outcome
udt_metric_native_signed_depth_availability_audit_2026-07-26/AUDIT_REPORT.md	parent_missing_normalized reciprocal cocycle	first_jet vocabulary
udt_metric_native_signed_depth_availability_audit_2026-07-26/EXACT_DERIVATION.md	Levi_Civita_raw_reference_and_cocycle distinctions	pair_derivative selection
udt_metric_native_signed_depth_availability_audit_2026-07-26/STATUS_LEDGER.tsv	parent_status types	new_selection
udt_covariant_reciprocal_coframe_lift_atlas_2026-07-26/AUDIT_REPORT.md	ordered_pair_and_screen_modulus	global_pair field
udt_covariant_reciprocal_coframe_lift_atlas_2026-07-26/EXACT_DERIVATION.md	projector_and_stabilizer algebra	first_jet closed form
udt_founded_pair_global_alignment_audit_2026-07-26/AUDIT_REPORT.md	local_pair_alignment	global_pair field
udt_observer_pair_path_groupoid_assembly_audit_2026-07-26/AUDIT_REPORT.md	typed_path groupoid	depth label
udt_observer_pair_clock_operator_audit_2026-07-24/AUDIT_REPORT.md	founded dilation versus boost and readout distinctions	first_jet equality
udt_relational_pair_depth_realization_audit_2026-07-24/AUDIT_REPORT.md	path_one_form type	selected one_form
udt_local_jet_atlas_p02_2026-07-21/AUDIT_REPORT.md	generic local jet freedom	current_phi semantics or pair reduction
udt_gr_subtraction_reciprocal_connection_audit_2026-07-21/AUDIT_REPORT.md	conditional_CSN conformal connection theorem	active strong_CSN or complete two_pair realization
udt_gr_subtraction_reciprocal_connection_audit_2026-07-21/STATUS_LEDGER.tsv	historical route premise stamps	current activation
