id	sector	expression	uses_screen_orientation
W01	PAIR_BOOST	u_flat_times_omega_u	NO
W02	PAIR_BOOST	n_flat_times_omega_u	NO
W03	PAIR_BOOST	u_flat_times_omega_n	NO
W04	PAIR_BOOST	n_flat_times_omega_n	NO
W05	PAIR_BOOST	screen_projection_of_omega	NO
W06	PAIR_BOOST	screen_Hodge_of_omega	YES
U01	NABLA_U	screen_projection_of_nabla_u_along_u	NO
U02	NABLA_U	screen_Hodge_of_nabla_u_along_u	YES
U03	NABLA_U	screen_projection_of_nabla_u_along_n	NO
U04	NABLA_U	screen_Hodge_of_nabla_u_along_n	YES
U05	NABLA_U	u_flat_times_screen_trace_nabla_u	NO
U06	NABLA_U	n_flat_times_screen_trace_nabla_u	NO
U07	NABLA_U	u_flat_times_screen_twist_nabla_u	YES
U08	NABLA_U	n_flat_times_screen_twist_nabla_u	YES
N01	NABLA_N	screen_projection_of_nabla_n_along_u	NO
N02	NABLA_N	screen_Hodge_of_nabla_n_along_u	YES
N03	NABLA_N	screen_projection_of_nabla_n_along_n	NO
N04	NABLA_N	screen_Hodge_of_nabla_n_along_n	YES
N05	NABLA_N	u_flat_times_screen_trace_nabla_n	NO
N06	NABLA_N	n_flat_times_screen_trace_nabla_n	NO
N07	NABLA_N	u_flat_times_screen_twist_nabla_n	YES
N08	NABLA_N	n_flat_times_screen_twist_nabla_n	YES
