object	status	exact_scope_or_premises	what_is_not_claimed
founded_phi_identity	DERIVED_UNCHANGED	additive_log_coordinate_of_reciprocal_pair	spacetime_assignment_or_profile
supplied_smooth_pair_first_jet	20_COMPONENT_DECOMPOSITION_DERIVED	orthonormal_u_n and Levi_Civita derivative	global_pair_field_selected
SO2_first_jet_one_form_vocabulary	22_DIMENSIONAL_COMPLETE_BOUNDED_CLASS	linear_in_nabla_u_nabla_n algebraic_in_g_u_n_screen	all_higher_jet_or_nonlinear functionals
O2_orientation_free_vocabulary	13_DIMENSIONAL_SUBSPACE	no_selected_screen_orientation	orientation_is_physically absent
n_flip_even_vocabulary	11_DIMENSIONAL_SUBSPACE	unoriented_ruler_axis convention	path_direction_or_n orientation selected
O2_and_n_flip_even_vocabulary	6_DIMENSIONAL_SUBSPACE	both_discrete reductions	unique form selected
zero_jet_pair_scalar_source	ZERO_NONTRIVIAL_DIFFERENTIAL	normalized_pair Gram data only	curvature_or_global scalars
universally_closed_first_jet_form	NONE_NONZERO_IN_FROZEN_LINEAR_CLASS	four_production_and_six_independent valid flat Lorentz frame Taylor witnesses	field_equation_or_branch conditioned closure impossible
boost_connection_omega	METRIC_SKEW_PAIR_RAPIDITY_CONNECTION	omega_equals_n_dot_nabla_u	founded_self_adjoint depth
boost_only_exact_exception	AVAILABLE_CONDITIONAL	pair_varies_only_in_one_SO11 generator so omega=dchi	complete_Udt branch or phi_equals_chi
founded_depth_from_first_jet	OPEN_NOT_SELECTED	needs_coefficient_normalization_closure_and_global_pair section	phi demoted to placeholder
historical_CSN_reciprocal_connection	CONDITIONAL_INACTIVE_CURRENTLY	strong_local_CSN plus complete reciprocal realization and torsion_free conformal compatibility	active native connection
c_E_and_G_obs	OBSERVED_ANCHORS_RETAINED	calibration_scalars	one_form direction coefficient or closure selected
path_reversal	DERIVED_FOR_INTEGRAL_OF_ANY_SUPPLIED_ONE_FORM	orientation reversal changes integral sign	one_form physical identity selected
next_metric_led_gate	REGISTERED_COMPLETE_BRANCH_PAIR_FIELD_PULLBACK_AVAILABILITY	ask_is_to_see_whether_actual_complete branches supply pair field and closed line	branch or desired answer selected
lambda_Xmax_action_carrier_source_boundary_density_bootstrap_mass_dynamics	OPEN_UNCHANGED	excluded	any_downstream_physics
overall_ruling	VERIFIED_WITH_CAVEATS_BOUNDED_FIRST_JET_ATLAS	exact_representation_count_map_rank_parity_and_valid_witness closure	canon_or_universal no_go
