id	sector	uses_screen_orientation	n_flip_parity	generic_closure	exactness_or_exception	founding_status
W01	PAIR_BOOST	NO	ODD	NOT_UNIVERSALLY_CLOSED	CONDITIONAL_IN_REDUCED_FIELDS	BOOST_RAPIDITY_COMPONENT_NOT_FOUNDED_DEPTH
W02	PAIR_BOOST	NO	EVEN	NOT_UNIVERSALLY_CLOSED	CONDITIONAL_IN_REDUCED_FIELDS	BOOST_RAPIDITY_COMPONENT_NOT_FOUNDED_DEPTH
W03	PAIR_BOOST	NO	EVEN	NOT_UNIVERSALLY_CLOSED	CONDITIONAL_IN_REDUCED_FIELDS	BOOST_RAPIDITY_COMPONENT_NOT_FOUNDED_DEPTH
W04	PAIR_BOOST	NO	ODD	NOT_UNIVERSALLY_CLOSED	CONDITIONAL_IN_REDUCED_FIELDS	BOOST_RAPIDITY_COMPONENT_NOT_FOUNDED_DEPTH
W05	PAIR_BOOST	NO	ODD	NOT_UNIVERSALLY_CLOSED	CONDITIONAL_IN_REDUCED_FIELDS	BOOST_RAPIDITY_COMPONENT_NOT_FOUNDED_DEPTH
W06	PAIR_BOOST	YES	EVEN	NOT_UNIVERSALLY_CLOSED	CONDITIONAL_IN_REDUCED_FIELDS	BOOST_RAPIDITY_COMPONENT_NOT_FOUNDED_DEPTH
U01	NABLA_U	NO	EVEN	NOT_UNIVERSALLY_CLOSED	CONDITIONAL_ON_COMPLETE_BRANCH	GEOMETRIC_MOTIF_NOT_NORMALIZED_OR_FOUNDED
U02	NABLA_U	YES	ODD	NOT_UNIVERSALLY_CLOSED	CONDITIONAL_ON_COMPLETE_BRANCH	GEOMETRIC_MOTIF_NOT_NORMALIZED_OR_FOUNDED
U03	NABLA_U	NO	ODD	NOT_UNIVERSALLY_CLOSED	CONDITIONAL_ON_COMPLETE_BRANCH	GEOMETRIC_MOTIF_NOT_NORMALIZED_OR_FOUNDED
U04	NABLA_U	YES	EVEN	NOT_UNIVERSALLY_CLOSED	CONDITIONAL_ON_COMPLETE_BRANCH	GEOMETRIC_MOTIF_NOT_NORMALIZED_OR_FOUNDED
U05	NABLA_U	NO	EVEN	NOT_UNIVERSALLY_CLOSED	CONDITIONAL_ON_COMPLETE_BRANCH	GEOMETRIC_MOTIF_NOT_NORMALIZED_OR_FOUNDED
U06	NABLA_U	NO	ODD	NOT_UNIVERSALLY_CLOSED	CONDITIONAL_ON_COMPLETE_BRANCH	GEOMETRIC_MOTIF_NOT_NORMALIZED_OR_FOUNDED
U07	NABLA_U	YES	ODD	NOT_UNIVERSALLY_CLOSED	CONDITIONAL_ON_COMPLETE_BRANCH	GEOMETRIC_MOTIF_NOT_NORMALIZED_OR_FOUNDED
U08	NABLA_U	YES	EVEN	NOT_UNIVERSALLY_CLOSED	CONDITIONAL_ON_COMPLETE_BRANCH	GEOMETRIC_MOTIF_NOT_NORMALIZED_OR_FOUNDED
N01	NABLA_N	NO	ODD	NOT_UNIVERSALLY_CLOSED	CONDITIONAL_ON_COMPLETE_BRANCH	GEOMETRIC_MOTIF_NOT_NORMALIZED_OR_FOUNDED
N02	NABLA_N	YES	EVEN	NOT_UNIVERSALLY_CLOSED	CONDITIONAL_ON_COMPLETE_BRANCH	GEOMETRIC_MOTIF_NOT_NORMALIZED_OR_FOUNDED
N03	NABLA_N	NO	EVEN	NOT_UNIVERSALLY_CLOSED	CONDITIONAL_ON_COMPLETE_BRANCH	GEOMETRIC_MOTIF_NOT_NORMALIZED_OR_FOUNDED
N04	NABLA_N	YES	ODD	NOT_UNIVERSALLY_CLOSED	CONDITIONAL_ON_COMPLETE_BRANCH	GEOMETRIC_MOTIF_NOT_NORMALIZED_OR_FOUNDED
N05	NABLA_N	NO	ODD	NOT_UNIVERSALLY_CLOSED	CONDITIONAL_ON_COMPLETE_BRANCH	GEOMETRIC_MOTIF_NOT_NORMALIZED_OR_FOUNDED
N06	NABLA_N	NO	EVEN	NOT_UNIVERSALLY_CLOSED	CONDITIONAL_ON_COMPLETE_BRANCH	GEOMETRIC_MOTIF_NOT_NORMALIZED_OR_FOUNDED
N07	NABLA_N	YES	EVEN	NOT_UNIVERSALLY_CLOSED	CONDITIONAL_ON_COMPLETE_BRANCH	GEOMETRIC_MOTIF_NOT_NORMALIZED_OR_FOUNDED
N08	NABLA_N	YES	ODD	NOT_UNIVERSALLY_CLOSED	CONDITIONAL_ON_COMPLETE_BRANCH	GEOMETRIC_MOTIF_NOT_NORMALIZED_OR_FOUNDED
