id	reduction_or_test	dimension_or_rank	status	meaning
R01	orthonormal_pair_first_jet	20	DERIVED_CLASSIFICATION	omega_4_plus_U_8_plus_N_8
R02	SO2_equivariant_one_form_space	22	DERIVED_COMPLETE_BOUNDED_VOCABULARY	6_pair_boost_plus_8_nabla_u_plus_8_nabla_n
R03	O2_orientation_free_subspace	13	DERIVED_CLASSIFICATION	nine_screen_orientation_dependent maps removed
R04	n_flip_even_subspace	11	DERIVED_CLASSIFICATION	projector_generator_is_n_sign_blind_but_oriented_paths_may_not_require_this reduction
R05	O2_and_n_flip_even_subspace	6	DERIVED_CLASSIFICATION	W02_W03_U01_U05_N03_N06
R06	zero_jet_Gram_scalar_differentials	0	DERIVED_ZERO	normalized_pair_Gram_data_are_constants
R07	generic_universally_closed_nonzero_first_jet_combinations	0	REFUTED_IN_FROZEN_LINEAR_CLASS	valid_flat_Lorentz_frame witnesses give_closure_rank_22
R08	boost_only_plane_reduction	1	AVAILABLE_CONDITIONAL	omega_equals_d_rapidity_when_only_one_pair_boost_generator varies
R09	boost_only_omega_as_founded_phi	0	NOT_DERIVED	metric_skew_rapidity_generator_differs_from_self_adjoint_reciprocal dilation
R10	historical_CSN_Weyl_connection_route	1	CONDITIONAL_INACTIVE	strong_local_CSN_and_full_two_pair_realization_are_not_active current premises
R11	current_premise_coefficient_rank	0	NO_ACTIVE_SELECTION	Reciprocity_and_scalar anchors do_not_choose_one_of_22 coefficients
R12	global_pair_field_and_branch	0	OPEN_NOT_SUPPLIED	pointwise atlas does_not_supply_global section transition periods or solution
