path	role	git_blob	sha256	size
AGENTS.md	binding_method_and_current_semantic_guards	58057d82b27475d9c0fb4d89795ede10c83d8c0d	6fb5274a45d16cd2ffd1c11178fdd91124fcfc5b8d8dde62974a5a3282ca4e6e	16830
LIVE.md	current_frontier_authority	42b987061b1af2ba1f29cf99ab0dd8beee6a1523	ae3d6fc0e5595aa634746c6e765b84018faed4201a000f0f9f838e5d7efe5936	102917
HANDOFF.md	current_handoff	ea31c7f1887e199a808ff5f12a43f8c59bb214b8	c629ace49d9ab8d0df5d94dbc35828a555a79b5dd7f4fd2da1a74cc4a1d6ca7a	55966
CURRENT_SCIENTIFIC_PREMISES.md	premise_precedence_explanation	1a25dc1d354e0065c527374767f11aa9d06d62de	63fe502793db25c9ddbf078c393fecc449d43648984d63504b49a4b9fbe72491	2493
CURRENT_SCIENTIFIC_PREMISES.tsv	machine_readable_premise_precedence	ed1de6dd9025b2709ee5127166288fa07411df2e	c05647b1498073b79f2cad56608befd43cb8f0052ea286a39cdb30a00c236ddf	5277
UDT_SCIENTIFIC_FRONTIER_2026-07-19.md	current_scientific_overlay	1e57f8e45b997bd4fff376fdea63286360949e86	62bbe219448f4eb797b2fd46ab14ed861f41da94c5ceb8ad7092c5722aa77cf4	66240
udt_metric_native_signed_depth_availability_audit_2026-07-26/AUDIT_REPORT.md	parent_signed_depth_availability result	db6d77a88d7439f20fe4310733e16cc27e5cab40	4ac33fbf0fa4c714529514863cbbea9416e39a6218230d36caddb36be8480ce4	6141
udt_metric_native_signed_depth_availability_audit_2026-07-26/EXACT_DERIVATION.md	parent_reference_connection distinction	28470d698c41ab5dd6579f8ea577859f64d3fcd2	ee62cc854262baddbd1f9187752233caa3a854d5df10f51acd7e04bb1e4a2fae	5987
udt_metric_native_signed_depth_availability_audit_2026-07-26/STATUS_LEDGER.tsv	parent_status types	d803474a5aa647393a4a1eb4587b6c4786add440	4fdfaf7a8e04beac9b15106f182a955d8a44c2247694620d5f49c6a918933ada	2707
udt_covariant_reciprocal_coframe_lift_atlas_2026-07-26/AUDIT_REPORT.md	ordered_pair_projector_and_screen modulus	69f8244a39fb7e01802f29c43dd85e3283ea691b	b338fa5538e54951d3bcea8325b7c3a00940a45b2287805f766bf772ab2713ef	5702
udt_covariant_reciprocal_coframe_lift_atlas_2026-07-26/EXACT_DERIVATION.md	covariant_pair lift algebra	9905fd36e012332ea2309c068b08ff70ea69a1f7	33f758c5da3e627cb7d58c42746de9199145130d63c5ccb27109b56b5f1f6bda	7924
udt_founded_pair_global_alignment_audit_2026-07-26/AUDIT_REPORT.md	local_pair_alignment and global open scope	1606a05bc28e183bb830f9b0720ac24a50613839	bd3792bea6746c41a9edb7fd3d6ab8cb839c5cec69db4f15369a6c5c01fe4757	5342
udt_observer_pair_path_groupoid_assembly_audit_2026-07-26/AUDIT_REPORT.md	typed_pair path groupoid	96f7f0ac536475bbc00e705872173695ef957483	c7aeeb813bd276a1bf06dff67268a7799f4e2d710edf888789db7f6278cc0b6d	5188
udt_observer_pair_clock_operator_audit_2026-07-24/AUDIT_REPORT.md	founded character versus observer boost and readouts	4b9004c84dff265ba97a8a5c694033a1d3ed26f6	a7ae3805927d7d8efe1a2daabfd07c0612c0f52375b60e727a6d0d0fabe66c87	4804
udt_relational_pair_depth_realization_audit_2026-07-24/AUDIT_REPORT.md	bilocal and path one_form types	371c7757974e62267abbfbc6b93455a8723b806a	de149d583e63dfd3977a477b4147e24c5bb388421a54cb8e66ff758436a35e5f	5663
udt_local_jet_atlas_p02_2026-07-21/AUDIT_REPORT.md	generic local first_jet freedom control	3c9d49fa2ed3d41e420991bd0a39117911247366	66b4d3f4dabcb1f54c6c2c09bf157c928c270778eb27cd32adedbf1f1439cdeb	6885
udt_gr_subtraction_reciprocal_connection_audit_2026-07-21/AUDIT_REPORT.md	historical conditional conformal reciprocal connection	a63b1a969074a265fd90dd772b3d0e10848dd2f4	08f39bb490cff1b454bdce168df3c5290e03fe1130d16629cecbbf07718ef2f3	11561
udt_gr_subtraction_reciprocal_connection_audit_2026-07-21/STATUS_LEDGER.tsv	historical route statuses	69d3b77541b641d1d111172c130049dc8a35f59b	c5516108b5105fa076dcd2921a41861ccb673b09cb842abb6b0b6f8c0939c4d1	3306
