id	claim_under_test	falsifier	certification_check	maximum_scope
F01	candidate_coverage	missing_duplicate_or_extra_unadjudicated_basis_map	exact_22_identity_coverage	frozen_SO2_equivariant_linear_first_jet class
F02	pair_jet_decomposition	omega_U_N_not_20_independent_components	exact_constraint_and_rank calculation	orthonormal_ordered_pair first jet
F03	basis_independence	candidate_map_rank_less_than_22	exact_map_matrix_rank	pointwise_SO2 equivariant maps
F04	orientation_classification	O2_subset_wrong	remove_epsilon_dependent maps and recompute rank	orientation-free screen class
F05	ruler_sign_parity	any_basis_parity_misclassified	direct_n_to_minus_n substitution	pointwise basis
F06	zero_jet_scalar_depth	variable_pair_Gram_scalar survives normalization	exact_Gram invariant audit	algebraic_scalar functions of g_u_n only
F07	universal_closure	stacked_exterior_derivative_rank_has_nonzero_nullspace	exact_valid_Lorentz_frame Taylor witnesses	frozen_22_map class
F08	witness_validity	Taylor_u_n_fail_norm_or_orthogonality_through_second_order	exact_value_first_second derivative checks	flat_metric origin jets
F09	boost_connection_identity	metric_skew_omega_is_identified_with_self_adjoint_founded_generator	type_and_transformation audit	pair boost sector
F10	boost_only_exception	omega_not_closed_on_pure_one_generator reduction	exact_reduced witness	conditional_boost_only frame family
F11	current_premise_selection	active_source fixes unique_coefficients_without_record	full_source_capability audit	current_registered sources
F12	historical_CSN_route	inactive_strong_CSN_is_reactivated	explicit_G04 regrade	historical_conformal_connection result
F13	fail_closed_missing_basis	mutation_passes	remove_W06_then_require_failure	verifier
F14	fail_closed_bad_rank	mutation_passes	change_basis_rank_then_require_failure	verifier
F15	fail_closed_bad_parity	mutation_passes	flip_one_n_parity_then_require_failure	verifier
F16	fail_closed_false_closure	mutation_passes	promote_nonzero_closed_form_then_require_failure	verifier
F17	fail_closed_boost_promotion	mutation_passes	call_omega_founded_depth_then_require_failure	verifier
F18	fail_closed_CSN_reactivation	mutation_passes	call_historical_Weyl_route_active_then_require_failure	verifier
F19	fail_closed_physics	mutation_passes	promote_downstream_physics_then_require_failure	verifier
F20	fail_closed_witness	mutation_passes	corrupt_orthonormal_Taylor witness then require failure	verifier
