profile	K	r	theta	component	direct	formula	absolute_error	scaled_error
P1	1	-0.3333333333333333	0.7	B_00	0.2609957168052311	0.26099571680524064	9.547918011776346e-15	3.658266169517702e-14
P1	1	-0.3333333333333333	0.7	B_01	0.0	-0.0	0.0	0.0
P1	1	-0.3333333333333333	0.7	B_02	0.0	-0.0	0.0	0.0
P1	1	-0.3333333333333333	0.7	B_03	0.0	-0.0	0.0	0.0
P1	1	-0.3333333333333333	0.7	B_10	0.0	-0.0	0.0	0.0
P1	1	-0.3333333333333333	0.7	B_11	-0.0710657095527305	-0.0710657095527333	2.789435349370706e-15	3.925149508710449e-14
P1	1	-0.3333333333333333	0.7	B_12	1.607954763066538e-33	-0.0	1.607954763066538e-33	1.607954763066538e-23
P1	1	-0.3333333333333333	0.7	B_13	0.0	-0.0	0.0	0.0
P1	1	-0.3333333333333333	0.7	B_20	0.0	-0.0	0.0	0.0
P1	1	-0.3333333333333333	0.7	B_21	-1.0657156020569048e-17	-0.0	1.0657156020569048e-17	1.0657156020569048e-07
P1	1	-0.3333333333333333	0.7	B_22	0.13619047619047575	0.1361904761904762	4.440892098500626e-16	3.2607948975004597e-15
P1	1	-0.3333333333333333	0.7	B_23	0.0	-0.0	0.0	0.0
P1	1	-0.3333333333333333	0.7	B_30	0.0	-0.0	0.0	0.0
P1	1	-0.3333333333333333	0.7	B_31	0.0	-0.0	0.0	0.0
P1	1	-0.3333333333333333	0.7	B_32	0.0	-0.0	0.0	0.0
P1	1	-0.3333333333333333	0.7	B_33	0.05652128503107503	0.056521285031078825	3.795574965437254e-15	6.71530196694965e-14
P1	1	0.2	0.7	B_00	0.2823941950113278	0.28239419501133783	1.0047518372857667e-14	3.5579762439713994e-14
P1	1	0.2	0.7	B_01	0.0	0.0	0.0	0.0
P1	1	0.2	0.7	B_02	0.0	0.0	0.0	0.0
P1	1	0.2	0.7	B_03	0.0	0.0	0.0	0.0
P1	1	0.2	0.7	B_10	0.0	0.0	0.0	0.0
P1	1	0.2	0.7	B_11	-0.06568069079551485	-0.06568069079551717	2.3175905639050143e-15	3.528572150862936e-14
P1	1	0.2	0.7	B_12	1.671956439930009e-17	0.0	1.671956439930009e-17	1.6719564399300088e-07
P1	1	0.2	0.7	B_13	0.0	0.0	0.0	0.0
P1	1	0.2	0.7	B_20	0.0	0.0	0.0	0.0
P1	1	0.2	0.7	B_21	2.575613132183095e-17	0.0	2.575613132183095e-17	2.575613132183095e-07
P1	1	0.2	0.7	B_22	0.13619047619047578	0.13619047619047617	3.885780586188048e-16	2.8531955353129028e-15
P1	1	0.2	0.7	B_23	0.0	0.0	0.0	0.0
P1	1	0.2	0.7	B_30	0.0	0.0	0.0	0.0
P1	1	0.2	0.7	B_31	0.0	0.0	0.0	0.0
P1	1	0.2	0.7	B_32	0.0	0.0	0.0	0.0
P1	1	0.2	0.7	B_33	0.05652128503107498	0.05652128503107881	3.83026943495679e-15	6.776684983100927e-14
P1	0	-0.3333333333333333	0.4	B_00	-0.0584046359284455	-0.05840463592844545	4.85722573273506e-17	8.316507166804182e-16
P1	0	-0.3333333333333333	0.4	B_01	0.0	-0.0	0.0	0.0
P1	0	-0.3333333333333333	0.4	B_02	0.0	-0.0	0.0	0.0
P1	0	-0.3333333333333333	0.4	B_03	0.0	-0.0	0.0	0.0
P1	0	-0.3333333333333333	0.4	B_10	0.0	-0.0	0.0	0.0
P1	0	-0.3333333333333333	0.4	B_11	0.01590281612368858	0.01590281612368857	1.0408340855860843e-17	6.544967114570824e-16
P1	0	-0.3333333333333333	0.4	B_12	0.0	-0.0	0.0	0.0
P1	0	-0.3333333333333333	0.4	B_13	0.0	-0.0	0.0	0.0
P1	0	-0.3333333333333333	0.4	B_20	0.0	-0.0	0.0	0.0
P1	0	-0.3333333333333333	0.4	B_21	0.0	-0.0	0.0	0.0
P1	0	-0.3333333333333333	0.4	B_22	-0.03047619047619051	-0.030476190476190476	3.469446951953614e-17	1.1384122811097783e-15
P1	0	-0.3333333333333333	0.4	B_23	0.0	-0.0	0.0	0.0
P1	0	-0.3333333333333333	0.4	B_30	0.0	-0.0	0.0	0.0
P1	0	-0.3333333333333333	0.4	B_31	0.0	-0.0	0.0	0.0
P1	0	-0.3333333333333333	0.4	B_32	0.0	-0.0	0.0	0.0
P1	0	-0.3333333333333333	0.4	B_33	-0.03047619047619051	-0.030476190476190476	3.469446951953614e-17	1.1384122811097783e-15
P1	0	0.2	0.4	B_00	-0.06319310657596372	-0.06319310657596372	0.0	0.0
P1	0	0.2	0.4	B_01	0.0	0.0	0.0	0.0
P1	0	0.2	0.4	B_02	0.0	0.0	0.0	0.0
P1	0	0.2	0.4	B_03	0.0	0.0	0.0	0.0
P1	0	0.2	0.4	B_10	0.0	0.0	0.0	0.0
P1	0	0.2	0.4	B_11	0.014697776961234612	0.014697776961234614	1.734723475976807e-18	1.18026248496772e-16
P1	0	0.2	0.4	B_12	0.0	0.0	0.0	0.0
P1	0	0.2	0.4	B_13	0.0	0.0	0.0	0.0
P1	0	0.2	0.4	B_20	0.0	0.0	0.0	0.0
P1	0	0.2	0.4	B_21	0.0	0.0	0.0	0.0
P1	0	0.2	0.4	B_22	-0.030476190476190466	-0.030476190476190476	1.0408340855860843e-17	3.415236843329339e-16
P1	0	0.2	0.4	B_23	0.0	0.0	0.0	0.0
P1	0	0.2	0.4	B_30	0.0	0.0	0.0	0.0
P1	0	0.2	0.4	B_31	0.0	0.0	0.0	0.0
P1	0	0.2	0.4	B_32	0.0	0.0	0.0	0.0
P1	0	0.2	0.4	B_33	-0.030476190476190466	-0.030476190476190476	1.0408340855860843e-17	3.415236843329339e-16
P1	-1	-0.3333333333333333	0.6	B_00	0.26099571680524003	0.26099571680524064	6.106226635438361e-16	2.3395888293427164e-15
P1	-1	-0.3333333333333333	0.6	B_01	0.0	-0.0	0.0	0.0
P1	-1	-0.3333333333333333	0.6	B_02	0.0	-0.0	0.0	0.0
P1	-1	-0.3333333333333333	0.6	B_03	0.0	-0.0	0.0	0.0
P1	-1	-0.3333333333333333	0.6	B_10	0.0	-0.0	0.0	0.0
P1	-1	-0.3333333333333333	0.6	B_11	-0.07106570955273311	-0.0710657095527333	1.8041124150158794e-16	2.5386539111062607e-15
P1	-1	-0.3333333333333333	0.6	B_12	-4.937562598972426e-18	-0.0	4.937562598972426e-18	4.9375625989724264e-08
P1	-1	-0.3333333333333333	0.6	B_13	0.0	-0.0	0.0	0.0
P1	-1	-0.3333333333333333	0.6	B_20	0.0	-0.0	0.0	0.0
P1	-1	-0.3333333333333333	0.6	B_21	-2.0099434538331726e-34	-0.0	2.0099434538331726e-34	2.0099434538331727e-24
P1	-1	-0.3333333333333333	0.6	B_22	0.13619047619047614	0.1361904761904762	5.551115123125783e-17	4.0759936218755746e-16
P1	-1	-0.3333333333333333	0.6	B_23	0.0	-0.0	0.0	0.0
P1	-1	-0.3333333333333333	0.6	B_30	0.0	-0.0	0.0	0.0
P1	-1	-0.3333333333333333	0.6	B_31	0.0	-0.0	0.0	0.0
P1	-1	-0.3333333333333333	0.6	B_32	0.0	-0.0	0.0	0.0
P1	-1	-0.3333333333333333	0.6	B_33	0.19139226006065851	0.1913922600606598	1.27675647831893e-15	6.670888770080229e-15
P1	-1	0.2	0.6	B_00	0.2823941950113373	0.28239419501133783	5.551115123125783e-16	1.9657327314759114e-15
P1	-1	0.2	0.6	B_01	0.0	0.0	0.0	0.0
P1	-1	0.2	0.6	B_02	0.0	0.0	0.0	0.0
P1	-1	0.2	0.6	B_03	0.0	0.0	0.0	0.0
P1	-1	0.2	0.6	B_10	0.0	0.0	0.0	0.0
P1	-1	0.2	0.6	B_11	-0.06568069079551708	-0.06568069079551717	8.326672684688674e-17	1.267750473363929e-15
P1	-1	0.2	0.6	B_12	-3.950050079177941e-17	0.0	3.950050079177941e-17	3.950050079177941e-07
P1	-1	0.2	0.6	B_13	0.0	0.0	0.0	0.0
P1	-1	0.2	0.6	B_20	0.0	0.0	0.0	0.0
P1	-1	0.2	0.6	B_21	-3.5083968608012835e-17	0.0	3.5083968608012835e-17	3.508396860801283e-07
P1	-1	0.2	0.6	B_22	0.13619047619047617	0.13619047619047617	0.0	0.0
P1	-1	0.2	0.6	B_23	0.0	0.0	0.0	0.0
P1	-1	0.2	0.6	B_30	0.0	0.0	0.0	0.0
P1	-1	0.2	0.6	B_31	0.0	0.0	0.0	0.0
P1	-1	0.2	0.6	B_32	0.0	0.0	0.0	0.0
P1	-1	0.2	0.6	B_33	0.1913922600606587	0.19139226006065974	1.0269562977782698e-15	5.365714880281925e-15
P2	1	-0.4	0.7	B_00	3.60189352570477	3.601893525704785	1.509903313490213e-14	4.191970980582412e-15
P2	1	-0.4	0.7	B_01	0.0	-0.0	0.0	0.0
P2	1	-0.4	0.7	B_02	0.0	-0.0	0.0	0.0
P2	1	-0.4	0.7	B_03	0.0	-0.0	0.0	0.0
P2	1	-0.4	0.7	B_10	0.0	-0.0	0.0	0.0
P2	1	-0.4	0.7	B_11	-0.05584480287383916	-0.05584480287384079	1.6306400674181987e-15	2.9199495449952326e-14
P2	1	-0.4	0.7	B_12	-4.179891099825019e-17	-0.0	4.179891099825019e-17	4.179891099825019e-07
P2	1	-0.4	0.7	B_13	0.0	-0.0	0.0	0.0
P2	1	-0.4	0.7	B_20	0.0	-0.0	0.0	0.0
P2	1	-0.4	0.7	B_21	-4.0979316427064504e-17	-0.0	4.0979316427064504e-17	4.0979316427064503e-07
P2	1	-0.4	0.7	B_22	0.6600407680231855	0.6600407680231857	2.220446049250313e-16	3.3641043960065114e-16
P2	1	-0.4	0.7	B_23	0.0	-0.0	0.0	0.0
P2	1	-0.4	0.7	B_30	0.0	-0.0	0.0	0.0
P2	1	-0.4	0.7	B_31	0.0	-0.0	0.0	0.0
P2	1	-0.4	0.7	B_32	0.0	-0.0	0.0	0.0
P2	1	-0.4	0.7	B_33	0.27392776224229815	0.27392776224230203	3.885780586188048e-15	1.4185420836428006e-14
P2	1	0.6	0.7	B_00	3.137577100373115	3.13757710037313	1.509903313490213e-14	4.81232258264076e-15
P2	1	0.6	0.7	B_01	0.0	0.0	0.0	0.0
P2	1	0.6	0.7	B_02	0.0	0.0	0.0	0.0
P2	1	0.6	0.7	B_03	0.0	0.0	0.0	0.0
P2	1	0.6	0.7	B_10	0.0	0.0	0.0	0.0
P2	1	0.6	0.7	B_11	-0.0497302867151658	-0.04973028671516751	1.7069679003611782e-15	3.4324513553237986e-14
P2	1	0.6	0.7	B_12	-2.282478413194911e-33	0.0	2.282478413194911e-33	2.2824784131949107e-23
P2	1	0.6	0.7	B_13	0.0	0.0	0.0	0.0
P2	1	0.6	0.7	B_20	0.0	0.0	0.0	0.0
P2	1	0.6	0.7	B_21	-7.90046313302119e-18	0.0	7.90046313302119e-18	7.900463133021189e-08
P2	1	0.6	0.7	B_22	0.6031616471440642	0.6031616471440647	5.551115123125783e-16	9.203362232015231e-16
P2	1	0.6	0.7	B_23	0.0	0.0	0.0	0.0
P2	1	0.6	0.7	B_30	0.0	0.0	0.0	0.0
P2	1	0.6	0.7	B_31	0.0	0.0	0.0	0.0
