pair_id	lane	realization	operator_status	time_live_characteristic	boundary_flux_status	complete_coframe_status	P06_ready
L01_C01	L01	C01	CONDITIONAL_METRIC_BULK_OPERATOR	METRIC_NULL_DOUBLE	MULTIPLE_POLARIZATIONS_NONZERO_UNDER_SEAL_ALONE	NOT_SUPPLIED_OR_NOT_APPLICABLE	NO
L01_C02	L01	C02	METRIC_OPERATOR_ONLY_EXTRA_FIELD_EQUATION_ABSENT	METRIC_PART_ONLY_EXTRA_FIELD_UNDEFINED	EXTRA_FIELD_FLUX_UNDEFINED	NOT_SUPPLIED_OR_NOT_APPLICABLE	NO
L01_C03	L01	C03	METRIC_OPERATOR_ONLY_EXTRA_FIELD_EQUATION_ABSENT	METRIC_PART_ONLY_EXTRA_FIELD_UNDEFINED	EXTRA_FIELD_FLUX_UNDEFINED	OPEN_MULTIPLE_LIFTS	NO
L01_C04	L01	C04	METRIC_OPERATOR_ONLY_EXTRA_FIELD_EQUATION_ABSENT	METRIC_PART_ONLY_EXTRA_FIELD_UNDEFINED	EXTRA_FIELD_FLUX_UNDEFINED	NOT_SUPPLIED_OR_NOT_APPLICABLE	NO
L01_C05	L01	C05	METRIC_OPERATOR_ONLY_EXTRA_FIELD_EQUATION_ABSENT	METRIC_PART_ONLY_EXTRA_FIELD_UNDEFINED	EXTRA_FIELD_FLUX_UNDEFINED	NOT_SUPPLIED_OR_NOT_APPLICABLE	NO
L01_C06	L01	C06	METRIC_OPERATOR_ONLY_EXTRA_FIELD_EQUATION_ABSENT	METRIC_PART_ONLY_EXTRA_FIELD_UNDEFINED	EXTRA_FIELD_FLUX_UNDEFINED	NOT_SUPPLIED_OR_NOT_APPLICABLE	NO
L01_C07	L01	C07	METRIC_OPERATOR_ONLY_EXTRA_FIELD_EQUATION_ABSENT	METRIC_PART_ONLY_EXTRA_FIELD_UNDEFINED	EXTRA_FIELD_FLUX_UNDEFINED	NOT_SUPPLIED_OR_NOT_APPLICABLE	NO
L02_C01	L02	C01	CONDITIONAL_METRIC_BULK_OPERATOR	METRIC_NULL_SIMPLE	MULTIPLE_POLARIZATIONS_NONZERO_UNDER_SEAL_ALONE	NOT_SUPPLIED_OR_NOT_APPLICABLE	NO
L02_C02	L02	C02	METRIC_OPERATOR_ONLY_EXTRA_FIELD_EQUATION_ABSENT	METRIC_PART_ONLY_EXTRA_FIELD_UNDEFINED	EXTRA_FIELD_FLUX_UNDEFINED	NOT_SUPPLIED_OR_NOT_APPLICABLE	NO
L02_C03	L02	C03	METRIC_OPERATOR_ONLY_EXTRA_FIELD_EQUATION_ABSENT	METRIC_PART_ONLY_EXTRA_FIELD_UNDEFINED	EXTRA_FIELD_FLUX_UNDEFINED	OPEN_MULTIPLE_LIFTS	NO
L02_C04	L02	C04	METRIC_OPERATOR_ONLY_EXTRA_FIELD_EQUATION_ABSENT	METRIC_PART_ONLY_EXTRA_FIELD_UNDEFINED	EXTRA_FIELD_FLUX_UNDEFINED	NOT_SUPPLIED_OR_NOT_APPLICABLE	NO
L02_C05	L02	C05	METRIC_OPERATOR_ONLY_EXTRA_FIELD_EQUATION_ABSENT	METRIC_PART_ONLY_EXTRA_FIELD_UNDEFINED	EXTRA_FIELD_FLUX_UNDEFINED	NOT_SUPPLIED_OR_NOT_APPLICABLE	NO
L02_C06	L02	C06	METRIC_OPERATOR_ONLY_EXTRA_FIELD_EQUATION_ABSENT	METRIC_PART_ONLY_EXTRA_FIELD_UNDEFINED	EXTRA_FIELD_FLUX_UNDEFINED	NOT_SUPPLIED_OR_NOT_APPLICABLE	NO
L02_C07	L02	C07	METRIC_OPERATOR_ONLY_EXTRA_FIELD_EQUATION_ABSENT	METRIC_PART_ONLY_EXTRA_FIELD_UNDEFINED	EXTRA_FIELD_FLUX_UNDEFINED	NOT_SUPPLIED_OR_NOT_APPLICABLE	NO
L03_C01	L03	C01	NO_BRIDGE_OPERATOR	UNDEFINED	UNDEFINED	NOT_SUPPLIED_OR_NOT_APPLICABLE	NO
L03_C02	L03	C02	NO_BRIDGE_OPERATOR	UNDEFINED	UNDEFINED	NOT_SUPPLIED_OR_NOT_APPLICABLE	NO
L03_C03	L03	C03	NO_BRIDGE_OPERATOR	UNDEFINED	UNDEFINED	OPEN_MULTIPLE_LIFTS	NO
L03_C04	L03	C04	NO_BRIDGE_OPERATOR	UNDEFINED	UNDEFINED	NOT_SUPPLIED_OR_NOT_APPLICABLE	NO
L03_C05	L03	C05	NO_BRIDGE_OPERATOR	UNDEFINED	UNDEFINED	NOT_SUPPLIED_OR_NOT_APPLICABLE	NO
L03_C06	L03	C06	NO_BRIDGE_OPERATOR	UNDEFINED	UNDEFINED	NOT_SUPPLIED_OR_NOT_APPLICABLE	NO
L03_C07	L03	C07	NO_BRIDGE_OPERATOR	UNDEFINED	UNDEFINED	NOT_SUPPLIED_OR_NOT_APPLICABLE	NO
