# P4 Route A Stage 2 — RESIDUAL SPACE LEDGER (R_PW). Contract: PREREGISTRATION.md. SCOPE STAMP (F-B3): EXHAUSTED = jet<=2, registered stationary presentation, registered chart, one-parameter, off-shell; polynomial/formal in (k10,C) moduli (smooth extension = Schwarz-type, Category-A, stamped not re-proven); jet 3/4 TYPED NOT-EXHAUSTED. NO member selected (F-B1). A1-AMENDED (rounds 1+2): the parametrization is exact OFF the degeneration strata and CUT BY the stratum Noether identities ON them (see the STRATUM-IDENTITY rows; kmod0 = the only CODIMENSION-1 genuine cut; the four named C=0 resonance identities are auto-satisfied in the declared class; the resonance locus also carries C!=0 sub-varieties of higher codimension whose identities ARE further genuine cuts — shear row; deeper stratification TYPED-NOT-EXHAUSTED).
component	grade	branch	K4_character	module_basis_or_branch_delta	module_rank	alphabet_dim	conditions
R_phi	grade0	BASE	trivial	{1}	1	alphabet dim 10	component = arbitrary element of A_grade (trivial character; verbatim factoring through invariants — banked A1-amended rule) | census row 5 (phi field); phi enters via Q + jets
R_phi	grade1	BASE	trivial	{1}	1	alphabet dim 13	component = arbitrary element of A_grade (trivial character; verbatim factoring through invariants — banked A1-amended rule) | census row 5 (phi field); phi enters via Q + jets
R_phi	grade2	BASE	trivial	{1}	1	alphabet dim 16	component = arbitrary element of A_grade (trivial character; verbatim factoring through invariants — banked A1-amended rule) | census row 5 (phi field); phi enters via Q + jets
R_f	grade0	BASE	trivial	{1}	1	alphabet dim 10	component = arbitrary element of A_grade (trivial character; verbatim factoring through invariants — banked A1-amended rule) | census row 9 (stationary presentation)
R_f	grade1	BASE	trivial	{1}	1	alphabet dim 13	component = arbitrary element of A_grade (trivial character; verbatim factoring through invariants — banked A1-amended rule) | census row 9 (stationary presentation)
R_f	grade2	BASE	trivial	{1}	1	alphabet dim 16	component = arbitrary element of A_grade (trivial character; verbatim factoring through invariants — banked A1-amended rule) | census row 9 (stationary presentation)
R_bh	grade0	BASE	trivial	{1}	1	alphabet dim 10	component = arbitrary element of A_grade (trivial character; verbatim factoring through invariants — banked A1-amended rule) | census row 10 (seat factor NOT in bh)
R_bh	grade1	BASE	trivial	{1}	1	alphabet dim 13	component = arbitrary element of A_grade (trivial character; verbatim factoring through invariants — banked A1-amended rule) | census row 10 (seat factor NOT in bh)
R_bh	grade2	BASE	trivial	{1}	1	alphabet dim 16	component = arbitrary element of A_grade (trivial character; verbatim factoring through invariants — banked A1-amended rule) | census row 10 (seat factor NOT in bh)
R_lambda	grade0	BASE	trivial	{1}	1	alphabet dim 10	component = arbitrary element of A_grade (trivial character; verbatim factoring through invariants — banked A1-amended rule) | = 2 r_tr (screen trace slot)
R_lambda	grade1	BASE	trivial	{1}	1	alphabet dim 13	component = arbitrary element of A_grade (trivial character; verbatim factoring through invariants — banked A1-amended rule) | = 2 r_tr (screen trace slot)
R_lambda	grade2	BASE	trivial	{1}	1	alphabet dim 16	component = arbitrary element of A_grade (trivial character; verbatim factoring through invariants — banked A1-amended rule) | = 2 r_tr (screen trace slot)
R_kmod	grade0	BASE	trivial	{1}	1	alphabet dim 10	component = arbitrary element of A_grade (trivial character; verbatim factoring through invariants — banked A1-amended rule) | = 2 r_tf (trace-free slot; J06-determined branch requires r_tf not== 0); A1: CUT on k_mod=0 by the STRATUM-IDENTITY row
R_kmod	grade1	BASE	trivial	{1}	1	alphabet dim 13	component = arbitrary element of A_grade (trivial character; verbatim factoring through invariants — banked A1-amended rule) | = 2 r_tf (trace-free slot; J06-determined branch requires r_tf not== 0); A1: CUT on k_mod=0 by the STRATUM-IDENTITY row
R_kmod	grade2	BASE	trivial	{1}	1	alphabet dim 16	component = arbitrary element of A_grade (trivial character; verbatim factoring through invariants — banked A1-amended rule) | = 2 r_tf (trace-free slot; J06-determined branch requires r_tf not== 0); A1: CUT on k_mod=0 by the STRATUM-IDENTITY row
R_k10	grade0	BASE	chi_a	{k10, c00c01, c00c10, c11c01, c11c10}	5	alphabet dim 10	component = sum(generators x A_grade-invariant coefficients); generically rank 1; syzygies exist (exhibited) | = r_sh (shear slot); A3: slot pairings chart-deltaK convention, see A3_pairing_convention_isomorphic; A1-R2: r_sh is CUT on the found C!=0 resonance sub-variety by the shear STRATUM-IDENTITY row
R_k10	grade1	BASE	chi_a	{k10, c00c01, c00c10, c11c01, c11c10}	5	alphabet dim 13	component = sum(generators x A_grade-invariant coefficients); generically rank 1; syzygies exist (exhibited) | = r_sh (shear slot); A3: slot pairings chart-deltaK convention, see A3_pairing_convention_isomorphic; A1-R2: r_sh is CUT on the found C!=0 resonance sub-variety by the shear STRATUM-IDENTITY row
R_k10	grade2	BASE	chi_a	{k10, c00c01, c00c10, c11c01, c11c10}	5	alphabet dim 16	component = sum(generators x A_grade-invariant coefficients); generically rank 1; syzygies exist (exhibited) | = r_sh (shear slot); A3: slot pairings chart-deltaK convention, see A3_pairing_convention_isomorphic; A1-R2: r_sh is CUT on the found C!=0 resonance sub-variety by the shear STRATUM-IDENTITY row
R_c00	grade0	BASE	chi_b	{c00, c11, k10c01, k10c10}	4	alphabet dim 10	same module structure, chi_b | mixing kernel entry 00; A1: enters the k_mod=0 STRATUM-IDENTITY row
R_c00	grade1	BASE	chi_b	{c00, c11, k10c01, k10c10}	4	alphabet dim 13	same module structure, chi_b | mixing kernel entry 00; A1: enters the k_mod=0 STRATUM-IDENTITY row
R_c00	grade2	BASE	chi_b	{c00, c11, k10c01, k10c10}	4	alphabet dim 16	same module structure, chi_b | mixing kernel entry 00; A1: enters the k_mod=0 STRATUM-IDENTITY row
R_c11	grade0	BASE	chi_b	{c00, c11, k10c01, k10c10}	4	alphabet dim 10	same module structure, chi_b | mixing kernel entry 11; A1: enters the k_mod=0 STRATUM-IDENTITY row
R_c11	grade1	BASE	chi_b	{c00, c11, k10c01, k10c10}	4	alphabet dim 13	same module structure, chi_b | mixing kernel entry 11; A1: enters the k_mod=0 STRATUM-IDENTITY row
R_c11	grade2	BASE	chi_b	{c00, c11, k10c01, k10c10}	4	alphabet dim 16	same module structure, chi_b | mixing kernel entry 11; A1: enters the k_mod=0 STRATUM-IDENTITY row
R_c01	grade0	BASE	chi_c	{c01, c10, k10c00, k10c11}	4	alphabet dim 10	same module structure, chi_c | mixing kernel entry 01; A1: enters the k_mod=0 STRATUM-IDENTITY row
R_c01	grade1	BASE	chi_c	{c01, c10, k10c00, k10c11}	4	alphabet dim 13	same module structure, chi_c | mixing kernel entry 01; A1: enters the k_mod=0 STRATUM-IDENTITY row
R_c01	grade2	BASE	chi_c	{c01, c10, k10c00, k10c11}	4	alphabet dim 16	same module structure, chi_c | mixing kernel entry 01; A1: enters the k_mod=0 STRATUM-IDENTITY row
R_c10	grade0	BASE	chi_c	{c01, c10, k10c00, k10c11}	4	alphabet dim 10	same module structure, chi_c | mixing kernel entry 10; A1: enters the k_mod=0 STRATUM-IDENTITY row
R_c10	grade1	BASE	chi_c	{c01, c10, k10c00, k10c11}	4	alphabet dim 13	same module structure, chi_c | mixing kernel entry 10; A1: enters the k_mod=0 STRATUM-IDENTITY row
