id	object	status	exact_scope_or_premises	not_claimed
S01	Reciprocal-c clock-length identity	FOUNDING	Finite measured ordinary-regime c_E and its inverse are coequal conversion directions	Not inverse dilation by arithmetic alone
S02	Dual Positional Reciprocity	FOUNDING	Contragredient action on the registered comparison pair	Not derived from c_E alone
S03	uv=1	DERIVED	P^T K P=K in the positive diagonal faithful pairing	Not uniqueness of every formalization
S04	Reciprocal exponential character	DERIVED_CONDITIONAL	Regular additive composition, reversal, and chosen sign/unit	Not observed nontriviality or a profile
S05	Reciprocal 1+1 metric block	DERIVED_CONDITIONAL	S01-S04 plus local Lorentzian quadratic readout and CSN representative	Not a standalone action or arbitrary 3+1 completion
S06	Macro reciprocity of observational frames	OWNER_FOUNDING_CLARIFICATION	No observational law-frame is preferred and tensor components may transform	Not GR field equations, equivalence principle, or a micro theorem
S07	Nontrivial unchanged diagonal D in every boosted frame	REFUTED	Ordinary-regime exact Lorentz comparison control	Does not refute covariant reciprocal geometry
S08	Recorded static spherical UDT metric	DERIVED_CONDITIONAL	S01-S05 plus declared time/radial slots, diagonal transverse completion, and spherical areal coframe	Not a universal nonspherical or time-live form
S09	Universal preferred reciprocal rank-two plane	NOT_REQUIRED	Pair-relational meaning and tensorial observer covariance	Prior exact stabilizer obstruction remains valid against this stronger candidate
S10	General covariant 1+1-to-3+1 assembly	OPEN	Angular, shift, nonspherical, and time-live sectors retained	No new selector invented
S11	Micro observational-frame reciprocity	OPEN	Owner statement currently applies to macro UDT	No inheritance assumed
S12	UDT action, source, carrier, boundary charge, mass, and scale	UNCHANGED_OPEN_OR_PREMISE_SCOPED	Outside this kinematic audit	No closure claimed
S13	Audit grade	VERIFIED_WITH_CAVEATS	Exact production algebra plus independent standard-library rational verification and source/repository gates	No fresh external-model semantic review
