row	object	verdict	scope_and_argument	evidence
Q1-C01	delta_K stationary endpoint depth	EQUIVARIANT_DISCHARGED	tau=negation (delta->-delta under phi->-phi); K line swap-invariant (timelike character signature-fixed); no banked claim rides the sign; downstream (joint-selector packages) sign-agnostic	udt_joint_selector_provenance_audit_2026-07-28/EXACT_DERIVATION.md s3
Q1-C02	WR-L A=1-r/X + SNe n=2 readout	DESCENDS_OBSERVED_ANCHOR	covariant swap = relabeling w=-phi reproducing the assembly verbatim; banked chi2 invariant; residual orientation pinned by OBSERVED redshift sign (not consumed uniqueness); no angular member referenced	udt_pair_space_metric_transform_sne_readout_audit_2026-07-24/AUDIT_REPORT.md; CANON.md C-2026-07-09-1
Q1-C03	X_max schema (G14)	DESCENDS_BY_REQUIRED_SYMMETRY	sup over unordered pair set; S07 pair_exchange_symmetry is a registered REQUIREMENT on any future D_g; S22 Hopf/systole not load-bearing	udt_xmax_observer_separation_audit_2026-07-24/STATUS_LEDGER.tsv S07,S21,S22
Q1-C04	abs(c1)=1 toric/Hopf prototype + G13	DESCENDS	flux banked as +-1 (unsigned); Q=+1 and Q=-1 both recorded as genuine unit classes; "Does it choose chirality? NO"; 2k+1 obstruction family written exchange-symmetrically	udt_full_screen_hopf_toric_rederivation_2026-07-28/AUDIT_REPORT.md; angular_toric_closure_selector_2026-07-19/AUDIT_REPORT.md
Q1-C05	N22/T18 bridge rows (post-regrade)	DESCENDS	both current stamps are NO_SELECTION/conditional gate chains; N22 lists complete_S3_coframe_selection first in its own open column (member choice quarantined, not consumed)	udt_full_screen_hopf_toric_rederivation_2026-07-28/N22_T18_REGRADING.tsv
Q1-C06	macro-micro handoff seat phi=0 ruling A	DESCENDS_FIXED_LOCUS	seat objects (phi=0, r=0, curvature invariants) all swap-fixed; wall-crossing theorem shows an equivariant member choice at the tie is IMPOSSIBLE; the handoff carries the exchanged pair through	CANON.md C-2026-07-09-2; udt_dual_systole_wall_crossing_selector_audit_2026-07-24/AUDIT_REPORT.md
Q1-C07	hopfion/carrier bridge (G09/G15)	DESCENDS	no line member in either bridge package (grep-verified); claims banked at abs(Q)/absolute-class/selector-OPEN level; G15 premise chain (T10) member-free; mirror conjugation gives isospectral Hessian, Q->-Q	native_hopfion_topology_audit_2026-07-19/AUDIT_REPORT.md; udt_hopf_transport_bootstrap_dependency_audit_2026-07-23/AUDIT_REPORT.md
Q1-C08	bootstrap G12 admissibility	OUT-OF-SCOPE	predicate quantified over not-yet-existing solution class; all named dependencies OPEN; density scalar orbit-blind; future fillers of S09/carrier slots re-enter Q1 as new consumers	udt_global_local_relational_closure_audit_2026-07-25/STATUS_LEDGER.tsv S09,S12
Q1-C09	dual-systole two-character module (POSITIVE CONTROL)	DESCENDS_CONTROL_PASS	module sigma-invariant via order-eight stabilizer membership + arbitrary GL(2,Z) descent theorem; lift-dependent fixed-circle/oriented-c1 sub-claim EQUIVARIANT (J<->-J), discharged downstream at abs(c1)=1; criteria calibration CONFIRMED	udt_reciprocal_pair_global_module_audit_2026-07-24/AUDIT_REPORT.md
Q1-D1	Killing-plane strata transition audit	CONSUMES-UNIQUENESS__F1_FIRES	at alpha*df!=0: K not an eigenline of the (K,Y) response (exact term -alpha*c_E*df*u^2/(b*u+f^2)); rates leave +-2chi by alpha^2*u^2*df^2; eigenlines can go complex; no covariant tau exists (members metrically inequivalent); banked UNIQUE_METRIC_FOUNDED_CLOCK_AND_RULER_LINES stamp does not survive the exchange. At alpha=0: clock K descends (shared line), ruler EQUIVARIANT (pair-valued). Declared conditionality (S09) recorded but frozen criteria contain no exemption	udt_killing_plane_strata_transition_audit_2026-07-28/AUDIT_REPORT.md 12-19,71; udt_higher_isometry_plane_ownership_audit_2026-07-28/EXACT_DERIVATION.md s2,s3,s6; independent sympy rederivation (adjudication agent)
