configuration_id	carrier_id	mask_id	bank	point_id	gradient_norm	gradient_class	parent_tensor_residual	selfadjoint_operator_residual	skew_operator_residual	riemann_isolated_real_simple_eigenplanes	riemann_nondegenerate_simple_eigenplanes	riemann_complementary_split_count	riemann_repeated_eigenvalue_multiplicity	riemann_complex_isolated_count	riemann_numeric_status	weyl_isolated_real_simple_eigenplanes	weyl_nondegenerate_simple_eigenplanes	weyl_complementary_split_count	weyl_repeated_eigenvalue_multiplicity	weyl_complex_isolated_count	weyl_numeric_status	retained	physical_merit
R00_1_M0_B0_P0	R00_1	M0	B0	P0	0.0	ZERO	0.0	0.0	0.0	0	0	0	6	0	NUMERIC_CLASSIFIED	0	0	0	6	0	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R00_1_M1_B0_P0	R00_1	M1	B0	P0	0.0	ZERO	0.0	6.938893903907228e-18	9.968066064729035e-18	0	0	0	0	4	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R00_1_M2_B0_P0	R00_1	M2	B0	P0	0.0	ZERO	0.0	5.204170427930421e-18	1.6751858835207913e-17	0	0	0	0	4	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R00_1_M3_B0_P0	R00_1	M3	B0	P0	0.0	ZERO	0.0	8.673617379884035e-18	1.3877787807814457e-17	0	0	0	0	4	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R00_1_M4_B0_P0	R00_1	M4	B0	P0	0.0	ZERO	0.0	6.938893903907228e-18	1.3877787807814457e-17	0	0	0	0	4	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R00_1_M5_B0_P0	R00_1	M5	B0	P0	0.0	ZERO	0.0	1.3877787807814457e-17	1.3877787807814457e-17	0	0	0	0	4	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R00_1_M6_B0_P0	R00_1	M6	B0	P0	0.0	ZERO	0.0	8.673617379884035e-18	1.3877787807814457e-17	0	0	0	0	4	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R00_1_M7_B0_P0	R00_1	M7	B0	P0	0.0	ZERO	0.0	9.107298248878237e-18	1.5612511283791264e-17	0	0	0	0	4	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R00_1_M8_B0_P0	R00_1	M8	B0	P0	0.0004055500994882943	SPACELIKE	0.0	6.938893903907228e-18	0.0	0	0	0	6	0	NUMERIC_CLASSIFIED	0	0	0	6	0	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R00_1_M9_B0_P0	R00_1	M9	B0	P0	0.0004055500994882943	SPACELIKE	0.0	6.938893903907228e-18	9.968066064729035e-18	0	0	0	0	4	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R00_1_MA_B0_P0	R00_1	MA	B0	P0	0.0004055500994882943	SPACELIKE	0.0	5.204170427930421e-18	1.6751858835207913e-17	0	0	0	0	4	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R00_1_MB_B0_P0	R00_1	MB	B0	P0	0.0004055500994882943	SPACELIKE	0.0	8.673617379884035e-18	1.3877787807814457e-17	0	0	0	0	4	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R00_1_MC_B0_P0	R00_1	MC	B0	P0	0.0004055500994882943	SPACELIKE	0.0	6.938893903907228e-18	1.3877787807814457e-17	0	0	0	0	4	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R00_1_MD_B0_P0	R00_1	MD	B0	P0	0.0004055500994882943	SPACELIKE	0.0	1.3877787807814457e-17	1.3877787807814457e-17	0	0	0	0	4	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R00_1_ME_B0_P0	R00_1	ME	B0	P0	0.0004055500994882943	SPACELIKE	0.0	8.673617379884035e-18	1.3877787807814457e-17	0	0	0	0	4	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R00_1_MF_B0_P0	R00_1	MF	B0	P0	0.0004055500994882943	SPACELIKE	0.0	9.107298248878237e-18	1.5612511283791264e-17	0	0	0	0	4	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R01_1_M0_B0_P0	R01_1	M0	B0	P0	0.0	ZERO	0.0	0.0	0.0	0	0	0	6	0	NUMERIC_CLASSIFIED	0	0	0	6	0	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R01_1_M1_B0_P0	R01_1	M1	B0	P0	0.0	ZERO	0.0	8.673617379884035e-18	1.3877787807814457e-17	0	0	0	0	4	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R01_1_M2_B0_P0	R01_1	M2	B0	P0	0.0	ZERO	0.0	1.0408340855860843e-17	1.5612511283791264e-17	0	0	0	0	4	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R01_1_M3_B0_P0	R01_1	M3	B0	P0	0.0	ZERO	0.0	5.204170427930421e-18	2.0816681711721685e-17	0	0	0	0	2	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R01_1_M4_B0_P0	R01_1	M4	B0	P0	0.0	ZERO	0.0	6.938893903907228e-18	1.474514954580286e-17	0	0	0	0	4	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R01_1_M5_B0_P0	R01_1	M5	B0	P0	0.0	ZERO	0.0	6.938893903907228e-18	1.734723475976807e-17	0	0	0	0	4	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R01_1_M6_B0_P0	R01_1	M6	B0	P0	0.0	ZERO	0.0	6.938893903907228e-18	1.0408340855860843e-17	0	0	0	0	2	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R01_1_M7_B0_P0	R01_1	M7	B0	P0	0.0	ZERO	0.0	2.0816681711721685e-17	2.7755575615628914e-17	0	0	0	0	6	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R01_1_M8_B0_P0	R01_1	M8	B0	P0	0.0004055500994882943	SPACELIKE	0.0	6.938893903907228e-18	0.0	0	0	0	6	0	NUMERIC_CLASSIFIED	0	0	0	6	0	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R01_1_M9_B0_P0	R01_1	M9	B0	P0	0.0004055500994882943	SPACELIKE	0.0	8.673617379884035e-18	1.3877787807814457e-17	0	0	0	0	4	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R01_1_MA_B0_P0	R01_1	MA	B0	P0	0.0004055500994882943	SPACELIKE	0.0	1.0408340855860843e-17	1.5612511283791264e-17	0	0	0	0	4	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R01_1_MB_B0_P0	R01_1	MB	B0	P0	0.0004055500994882943	SPACELIKE	0.0	5.204170427930421e-18	2.0816681711721685e-17	0	0	0	0	2	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
R01_1_MC_B0_P0	R01_1	MC	B0	P0	0.0004055500994882943	SPACELIKE	0.0	6.938893903907228e-18	1.474514954580286e-17	0	0	0	0	4	NUMERIC_CLASSIFIED	0	0	0	0	6	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
