item	status	use	forbidden_promotion
primary_static_spherical_areal_metric	DECLARED_READOUT__ACTIVE_BOUNDED	whole metric arena for the audit	unique physical history
f_equals_exp_minus_2phi	DERIVED_PRESENTATION_IDENTITY	translate profile sign and metric coefficients	value law for phi
smooth_center_f0_1_fprime0_0	DERIVED_BOUNDED_REGULARITY	center gate	universal topology or timelive theorem
analytic_even_center_germ	CHOSE_BOUNDED_METHOD	exact coefficient classification	physical analyticity postulate
G201_angular_channels	DERIVED_CONDITIONAL	angular/tidal diagnostics	unique observer response or history law
G262_lapse_acceleration_mu_hierarchy	DERIVED_CONDITIONAL	metric diagnostics	physical rest mass or total mass
c_E	OBSERVED	clock/ruler calibration	selected microscopic length
coefficients_c_2k	FREE_AND_EXPLORED	full local solution-space variables	fitted or selected values
negative_phi_micro_reading	USER_INTENDED_INTERPRETATION__WORKING	interpret signed profile sector	negative distance or reversed arrow
Planck_length	OMITTED__FUTURE_OBSERVED_COMPARISON_ONLY	none	native cutoff boundary or selected scale
X_max	OMITTED__WORKING_FOUNDATIONAL_FRAME	none	micro boundary or fitted endpoint
physical_history	OPEN	none	claimed selected by local jet classification

