K,knot_index,phi,z,joint_relative_shape_mag,joint_shape_se,relative_R,relative_R_se_delta_method
8,1,0.1696298410289495,0.18486618129005195,1.5914231252382962,0.023755743647104036,2.081060111702808,0.022766639958754414
8,2,0.26848440000885687,0.30798057238607546,2.393607562628349,0.020566015041173467,3.011074580194664,0.028517887141920363
8,3,0.3673389589887642,0.44388725474189494,2.874676174378949,0.02270338217160637,3.7578136088399936,0.039289045588271336
8,4,0.46619351796867153,0.5939154207794413,3.2016393927677163,0.022935783386193998,4.368455122760534,0.04614101472754398
8,5,0.565048076948579,0.7595323736358126,3.4190957934351927,0.02535268613276144,4.8285769701466315,0.05637529441107603
8,6,0.6639026359284862,0.9423578776586039,3.544187822962621,0.03685770724660901,5.114904913961477,0.08681835748262239
8,7,0.7627571949083936,1.14418,3.6033896203303133,0.06445840098946809,5.256273127894061,0.15602821362277328
12,1,0.13368272867261957,0.14303011142854213,1.2171865662627273,0.029974291691857856,1.7516095858827077,0.024178643222641186
12,2,0.196590175296197,0.21724508136503387,1.921762443647184,0.02553279043081815,2.4229948370024106,0.02849026269779723
12,3,0.2594976219197744,0.2962787010532725,2.4313539739269414,0.026531633204841438,3.0638732490869285,0.0374352263812595
12,4,0.32240506854335177,0.3804438370948328,2.7636044409793614,0.026833176550477088,3.5704330028354505,0.04412032071274464
12,5,0.38531251516692916,0.47007366997908495,3.0495915483949334,0.02774816961331654,4.073036572220496,0.052047315522831414
12,6,0.4482199617905066,0.5655230130288253,3.2348809433689185,0.02754741165002428,4.4358432259876786,0.056273337310546796
12,7,0.511127408414084,0.667169716982769,3.41998902316514,0.028432085402189184,4.8305636017439495,0.0632487874419213
12,8,0.5740348550376614,0.7754161657751555,3.529354491559668,0.03137091888446697,5.080084056615614,0.07339117189237723
12,9,0.6369423016612388,0.8906908694337404,3.595498188484057,0.042881460399362706,5.237205770175404,0.10342246618142394
12,10,0.6998497482848162,1.0134501604019002,3.699772387567351,0.04841055494829314,5.494832743323936,0.12250116616108542
12,11,0.7627571949083936,1.14418,3.6704314004206777,0.08075888078788254,5.4210857891692275,0.20161472882168976
16,1,0.11690740957299893,0.1240153518109236,0.9791119040911787,0.03484492873617665,1.5697206835200832,0.025188809728024432
