source_id	path	sha256	role	immutability_status
S01	UDT_NATIVE_ACTION_COLD_ARM_DISPATCH.md	6e977717ca028cabaa198dd14a6a97b3b15740e45485d0ab735f3df0326df192	FOUNDING_STATUS_AND_DERIVATION_RULES	REFERENCE_PINNED_ROOT_SOURCE
S02	UDT_NATIVE_ACTION_COLD_PACKET.md	d38232792ac78188687db433a3f60a08c775c46e9ecf5fc42ad7953dc89fadb0	EXACT_C0_C1_FOUNDATION_AND_RECIPROCAL_METRIC	REFERENCE_PINNED_ROOT_SOURCE
S03	native_action_final_adjudication_2026-07-18/FINAL_ADJUDICATION_REPORT.md	71ed06c21c3ef683d0579f2a883584b4f612de4f1b09e16300702b204d437eda	ACTION_SOURCE_BOUNDARY_AND_MASS_ADJUDICATION	FROZEN_PACKAGE_SOURCE
S04	UDT_GR_TO_UDT_SELECTOR_AUDIT_2026-07-18.md	db4a426b021e375fa4bca0d870aaf973de319de3b08072195d001a056630832d	GR_COMPARISON_AND_VARIATION_DOMAIN_FORK	REFERENCE_PINNED_ROOT_SOURCE
S05	udt_premise_reset_audit_2026-07-19/AUDIT_REPORT.md	fc1c3d9edb7ce87415470da09c01cf2223ec4fa2022ee4565f32d77ccbc50ada	CORRECTED_OWNER_MEANINGS_AND_WITHDRAWN_FRAME_CLAIMS	FROZEN_PACKAGE_SOURCE
S06	angular_toric_closure_selector_2026-07-19/AUDIT_REPORT.md	4e1178a7993a6f3f3e94713df27d0ab8c140b96ef613c5fa09099af72941cb8b	CONDITIONAL_S3_HOPF_AND_GLOBAL_TORIC_SELECTORS	FROZEN_PACKAGE_SOURCE
S07	native_hopfion_topology_audit_2026-07-19/AUDIT_REPORT.md	df0171eb83d75ad175727a8db541df8500b7826edf6059ae63a52f1a1ba15bea	NATIVE_TOPOLOGY_AND_CONDITIONAL_CARRIER_STATUS	FROZEN_PACKAGE_SOURCE
S08	boundary_bootstrap_representative_selector_audit_2026-07-19/AUDIT_REPORT.md	5b9fd3563e02ecd8907e0ac632412e3bb1784893c1a66ff2812724f23c71d25d	CSN_REPRESENTATIVE_AND_BOOTSTRAP_SELECTOR_LIMITS	FROZEN_PACKAGE_SOURCE
S09	clock_curvature_selector_audit_2026-07-19/AUDIT_REPORT.md	4b41149cabf6ceb735c6a5b43847c0434572ecf19b8cd386d29ad12a7536de0a	WRL_CLOCK_CURVATURE_UNIQUE_CONDITIONAL_SELECTOR	FROZEN_PACKAGE_SOURCE
S10	asymptotic_boundary_lineage_audit_2026-07-19/AUDIT_REPORT.md	bf10dc2d525e26723ee2eb2eaacf368ad8546e76b0a8d3ba0d3baa0b9639d11d	FINITE_WALL_CAUSAL_BOUNDARY_AND_MASS_LIMITS	FROZEN_PACKAGE_SOURCE
S11	scale_breaking_closure_census_2026-07-20/AUDIT_REPORT.md	f3cca19566a1ae3653e28e4e015039623c8be2ec7454b2e12a9859bcca45c67b	DIMENSIONAL_RANK_AND_ABSOLUTE_SCALE_NO_GO_SCOPE	FROZEN_PACKAGE_SOURCE
S12	matter_bootstrap_dimensional_inventory_2026-07-20/AUDIT_REPORT.md	521f6b1e80ea7d7cd1a3993fe4873f4b8dc5e4eee7f586924a5813bad78ac966	CONDITIONAL_SOLITON_RULER_AND_NATIVE_MASS_GAP	FROZEN_PACKAGE_SOURCE
S13	udt_instrument_motif_atlas_2026-07-21/AUDIT_REPORT.md	057e2a2a71c342523c7a27c6ed4ffd80b69eae7840ea360ca3d59340539f7306	LOCAL_METRIC_INSTRUMENT_AND_MOTIF_CENSUS	FROZEN_PACKAGE_SOURCE
S14	udt_motif_hopf_correspondence_audit_2026-07-22/AUDIT_REPORT.md	d67c3b812e2fe8f6d31cf4a544b47d86a2d87c4b81ca2cc7aa81ea638d86ea82	PATH_FROBENIUS_AND_CONDITIONAL_HOPF_CORRESPONDENCE	FROZEN_PACKAGE_SOURCE
S15	udt_global_metric_assembly_atlas_2026-07-22/AUDIT_REPORT.md	7a596530a78a75aec03bac6f35db31ebe534e0115ca51dda64acffd0c781844a	TRANSPORT_GLOBAL_COMPLETION_AND_DENSITY_BOOTSTRAP_ATLAS	FROZEN_PACKAGE_SOURCE
S16	stability_branch_follow_256_DECISION.md	9806bc8f61b94109080699f00d8a758f1afc935db18a11f07dbe7365a61811d5	CONDITIONAL_STATIC_PARTICLE_STABILITY_SCOPE	REFERENCE_PINNED_ROOT_SOURCE
