path	sha256	size_bytes
PREREGISTRATION.md	6df44e37879991cd301499938c208a9eca7c10b271aa36046ddd76d04071e02a	5814
REFERENCE.md	a8b27cb298a95dc1f3eabc5c4ff78b2835041a4d3dcc3e184d8ff6be47ded1e7	18350
CLAIM_DEPENDENCY_LEDGER.tsv	bc94d0b2e714030e17d54af5be92a8664999a0e0ea1f135182f31bf25b48cdba	8573
OPEN_JOIN_LEDGER.tsv	74b2a71bbddb71fe325d78c5c83766ebb7427ba9bc73165d98ee8143b32426b3	4178
SOURCE_MANIFEST.tsv	cd9bf09919cec5c7b9c4f8825bcd236631ee03b55ec47461ad89d36ce82e78ec	3160
EXTERNAL_REVIEW_PACKET.md	ef5260c191d2aef3055b1ac42e0cb0315e54f572244c85bf4331d4914d25bb58	4015
README.md	f7f4c0fbdcf86518ed04928dbe1b177f7541a97f38adf3adbbae477c0a2ff85d	628
verify_reference_packet.py	e7ec1248f1a88bf7b7d3b7194eb3db7016bfccd353dfbd434b66839ed07f538a	11930
CATCH_PROOFS.tsv	1e1053e502db10d965d82002d26572554183c9d21085353755c02940f6909f35	588
VERIFICATION_RESULT.json	f4d86e7cb414cb40e044c8128da53ff774ac53256feb51b43d0d79056d3c4dcb	432
INTERNAL_VERIFIER_TRANSCRIPT.txt	e5073a6e21ae78e099d4a45098cd21896f2bb37bd3716be777a592e63c0ad1bb	584
build_reference_freeze_manifest.py	e22e98a1dedfc276c87fd8734b044c7b29dce3b0b0e61fe1be99d4c20f744735	1442
verify_repository_gates.py	1e3f117fc7d8d94de47f868029474276b5e655dc4acfd75e327ea911818a11b1	9003
