issue_id	topic	reviewer_G	reviewer_T	reviewer_V	reviewer_B	adjudication	effect_on_frozen_status
R01	reference fidelity	PASS_WITH_CAVEATS	PASS_WITH_CAVEATS	PASS_WITH_CAVEATS	PASS_WITH_CAVEATS	REFERENCE_FAITHFUL_WITH_APPEND_ONLY_QUALIFICATIONS	NONE
R02	freeze integrity	13_OF_13_PASS	13_OF_13_PASS	13_OF_13_PASS	13_OF_13_PASS	IMMUTABLE_REVIEW_INPUT_CONFIRMED	NONE
R03	projector transport universality	UNIVERSAL_THEOREM_UDT_INSTANTIATION	NOT_PRIMARY	NOT_PRIMARY	NOT_PRIMARY	QUALIFY_C032_AND_J02	STATUS_UNCHANGED
R04	typed Lambda2 representations	DERIVATION_LIFT_EXTERIOR_TRANSPORT_CURVATURE_OPERATOR_MUST_SEPARATE	NOT_PRIMARY	NOT_PRIMARY	NOT_PRIMARY	REFINE_C090_J03	STATUS_UNCHANGED
R05	prior curvature eigenbivector result	REUSE_ZERO_SIMPLE_REAL_PLANES_IN_6144_TWO_JETS	NOT_PRIMARY	NOT_PRIMARY	NOT_PRIMARY	NON_DUPLICATION_GATE	STATUS_UNCHANGED
R06	orientation and universal Hodge controls	REQUIRED	CHARACTERISTIC_DATA_ONLY_WHEN_DEFINED	NOT_PRIMARY	NOT_PRIMARY	EXPLICIT_PREMISE_AND_ZERO_CREDIT_CONTROLS	STATUS_UNCHANGED
R07	global taxonomy semantics	NOT_PRIMARY	TWELVE_ROWS_OVERLAP_AND_INCLUDE_BEHAVIOR	NOT_PRIMARY	NOT_PRIMARY	QUALIFY_C040	STATUS_UNCHANGED
R08	conditional Hopf sign	NOT_PRIMARY	ABS_C1_EQUALS_1_SIGN_REQUIRES_CONVENTION	NOT_PRIMARY	NOT_PRIMARY	TIGHTEN_C050	STATUS_UNCHANGED
R09	global consistency audit	CLOSED_BRANCH_NEEDED_FOR_NONUNIVERSAL_INVARIANT	COCYCLE_SEAM_FIRST_JET_CAP_CONNECTION_GATES	NOT_PRIMARY	COMPLETION_DOMAIN_PREREQUISITE	REFINE_J04	STATUS_UNCHANGED
R10	realization operator priority	NOT_PRIMARY	GLOBAL_DATA_DO_NOT_SELECT	PRIOR_TO_VARIATIONAL_FORK	RESPONSE_OPERATOR_ABSENT	REALIZATION_RELATION_AUDIT_RANKED_FIRST	J12_STATUS_UNCHANGED_PRIORITY_NARROWED
R11	pre_scale_post_scale action fork	NOT_PRIMARY	NOT_PRIMARY	VALID_ONLY_CONDITIONAL_ON_VARIATIONAL_REALIZATION	NOT_PRIMARY	RETAIN_CONDITIONAL_DISCRIMINATOR	STATUS_UNCHANGED
R12	dimensional rank	NOT_PRIMARY	NOT_PRIMARY	NOT_PRIMARY	RANK_ONE_WITHIN_NAMED_INVENTORY	UPHOLD_C070_C071_J10	NONE
R13	simultaneous density noncircularity	NOT_PRIMARY	NOT_PRIMARY	RESPONSE_MAP_REQUIRED	POTENTIAL_ONLY_REQUIRES_MASS_GENERATOR_AND_SCALE_BREAKER	QUALIFY_C073_J09	STATUS_UNCHANGED
R14	immediate mass gate	NOT_PRIMARY	NOT_PRIMARY	REALIZATION_PRECEDES_SOURCE	J08_WITH_J04_J06_J07_PREREQUISITES	MASS_WORK_DEFERRED	NONE
R15	GPU_or_time_live	NO	NO	NO	NO	NOT_AUTHORIZED	NONE
