join_id	upstream_object	downstream_object	current_bridge_evidence	missing_object	prohibited_shortcut	status	bounded_next_test
J01	reciprocal clock-parallel block	complete time-live metric	conditional local block plus mapped metric amplitudes	transverse slots shifts global chart and native solution law	declaring a diagonal static or spherical ansatz universal	OPEN	formalize the complete configuration and admissibility problem before solving
J02	local tangent-space weave	persistent global organization	Kato projector transport and sampled path atlas	closed global metric branch and invariant transported object	calling open-path transport physical holonomy	OPEN	map metric-native exterior and bivector structures without selecting a desired topology
J03	full tangent weave	metric-native bivector or differential-form motif	universal metric Hodge and curvature constructions	UDT-specific simple closed or recurrent form beyond universal Lorentzian structure	identifying the universal Hodge split with matter	WORKING_NEXT_QUESTION	complete Lambda2 invariant-subspace simplicity closure and transport atlas
J04	registered completion taxonomy	one realized global quotient	selector matrix retains multiple branches	operational global realization or ranking law	choosing S3 caps periodicity or smoothness because they resemble the Hopfion	OPEN	audit reciprocal holonomy and finite-seal consistency across every retained completion
J05	conditional reciprocal-toric quotient	native S2 carrier	metric-dual connection and exact seed compatibility	selected quotient section target metric framing and boundary	calling a celestial S2 fiber the material carrier	OPEN	remain carrier-neutral until a global section is selected
J06	carrier or quotient texture	native deformation action	conditional L2+L4 stability and conditional action classifications	variation domain invariant inventory coefficients and boundary completion	importing Faddeev-Skyrme or EH because it works	OPEN	test candidate actions only after the geometric configuration space is selected
J07	complete action	native matter source	conditional stress identities depend on completion and variation	selected off-shell fields metric dependence and source normalization	varying a static energy as if it were a four-dimensional action	OPEN	derive source with the complete selected variation domain
J08	native source	finite-cell boundary charge and mass	raw lapse flux and conditional GR readouts	boundary primitive reference orientation integrability and normalization	using Misner-Sharp ADM or asymptotic charge as native input	OPEN	derive a differentiable finite-cell generator before interpreting flux as mass
J09	native mass and proper volume	bootstrap density fixed point	type-correct simultaneous relation rho equals M_native over V_proper	native mass functional varied global response and density target law	feeding observed density back as a native selector	OPEN	pose density only inside the same complete solution after J08
J10	dimensionless compactness	absolute Xmax and total mass	c_E and G_obs fix mass per length	independent dimensional datum eigenvalue or homothety-breaking process	counting rho equals M over V as an independent equation	OPEN	reaudit scale only after a new native dimensional object is derived
J11	static conditional Hopfion	time-live matter persistence	static finite-box stability and topology controls	native time law constraints flux physical boundary and topology propagation	relabeling relaxation as time evolution	OPEN	CPU anchors only after J04 through J07 close
J12	pre-scale C2 Bach route	post-scale EH-like route	both are conditional action classes	physical representative selection and dynamical matching theorem	assuming scale selection turns fourth-order Bach into second-order EH	OPEN	define whether variation precedes or follows scale and prove any bridge separately
J13	macro WR-L geometry	particle or mass sector	reciprocal metric language and possible shared finite-cell scale	common native action source boundary generator and controlled regime map	identifying matching symbols c G X or phi as a derived coupling	OPEN	keep lanes separate until a shared derived operator exists
