claim_id	layer	claim	status	indispensable_premises	evidence_source	remaining_open_scope
C001	FOUNDATION	Positional dilation is a founding UDT principle	FOUNDING	owner-stated H2 hierarchy	UDT_NATIVE_ACTION_COLD_PACKET.md	its existence is not rederived; observer/global realization remains separately scoped
C002	FOUNDATION	c and inverse-c are coequal conversion directions	FOUNDING	owner-stated reciprocal-c identity	UDT_NATIVE_ACTION_COLD_PACKET.md	this alone does not force inverse dilation factors
C003	FOUNDATION	Common positive local scale is calibrational before matter	FOUNDING	Common-Scale Neutrality	UDT_NATIVE_ACTION_COLD_PACKET.md	no physical representative or dimensional scale is selected
C004	FOUNDATION	The native global arena is a finite mirrored cell rather than spatial infinity	CANONIZED_BINDING_STATIC_SCOPE	finite-cell canon and static phi seal statement	UDT_NATIVE_ACTION_COLD_PACKET.md	full time-live boundary data topology and boundary functional remain open
C005	FOUNDATION	Realized matter-bearing solutions should close globally in a narrow proper-density window	WORKING	bootstrap statement with rho_tot and fractional width	UDT_NATIVE_ACTION_COLD_ARM_DISPATCH.md	no center width equation selection map or native density exists
C010	KINEMATICS	Dual Reciprocity forces uv=1 in the supplied faithful pairing formalization	DERIVED	founding dual action and P-transpose K P equals K	UDT_NATIVE_ACTION_COLD_PACKET.md	pairing formalization and slot meanings remain explicit premises
C011	KINEMATICS	Positive additive regular relative depth gives reciprocal exponentials	DERIVED_CONDITIONAL	composition reversal positivity and regularity plus uv=1	UDT_NATIVE_ACTION_COLD_PACKET.md	sign unit and physical phi interpretation are chosen or conditional
C012	KINEMATICS	The displayed reciprocal Lorentzian clock-parallel metric block is available	CONDITIONAL	chosen CSN representative local Lorentzian readout and slot identification	UDT_NATIVE_ACTION_COLD_PACKET.md	full transverse block observer mechanics and time-live geometry are not derived
C020	ACTION	C-squared with Bach bulk equations is unique inside the named pre-scale class	UNIQUE_CONDITIONAL	4D exact local CSN metric-only local covariant parity-even lowest curvature-square unrestricted variation	native_action_final_adjudication_2026-07-18/FINAL_ADJUDICATION_REPORT.md	complete action boundary source solution normalization and stability remain open
C021	ACTION	Einstein-Hilbert is an allowed post-scale comparison route	CONDITIONAL	selected physical representative metric-only locality covariance second-order Lovelock premises	UDT_GR_TO_UDT_SELECTOR_AUDIT_2026-07-18.md	representative scale coefficient finite-cell boundary source and bridge remain open
